OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
743.00,1970-00-00 00:00:00.743,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,-0.28,0.06,17.00,10.00,0.00,0.00,0.00
3741.00,1970-01-01 00:00:03.741,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.50,37.67,36.99,42.09,26.94,-0.26,0.06,1.00,10.00,0.00,0.00,0.00
3841.00,1970-01-01 00:00:03.841,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.47,37.67,36.99,42.09,26.94,-0.29,0.06,1.00,10.00,0.00,0.00,0.00
3941.00,1970-01-01 00:00:03.941,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.50,37.67,36.99,42.09,26.94,-0.27,0.06,1.00,10.00,0.00,0.00,0.00
4041.00,1970-01-01 00:00:04.041,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.51,37.59,36.95,42.11,26.94,-0.27,0.06,1.00,10.00,0.00,0.00,0.00
4141.00,1970-01-01 00:00:04.141,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.48,37.59,36.95,42.11,26.59,-0.28,0.06,1.00,10.00,0.00,0.00,0.00
4241.00,1970-01-01 00:00:04.241,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.36,37.59,37.02,42.11,26.59,-0.27,0.06,1.00,10.00,0.00,0.00,0.00
4341.00,1970-01-01 00:00:04.341,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.48,37.63,37.02,42.13,26.59,-0.28,0.06,1.00,10.00,0.00,0.00,0.00
4441.00,1970-01-01 00:00:04.441,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.35,37.63,37.02,42.13,26.59,-0.25,0.07,1.00,10.00,0.00,0.00,0.00
4541.00,1970-01-01 00:00:04.541,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.48,37.67,36.95,42.13,26.73,-0.27,0.06,1.00,10.00,0.00,0.00,0.00
4641.00,1970-01-01 00:00:04.641,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.51,37.67,36.95,42.13,26.73,-0.28,0.07,1.00,10.00,0.00,0.00,0.00
4741.00,1970-01-01 00:00:04.741,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.50,37.67,36.98,42.13,26.73,-0.28,0.06,1.00,10.00,0.00,0.00,0.00
4841.00,1970-01-01 00:00:04.841,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.34,37.60,36.98,42.13,26.73,-0.28,0.07,1.00,10.00,0.00,0.00,0.00
4941.00,1970-01-01 00:00:04.941,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.50,37.60,36.98,42.13,26.74,-0.26,0.06,1.00,10.00,0.00,0.00,0.00
5041.00,1970-01-01 00:00:05.041,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.49,37.60,36.91,42.16,26.74,-0.30,0.07,1.00,10.00,0.00,0.00,0.00
5141.00,1970-01-01 00:00:05.141,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.34,37.60,36.91,42.16,26.74,-0.27,0.06,1.00,10.00,0.00,0.00,0.00
5241.00,1970-01-01 00:00:05.241,0.00,0.00,0.00,1.51,0.00,2.00,1.00,0.00,0.00,12.51,37.60,37.02,42.16,26.74,-0.27,0.06,1.00,10.00,0.00,0.00,0.00
