OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
788.00,1970-00-00 00:00:00.788,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.70,0.00,0.00,0.00,0.00,0.00,0.02,17.00,10.00,0.00,0.00,0.00
2921.00,1970-01-01 00:00:02.921,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.70,49.02,48.92,42.78,27.56,-0.43,0.02,17.00,10.00,0.00,0.00,0.00
3021.00,1970-01-01 00:00:03.021,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.68,49.02,48.92,42.78,27.56,-0.43,0.03,17.00,10.00,0.00,0.00,0.00
3121.00,1970-01-01 00:00:03.121,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.67,49.02,48.92,42.78,27.56,-0.45,0.02,17.00,10.00,0.00,0.00,0.00
3221.00,1970-01-01 00:00:03.221,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.68,49.03,48.92,42.73,27.56,-0.43,0.02,17.00,10.00,0.00,0.00,0.00
3321.00,1970-01-01 00:00:03.321,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.68,49.03,48.92,42.73,27.78,-0.40,0.03,17.00,10.00,0.00,0.00,0.00
3421.00,1970-01-01 00:00:03.421,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.63,49.03,48.98,42.73,27.78,-0.43,0.03,17.00,10.00,0.00,0.00,0.00
3521.00,1970-01-01 00:00:03.521,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.66,48.99,48.98,42.80,27.78,-0.39,0.02,17.00,10.00,0.00,0.00,0.00
3621.00,1970-01-01 00:00:03.621,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.64,48.99,48.98,42.80,27.78,-0.43,0.03,17.00,10.00,0.00,0.00,0.00
3721.00,1970-01-01 00:00:03.721,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.65,48.94,49.08,42.82,27.84,-0.43,0.03,17.00,10.00,0.00,0.00,0.00
3821.00,1970-01-01 00:00:03.821,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.62,48.94,49.08,42.82,27.84,-0.42,0.03,17.00,10.00,0.00,0.00,0.00
3921.00,1970-01-01 00:00:03.921,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.61,48.94,48.97,42.82,27.84,-0.44,0.02,17.00,10.00,0.00,0.00,0.00
4021.00,1970-01-01 00:00:04.021,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.66,48.98,48.97,42.82,27.84,-0.41,0.03,17.00,10.00,0.00,0.00,0.00
4121.00,1970-01-01 00:00:04.121,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.64,48.98,48.97,42.82,27.67,-0.44,0.03,17.00,10.00,0.00,0.00,0.00
4221.00,1970-01-01 00:00:04.221,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.65,48.98,49.01,42.83,27.67,-0.43,0.03,17.00,10.00,0.00,0.00,0.00
4321.00,1970-01-01 00:00:04.321,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.61,48.98,49.01,42.83,27.67,-0.43,0.02,17.00,10.00,0.00,0.00,0.00
4421.00,1970-01-01 00:00:04.421,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.62,48.98,49.05,42.83,27.67,-0.44,0.03,17.00,10.00,0.00,0.00,0.00
4521.00,1970-01-01 00:00:04.521,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.63,49.06,49.05,42.89,27.59,-0.42,0.03,17.00,10.00,0.00,0.00,0.00
4621.00,1970-01-01 00:00:04.621,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.63,49.06,49.05,42.89,27.59,-0.45,0.02,17.00,10.00,0.00,0.00,0.00
4721.00,1970-01-01 00:00:04.721,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.63,49.06,49.14,42.89,27.59,-0.40,0.03,17.00,10.00,0.00,0.00,0.00
4821.00,1970-01-01 00:00:04.821,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.63,49.08,49.14,42.80,27.59,-0.44,0.02,1.00,10.00,0.00,0.00,0.00
4921.00,1970-01-01 00:00:04.921,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.61,49.08,49.01,42.80,27.58,-0.42,0.03,1.00,10.00,0.00,0.00,0.00
5021.00,1970-01-01 00:00:05.021,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.67,49.05,49.01,42.86,27.58,-0.42,0.03,1.00,10.00,0.00,0.00,0.00
5121.00,1970-01-01 00:00:05.121,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.66,49.05,49.01,42.86,27.58,-0.45,0.03,1.00,10.00,0.00,0.00,0.00
5221.00,1970-01-01 00:00:05.221,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.64,49.05,49.13,42.86,27.58,-0.41,0.03,1.00,10.00,0.00,0.00,0.00
5321.00,1970-01-01 00:00:05.321,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.63,49.11,49.13,42.78,27.42,-0.43,0.03,1.00,10.00,0.00,0.00,0.00
5421.00,1970-01-01 00:00:05.421,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.63,49.11,49.01,42.78,27.42,-0.43,0.03,1.00,10.00,0.00,0.00,0.00
5521.00,1970-01-01 00:00:05.521,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.62,49.02,49.01,42.83,27.42,-0.42,0.03,1.00,10.00,0.00,0.00,0.00
5621.00,1970-01-01 00:00:05.621,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.61,49.02,49.01,42.83,27.42,-0.43,0.03,1.00,10.00,0.00,0.00,0.00
5721.00,1970-01-01 00:00:05.721,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.61,49.02,49.06,42.83,27.23,-0.41,0.02,1.00,10.00,0.00,0.00,0.00
5821.00,1970-01-01 00:00:05.821,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.65,49.05,49.06,42.87,27.23,-0.42,0.03,1.00,10.00,0.00,0.00,0.00
5921.00,1970-01-01 00:00:05.921,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.60,49.05,49.01,42.87,27.23,-0.40,0.03,1.00,10.00,0.00,0.00,0.00
6021.00,1970-01-01 00:00:06.021,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.61,49.05,49.01,42.87,27.23,-0.42,0.02,1.00,10.00,0.00,0.00,0.00
6121.00,1970-01-01 00:00:06.121,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.65,49.08,49.01,42.88,27.21,-0.44,0.03,1.00,10.00,0.00,0.00,0.00
6221.00,1970-01-01 00:00:06.221,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.64,49.08,49.04,42.88,27.21,-0.41,0.02,1.00,10.00,0.00,0.00,0.00
6321.00,1970-01-01 00:00:06.321,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.61,49.04,49.04,42.88,27.21,-0.45,0.03,1.00,10.00,0.00,0.00,0.00
6421.00,1970-01-01 00:00:06.421,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.62,49.04,49.05,42.88,27.21,-0.43,0.03,1.00,10.00,0.00,0.00,0.00
6521.00,1970-01-01 00:00:06.521,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.63,49.04,49.05,42.88,27.09,-0.44,0.03,1.00,10.00,0.00,0.00,0.00
