OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
788.00,1970-00-00 00:00:00.788,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.86,0.00,0.00,0.00,0.00,0.00,1.00,17.00,10.00,0.00,0.00,0.00
2774.00,1970-01-01 00:00:02.774,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.86,60.57,70.59,-8.22,25.41,1.55,1.00,17.00,10.00,0.00,0.00,0.00
2874.00,1970-01-01 00:00:02.874,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.82,60.57,70.59,-8.22,25.41,1.56,1.00,17.00,10.00,0.00,0.00,0.00
2974.00,1970-01-01 00:00:02.974,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.79,60.57,70.59,-8.22,25.41,1.59,1.00,17.00,10.00,0.00,0.00,0.00
3074.00,1970-01-01 00:00:03.074,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.80,60.63,70.53,-7.94,25.41,1.56,1.00,17.00,10.00,0.00,0.00,0.00
3174.00,1970-01-01 00:00:03.174,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.74,60.63,70.53,-7.94,24.46,1.58,1.00,17.00,10.00,0.00,0.00,0.00
3274.00,1970-01-01 00:00:03.274,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.79,60.63,70.52,-7.94,24.46,1.53,0.99,17.00,10.00,0.00,0.00,0.00
3374.00,1970-01-01 00:00:03.374,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.75,60.55,70.52,-7.94,24.46,1.55,1.00,17.00,10.00,0.00,0.00,0.00
3474.00,1970-01-01 00:00:03.474,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.73,60.55,70.52,-7.94,24.46,1.57,0.99,17.00,10.00,0.00,0.00,0.00
3574.00,1970-01-01 00:00:03.574,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.80,60.58,70.57,-7.88,24.41,1.55,0.99,17.00,10.00,0.00,0.00,0.00
3674.00,1970-01-01 00:00:03.674,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.72,60.58,70.57,-7.88,24.41,1.59,1.00,17.00,10.00,0.00,0.00,0.00
3774.00,1970-01-01 00:00:03.774,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.77,60.58,70.52,-7.88,24.41,1.53,0.99,17.00,10.00,0.00,0.00,0.00
3874.00,1970-01-01 00:00:03.874,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.74,60.58,70.52,-7.86,24.41,1.59,1.00,17.00,10.00,0.00,0.00,0.00
3974.00,1970-01-01 00:00:03.974,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.72,60.58,70.52,-7.86,24.29,1.57,1.00,17.00,10.00,0.00,0.00,0.00
4074.00,1970-01-01 00:00:04.074,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.78,60.62,70.52,-7.80,24.29,1.56,1.00,17.00,10.00,0.00,0.00,0.00
4174.00,1970-01-01 00:00:04.174,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.71,60.62,70.52,-7.80,24.29,1.57,1.00,17.00,10.00,0.00,0.00,0.00
4274.00,1970-01-01 00:00:04.274,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.77,60.62,70.43,-7.80,24.29,1.54,1.00,17.00,10.00,0.00,0.00,0.00
4374.00,1970-01-01 00:00:04.374,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.72,60.59,70.43,-7.68,24.33,1.59,1.00,17.00,10.00,0.00,0.00,0.00
4474.00,1970-01-01 00:00:04.474,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.73,60.59,70.43,-7.68,24.33,1.56,1.00,17.00,10.00,0.00,0.00,0.00
4574.00,1970-01-01 00:00:04.574,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.76,60.59,70.39,-7.68,24.33,1.56,1.00,17.00,10.00,0.00,0.00,0.00
4674.00,1970-01-01 00:00:04.674,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.70,60.55,70.39,-7.78,24.33,1.58,1.00,17.00,10.00,0.00,0.00,0.00
4774.00,1970-01-01 00:00:04.774,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.78,60.55,70.50,-7.78,24.27,1.55,0.99,17.00,10.00,0.00,0.00,0.00
4874.00,1970-01-01 00:00:04.874,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.71,60.64,70.50,-7.66,24.27,1.58,1.00,17.00,10.00,0.00,0.00,0.00
4974.00,1970-01-01 00:00:04.974,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.75,60.64,70.50,-7.66,24.27,1.56,1.00,17.00,10.00,0.00,0.00,0.00
5074.00,1970-01-01 00:00:05.074,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.72,60.64,70.50,-7.66,24.27,1.58,1.00,17.00,10.00,0.00,0.00,0.00
5174.00,1970-01-01 00:00:05.174,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.71,60.64,70.50,-7.66,24.30,1.57,0.99,17.00,10.00,0.00,0.00,0.00
