OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
806.00,2019-07-02 16:49:04.806,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,13.05,0.00,0.00,0.00,0.00,0.00,0.13,17.00,10.00,0.00,0.00,0.00
2834.00,2019-07-02 16:49:06.834,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.05,56.67,69.34,-17.13,29.31,-0.21,0.13,17.00,10.00,0.00,0.00,0.00
2934.00,2019-07-02 16:49:06.934,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.03,56.67,69.34,-17.13,29.31,-0.24,0.11,17.00,10.00,0.00,0.00,0.00
3034.00,2019-07-02 16:49:07.034,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.02,56.67,69.34,-17.13,29.31,-0.22,0.11,17.00,10.00,0.00,0.00,0.00
3134.00,2019-07-02 16:49:07.134,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.01,56.62,69.17,-16.63,29.31,-0.23,0.14,17.00,10.00,0.00,0.00,0.00
3234.00,2019-07-02 16:49:07.234,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.01,56.62,69.17,-16.63,28.58,-0.24,0.14,17.00,10.00,0.00,0.00,0.00
3334.00,2019-07-02 16:49:07.334,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.98,56.62,69.19,-16.63,28.58,-0.23,0.14,17.00,10.00,0.00,0.00,0.00
3434.00,2019-07-02 16:49:07.434,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,13.02,56.69,69.19,-16.53,28.58,-0.27,0.14,17.00,10.00,0.00,0.00,0.00
3534.00,2019-07-02 16:49:07.534,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.98,56.69,69.19,-16.53,28.58,-0.26,0.13,17.00,10.00,0.00,0.00,0.00
3634.00,2019-07-02 16:49:07.634,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.96,56.66,69.16,-16.45,28.66,-0.24,0.14,17.00,10.00,0.00,0.00,0.00
3734.00,2019-07-02 16:49:07.734,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,13.02,56.66,69.16,-16.45,28.66,-0.24,0.14,17.00,10.00,0.00,0.00,0.00
3834.00,2019-07-02 16:49:07.834,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.98,56.66,69.22,-16.45,28.66,-0.22,0.14,17.00,10.00,0.00,0.00,0.00
3934.00,2019-07-02 16:49:07.934,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.98,56.70,69.22,-16.42,28.66,-0.26,0.12,17.00,10.00,0.00,0.00,0.00
4034.00,2019-07-02 16:49:08.034,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.98,56.70,69.22,-16.42,28.68,-0.22,0.14,17.00,10.00,0.00,0.00,0.00
4134.00,2019-07-02 16:49:08.134,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.99,56.67,69.27,-16.34,28.68,-0.23,0.13,17.00,10.00,0.00,0.00,0.00
4234.00,2019-07-02 16:49:08.234,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,13.01,56.67,69.27,-16.34,28.68,-0.24,0.14,17.00,10.00,0.00,0.00,0.00
4334.00,2019-07-02 16:49:08.334,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.94,56.67,69.22,-16.34,28.68,-0.23,0.13,17.00,10.00,0.00,0.00,0.00
4434.00,2019-07-02 16:49:08.434,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,13.00,56.73,69.22,-16.28,28.81,-0.25,0.13,17.00,10.00,0.00,0.00,0.00
4534.00,2019-07-02 16:49:08.534,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.98,56.73,69.22,-16.28,28.81,-0.23,0.13,17.00,10.00,0.00,0.00,0.00
4634.00,2019-07-02 16:49:08.634,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.99,56.73,69.27,-16.28,28.81,-0.27,0.14,17.00,10.00,0.00,0.00,0.00
4734.00,2019-07-02 16:49:08.734,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.97,56.71,69.27,-16.26,28.81,-0.24,0.13,17.00,10.00,0.00,0.00,0.00
4834.00,2019-07-02 16:49:08.834,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.96,56.71,69.20,-16.26,28.48,-0.25,0.12,17.00,10.00,0.00,0.00,0.00
4934.00,2019-07-02 16:49:08.934,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.02,56.76,69.20,-16.14,28.48,-0.24,0.10,17.00,10.00,0.00,0.00,0.00
5034.00,2019-07-02 16:49:09.034,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.96,56.76,69.20,-16.14,28.48,-0.23,0.11,17.00,10.00,0.00,0.00,0.00
5134.00,2019-07-02 16:49:09.134,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.98,56.76,69.17,-16.14,28.48,-0.27,0.13,17.00,10.00,0.00,0.00,0.00
5234.00,2019-07-02 16:49:09.234,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.98,56.79,69.17,-16.12,28.45,-0.22,0.13,17.00,10.00,0.00,0.00,0.00
5334.00,2019-07-02 16:49:09.334,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.98,56.79,69.20,-16.12,28.45,-0.23,0.13,17.00,10.00,0.00,0.00,0.00
5434.00,2019-07-02 16:49:09.434,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.99,56.76,69.20,-15.99,28.45,-0.24,0.14,17.00,10.00,0.00,0.00,0.00
5534.00,2019-07-02 16:49:09.534,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.95,56.76,69.20,-15.99,28.45,-0.22,0.14,17.00,10.00,0.00,0.00,0.00
5634.00,2019-07-02 16:49:09.634,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,13.00,56.76,69.22,-15.99,28.39,-0.24,0.13,17.00,10.00,0.00,0.00,0.00
5734.00,2019-07-02 16:49:09.734,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.97,56.73,69.22,-15.94,28.39,-0.22,0.14,17.00,10.00,0.00,0.00,0.00
5834.00,2019-07-02 16:49:09.834,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.96,56.73,69.16,-15.94,28.39,-0.23,0.14,17.00,10.00,0.00,0.00,0.00
5934.00,2019-07-02 16:49:09.934,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.97,56.73,69.16,-15.94,28.39,-0.25,0.14,17.00,10.00,0.00,0.00,0.00
6034.00,2019-07-02 16:49:10.034,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.96,56.76,69.16,-15.88,28.70,-0.23,0.13,17.00,10.00,0.00,0.00,0.00
6134.00,2019-07-02 16:49:10.134,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.01,56.76,69.21,-15.88,28.70,-0.24,0.12,17.00,10.00,0.00,0.00,0.00
6234.00,2019-07-02 16:49:10.234,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.94,56.77,69.21,-15.81,28.70,-0.24,0.12,17.00,10.00,0.00,0.00,0.00
6334.00,2019-07-02 16:49:10.334,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.98,56.77,69.23,-15.81,28.70,-0.23,0.10,17.00,10.00,0.00,0.00,0.00
6434.00,2019-07-02 16:49:10.434,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.98,56.77,69.23,-15.81,28.49,-0.21,0.11,17.00,10.00,0.00,0.00,0.00
6534.00,2019-07-02 16:49:10.534,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.97,56.80,69.23,-15.77,28.49,-0.25,0.13,17.00,10.00,0.00,0.00,0.00
6634.00,2019-07-02 16:49:10.634,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.97,56.80,69.19,-15.77,28.49,-0.25,0.13,17.00,10.00,0.00,0.00,0.00
6734.00,2019-07-02 16:49:10.734,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.95,56.78,69.19,-15.71,28.49,-0.23,0.13,17.00,10.00,0.00,0.00,0.00
