OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
797.00,1970-00-00 00:00:00.797,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.34,0.00,0.00,0.00,0.00,0.00,0.10,17.00,10.00,0.00,0.00,0.00
2282.00,1970-01-01 00:00:02.282,0.00,0.00,0.00,0.85,0.00,1.00,1.00,0.00,0.00,12.34,25.52,26.19,34.66,27.72,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
2382.00,1970-01-01 00:00:02.382,0.00,0.00,0.00,0.88,0.00,1.00,1.00,0.00,0.00,12.33,25.52,26.19,34.66,27.72,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
2482.00,1970-01-01 00:00:02.482,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.33,25.52,26.19,34.66,27.72,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
2582.00,1970-01-01 00:00:02.582,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.33,25.61,26.18,34.68,27.72,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
2682.00,1970-01-01 00:00:02.682,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.33,25.61,26.18,34.68,27.78,-0.21,0.10,17.00,10.00,0.00,0.00,0.00
2782.00,1970-01-01 00:00:02.782,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.61,26.23,34.68,27.78,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
2882.00,1970-01-01 00:00:02.882,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.66,26.23,34.59,27.78,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
2982.00,1970-01-01 00:00:02.982,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.66,26.23,34.59,27.78,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
3082.00,1970-01-01 00:00:03.082,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.68,26.27,34.59,27.81,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
3182.00,1970-01-01 00:00:03.182,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.68,26.27,34.59,27.81,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
3282.00,1970-01-01 00:00:03.282,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.68,26.21,34.59,27.81,-0.20,0.11,17.00,10.00,0.00,0.00,0.00
3382.00,1970-01-01 00:00:03.382,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.63,26.21,34.65,27.81,-0.19,0.10,17.00,10.00,0.00,0.00,0.00
3482.00,1970-01-01 00:00:03.482,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.63,26.21,34.65,27.83,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
3582.00,1970-01-01 00:00:03.582,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.68,26.34,34.67,27.83,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
3682.00,1970-01-01 00:00:03.682,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.68,26.34,34.67,27.83,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
3782.00,1970-01-01 00:00:03.782,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.68,26.30,34.67,27.83,-0.21,0.10,17.00,10.00,0.00,0.00,0.00
3882.00,1970-01-01 00:00:03.882,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.69,26.30,34.68,27.84,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
3982.00,1970-01-01 00:00:03.982,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.69,26.30,34.68,27.84,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
4082.00,1970-01-01 00:00:04.082,0.00,0.00,0.00,0.89,0.00,1.00,1.00,0.00,0.00,12.32,25.69,26.30,34.68,27.84,-0.20,0.10,17.00,10.00,0.00,0.00,0.00
