OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
778.00,1970-00-00 00:00:00.778,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.92,0.00,0.00,0.00,0.00,0.00,0.00,17.00,10.00,0.00,0.00,0.00
3557.00,1970-01-01 00:00:03.557,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.92,44.41,32.34,35.41,29.84,-0.37,0.00,17.00,10.00,0.00,0.00,0.00
3657.00,1970-01-01 00:00:03.657,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.80,44.41,32.34,35.41,29.84,-0.34,0.02,17.00,10.00,0.00,0.00,0.00
3757.00,1970-01-01 00:00:03.757,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.77,44.41,32.34,35.41,29.84,-0.38,0.02,17.00,10.00,0.00,0.00,0.00
3857.00,1970-01-01 00:00:03.857,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.83,44.53,32.43,35.69,29.84,-0.33,0.02,17.00,10.00,0.00,0.00,0.00
3957.00,1970-01-01 00:00:03.957,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.77,44.53,32.43,35.69,30.61,-0.38,0.02,17.00,10.00,0.00,0.00,0.00
4057.00,1970-01-01 00:00:04.057,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.81,44.53,32.38,35.69,30.61,-0.37,0.02,17.00,10.00,0.00,0.00,0.00
4157.00,1970-01-01 00:00:04.157,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.78,44.63,32.38,35.63,30.61,-0.37,0.02,17.00,10.00,0.00,0.00,0.00
4257.00,1970-01-01 00:00:04.257,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.81,44.63,32.38,35.63,30.61,-0.38,0.01,17.00,10.00,0.00,0.00,0.00
4357.00,1970-01-01 00:00:04.357,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.79,44.60,32.45,35.67,30.71,-0.35,0.01,17.00,10.00,0.00,0.00,0.00
