OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle,burning
54137.00,1970-01-01 00:00:54.137,0.00,57.00,0.00,1.51,0.00,1.00,1.00,46.85,1.45,12.55,36.09,43.19,-77.50,-0.35,0.06,17.00,7000.00,-41.00,0.00
55262.00,1970-01-01 00:00:55.262,0.00,57.00,0.00,1.51,0.00,1.00,1.00,46.85,1.45,12.73,36.12,43.37,-72.11,-0.36,0.05,17.00,7000.00,-41.00,0.00
56368.00,1970-01-01 00:00:56.368,0.00,57.00,0.00,1.51,0.00,1.00,1.00,46.85,1.45,12.59,36.13,43.55,-67.23,-0.36,0.06,17.00,7000.00,-41.00,0.00
57480.00,1970-01-01 00:00:57.480,0.00,57.00,0.00,1.51,0.00,1.00,1.00,46.85,1.45,12.66,36.16,43.69,-62.97,-0.35,0.06,17.00,7000.00,-41.00,0.00
58585.00,1970-01-01 00:00:58.585,0.00,57.00,0.00,1.51,0.00,1.00,1.00,46.85,1.45,12.73,36.16,43.84,-59.02,-0.36,0.06,17.00,7000.00,-41.00,0.00
59585.00,1970-01-01 00:00:59.585,0.00,57.00,0.00,1.51,0.00,1.00,1.00,46.85,1.45,12.57,36.14,43.93,-56.32,-0.35,0.06,17.00,7000.00,-41.00,0.00
59698.00,1970-01-01 00:00:59.698,0.00,57.00,0.00,1.51,0.00,1.00,1.00,46.85,1.45,12.57,36.18,43.89,-55.57,-0.36,0.06,17.00,7000.00,-41.00,1.00
59798.00,1970-01-01 00:00:59.798,0.00,57.00,0.00,1.51,1.00,1.00,1.00,46.85,1.45,9.39,36.18,43.89,-55.57,-0.47,-0.01,23.00,7000.00,-41.00,1.00
59898.00,1970-01-01 00:00:59.898,0.00,57.00,0.00,1.51,1.00,1.00,1.00,46.85,1.45,11.27,36.18,43.89,-55.57,-0.31,0.02,23.00,7000.00,-41.00,1.00
59998.00,1970-01-01 00:00:59.998,0.00,57.00,7.63,1.51,1.00,1.00,1.00,46.65,1.45,10.43,36.09,43.98,-54.62,-0.42,0.01,23.00,7000.00,-20.00,1.00
60098.00,2019-06-19 15:24:44.098,0.00,57.00,1178.02,1.51,1.00,1.00,1.00,46.45,1.46,11.70,36.09,43.98,-54.62,-0.36,-0.01,23.00,7000.00,-41.00,1.00
60198.00,2019-06-19 15:24:44.198,0.00,57.00,1810.28,0.82,0.00,1.00,1.00,46.09,1.47,12.52,36.09,43.98,-54.62,-0.37,0.07,21.00,6242.13,-59.00,1.00
60298.00,2019-06-19 15:24:44.298,0.00,57.00,1849.91,0.82,0.00,1.00,1.00,45.91,1.48,12.57,36.09,43.96,-53.59,-0.36,0.04,21.00,6206.65,-61.00,1.00
60398.00,2019-06-19 15:24:44.398,0.00,57.00,1774.65,0.82,0.00,1.00,1.00,45.56,1.49,12.55,36.09,43.96,-53.59,-0.35,0.10,21.00,6274.04,-56.00,1.00
60498.00,2019-06-19 15:24:44.498,1.69,57.11,1757.42,0.83,0.00,1.00,1.00,45.48,1.49,12.61,36.16,44.05,-62.25,-0.37,0.08,21.00,6289.46,-56.00,1.00
60598.00,2019-06-19 15:24:44.598,1.69,57.11,1770.20,0.97,0.00,1.00,1.00,45.13,1.50,12.51,36.16,44.05,-62.25,-0.31,0.05,21.00,6278.02,-56.00,1.00
60823.00,2019-06-19 15:24:44.823,1.28,57.23,1737.75,1.02,0.00,1.00,1.00,44.71,1.52,12.62,36.16,44.04,-73.42,-0.38,0.07,21.00,6306.98,-56.00,1.00
60923.00,2019-06-19 15:24:44.923,1.28,57.23,1726.42,1.11,0.00,1.00,1.00,44.38,1.53,12.61,36.16,44.04,-73.42,-0.34,0.06,21.00,6317.03,-56.00,1.00
61023.00,2019-06-19 15:24:45.023,1.68,57.35,1719.99,1.14,0.00,1.00,1.00,44.30,1.54,12.65,36.16,44.04,-73.42,-0.35,0.05,21.00,6322.74,-55.00,1.00
61123.00,2019-06-19 15:24:45.123,1.68,57.35,1711.84,1.15,0.00,1.00,1.00,44.14,1.54,12.61,36.10,44.14,-87.47,-0.32,0.05,21.00,6329.97,-55.00,1.00
61223.00,2019-06-19 15:24:45.223,2.03,57.46,1721.89,1.15,0.00,1.00,1.00,43.90,1.56,12.62,36.10,44.14,-87.47,-0.38,0.05,21.00,6321.06,-55.00,1.00
61323.00,2019-06-19 15:24:45.323,2.03,57.46,1719.89,1.21,0.00,1.00,1.00,43.74,1.56,12.63,36.10,44.14,-87.47,-0.34,0.05,21.00,6322.83,-55.00,1.00
61423.00,2019-06-19 15:24:45.423,2.35,57.58,1727.19,1.18,0.00,1.00,1.00,43.51,1.57,12.58,36.09,44.16,-96.51,-0.34,0.06,21.00,6316.35,-56.00,1.00
61523.00,2019-06-19 15:24:45.523,2.64,57.70,1719.47,1.19,0.00,1.00,1.00,43.44,1.58,12.66,36.09,44.16,-96.51,-0.36,0.06,21.00,6323.20,-55.00,1.00
61623.00,2019-06-19 15:24:45.623,2.64,57.70,1706.05,1.23,0.00,1.00,1.00,43.12,1.59,12.61,36.16,44.13,-104.77,-0.35,0.05,21.00,6335.11,-55.00,1.00
61723.00,2019-06-19 15:24:45.723,2.89,57.82,1711.35,1.23,0.00,1.00,1.00,43.06,1.60,12.66,36.16,44.13,-104.77,-0.37,0.07,21.00,6330.40,-55.00,1.00
61823.00,2019-06-19 15:24:45.823,3.14,57.93,1715.68,1.19,0.00,1.00,1.00,42.99,1.60,12.63,36.16,44.13,-104.77,-0.35,0.10,21.00,6326.56,-55.00,1.00
61948.00,2019-06-19 15:24:45.948,3.36,58.05,1720.31,1.19,0.00,1.00,1.00,42.77,1.61,12.63,36.21,44.16,-112.05,-0.34,0.03,21.00,6322.46,-55.00,1.00
62048.00,2019-06-19 15:24:46.048,3.56,58.17,1717.50,1.15,0.00,1.00,1.00,42.55,1.62,12.58,36.21,44.16,-112.05,-0.37,0.07,21.00,6324.95,-55.00,1.00
62148.00,2019-06-19 15:24:46.148,3.78,58.28,1723.44,1.14,0.00,1.00,1.00,42.49,1.63,12.62,36.21,44.16,-112.05,-0.32,0.08,21.00,6319.67,-56.00,1.00
62248.00,2019-06-19 15:24:46.248,3.95,58.40,1710.84,1.18,0.00,1.00,1.00,42.42,1.64,12.64,36.12,44.19,-121.62,-0.36,0.05,21.00,6330.86,-55.00,1.00
62348.00,2019-06-19 15:24:46.348,4.15,58.52,1701.19,1.18,0.00,1.00,1.00,42.21,1.65,12.64,36.12,44.19,-121.62,-0.36,0.07,21.00,6339.43,-55.00,1.00
62448.00,2019-06-19 15:24:46.448,4.53,58.75,1724.14,1.14,0.00,1.00,1.00,42.23,1.65,12.64,36.12,44.19,-121.62,-0.35,0.09,21.00,6319.06,-56.00,1.00
62548.00,2019-06-19 15:24:46.548,4.70,58.87,1717.16,1.13,0.00,1.00,1.00,42.02,1.66,12.53,36.16,44.26,-128.10,-0.36,0.06,21.00,6325.25,-55.00,1.00
62648.00,2019-06-19 15:24:46.648,4.89,58.99,1722.36,1.09,0.00,1.00,1.00,41.96,1.67,12.67,36.16,44.26,-128.10,-0.33,0.10,21.00,6320.64,-56.00,1.00
62748.00,2019-06-19 15:24:46.748,5.04,59.10,1715.39,1.09,0.00,1.00,1.00,41.76,1.68,12.65,36.16,44.27,-134.52,-0.36,0.08,21.00,6326.82,-55.00,1.00
62848.00,2019-06-19 15:24:46.848,5.35,59.34,1708.26,1.08,0.00,1.00,1.00,41.78,1.69,12.61,36.16,44.27,-134.52,-0.36,0.07,21.00,6333.15,-55.00,1.00
63079.00,2019-06-19 15:24:47.079,5.77,59.69,1714.85,1.04,0.00,1.00,1.00,41.60,1.70,12.66,36.06,44.29,-140.61,-0.37,0.01,21.00,6327.30,-55.00,1.00
63179.00,2019-06-19 15:24:47.179,5.87,59.80,1711.45,1.05,0.00,1.00,1.00,41.41,1.72,12.60,36.06,44.29,-140.61,-0.33,0.05,21.00,6330.32,-55.00,1.00
63279.00,2019-06-19 15:24:47.279,6.10,60.04,1718.51,1.04,0.00,1.00,1.00,41.43,1.72,12.65,36.06,44.29,-140.61,-0.35,0.09,21.00,6324.05,-55.00,1.00
63379.00,2019-06-19 15:24:47.379,6.23,60.16,1729.68,1.04,0.00,1.00,1.00,41.24,1.73,12.65,36.10,44.30,-148.67,-0.35,0.09,21.00,6314.14,-56.00,1.00
