OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
749.00,1970-00-00 00:00:00.749,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,11.96,0.00,0.00,0.00,0.00,-0.19,-0.01,17.00,10.00,0.00,0.00,0.00
1993.00,1970-01-01 00:00:01.993,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,11.96,46.76,60.80,-44.01,29.41,-0.18,-0.01,17.00,10.00,0.00,0.00,0.00
2093.00,1970-01-01 00:00:02.093,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,11.97,46.76,60.80,-44.01,29.41,-0.17,-0.01,17.00,10.00,0.00,0.00,0.00
2193.00,1970-01-01 00:00:02.193,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.95,46.76,60.80,-44.01,29.41,-0.18,-0.01,17.00,10.00,0.00,0.00,0.00
2293.00,1970-01-01 00:00:02.293,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.95,46.84,60.76,-43.74,29.41,-0.20,-0.01,17.00,10.00,0.00,0.00,0.00
2393.00,1970-01-01 00:00:02.393,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.96,46.84,60.76,-43.74,29.37,-0.17,-0.01,17.00,10.00,0.00,0.00,0.00
2493.00,1970-01-01 00:00:02.493,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.98,46.84,60.76,-43.74,29.37,-0.17,-0.01,17.00,10.00,0.00,0.00,0.00
2593.00,1970-01-01 00:00:02.593,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,11.95,46.82,60.80,-43.77,29.37,-0.17,-0.01,17.00,10.00,0.00,0.00,0.00
2693.00,1970-01-01 00:00:02.693,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,11.96,46.82,60.80,-43.77,29.37,-0.18,-0.01,17.00,10.00,0.00,0.00,0.00
2793.00,1970-01-01 00:00:02.793,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,11.97,46.88,60.77,-43.76,29.37,-0.19,-0.01,17.00,10.00,0.00,0.00,0.00
2893.00,1970-01-01 00:00:02.893,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.94,46.88,60.77,-43.76,29.37,-0.17,-0.01,17.00,10.00,0.00,0.00,0.00
2993.00,1970-01-01 00:00:02.993,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.97,46.88,60.77,-43.76,29.37,-0.20,-0.01,17.00,10.00,0.00,0.00,0.00
3093.00,1970-01-01 00:00:03.093,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,11.96,46.86,60.80,-43.63,29.37,-0.16,-0.01,17.00,10.00,0.00,0.00,0.00
3193.00,1970-01-01 00:00:03.193,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,11.95,46.86,60.80,-43.63,29.43,-0.19,-0.01,17.00,10.00,0.00,0.00,0.00
3293.00,1970-01-01 00:00:03.293,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,11.95,46.84,60.78,-43.61,29.43,-0.18,-0.01,17.00,10.00,0.00,0.00,0.00
3393.00,1970-01-01 00:00:03.393,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.94,46.84,60.78,-43.61,29.43,-0.18,-0.00,17.00,10.00,0.00,0.00,0.00
3493.00,1970-01-01 00:00:03.493,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.94,46.84,60.78,-43.61,29.43,-0.20,-0.00,17.00,10.00,0.00,0.00,0.00
3593.00,1970-01-01 00:00:03.593,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.95,46.81,60.83,-43.52,29.41,-0.18,-0.01,17.00,10.00,0.00,0.00,0.00
3693.00,1970-01-01 00:00:03.693,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.95,46.81,60.83,-43.52,29.41,-0.18,-0.01,17.00,10.00,0.00,0.00,0.00
3793.00,1970-01-01 00:00:03.793,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,11.99,46.81,60.83,-43.52,29.41,-0.17,-0.00,17.00,10.00,0.00,0.00,0.00
3893.00,1970-01-01 00:00:03.893,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,11.95,46.86,60.71,-43.41,29.41,-0.18,-0.01,17.00,10.00,0.00,0.00,0.00
3993.00,1970-01-01 00:00:03.993,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.96,46.86,60.71,-43.41,29.41,-0.19,-0.01,17.00,10.00,0.00,0.00,0.00
4093.00,1970-01-01 00:00:04.093,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.95,46.81,60.76,-43.45,29.41,-0.18,-0.01,17.00,10.00,0.00,0.00,0.00
4193.00,1970-01-01 00:00:04.193,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.96,46.81,60.76,-43.45,29.41,-0.18,-0.01,17.00,10.00,0.00,0.00,0.00
4293.00,1970-01-01 00:00:04.293,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.95,46.81,60.76,-43.45,29.41,-0.17,-0.01,17.00,10.00,0.00,0.00,0.00
4393.00,1970-01-01 00:00:04.393,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,11.92,46.91,60.81,-43.34,29.41,-0.18,-0.01,17.00,10.00,0.00,0.00,0.00
4493.00,1970-01-01 00:00:04.493,0.00,0.00,0.00,0.81,1.00,1.00,1.00,0.00,0.00,8.41,46.91,60.81,-43.34,29.41,-0.28,-0.11,23.00,10.00,0.00,1.00,2.00
4593.00,1970-01-01 00:00:04.593,0.00,0.00,0.00,0.81,1.00,1.00,1.00,0.00,0.00,9.95,46.80,60.85,-43.34,29.41,-0.14,-0.07,23.00,10.00,0.00,1.00,2.00
4693.00,1970-01-01 00:00:04.693,0.00,0.00,25.66,0.81,1.00,1.00,1.00,0.00,0.00,10.71,46.80,60.85,-43.34,29.41,-0.23,-0.06,23.00,4375.56,-20.00,1.00,2.00
4793.00,1970-01-01 00:00:04.793,0.00,0.00,25.66,0.81,1.00,1.00,1.00,0.00,0.00,10.66,46.80,60.85,-43.34,29.39,-0.21,-0.06,23.00,4375.56,-20.00,1.00,2.00
4893.00,1970-01-01 00:00:04.893,0.00,0.00,811.03,0.81,1.00,1.00,1.00,0.00,0.01,10.18,46.86,60.79,-43.31,29.39,-0.15,-0.05,23.00,4375.56,-34.00,1.00,2.00
4993.00,1970-01-01 00:00:04.993,0.00,0.00,902.82,0.81,1.00,1.00,1.00,0.00,0.01,11.22,46.86,60.79,-43.31,29.39,-0.15,-0.08,23.00,4364.38,-36.00,1.00,2.00
