OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
749.00,1970-00-00 00:00:00.749,0.00,0.00,0.00,0.80,1.00,0.00,1.00,0.00,0.00,12.08,0.00,0.00,0.00,0.00,-0.07,0.02,5.00,10.00,0.00,1.00,0.00
2356.00,1970-01-01 00:00:02.356,0.00,0.00,1971.38,1.51,0.00,0.00,1.00,0.00,0.17,12.08,31.67,33.73,-63.47,21.59,-0.09,0.02,5.00,8000.00,-68.00,1.00,0.00
2456.00,1970-01-01 00:00:02.456,0.00,0.00,2046.94,1.51,0.00,0.00,1.00,0.00,0.18,11.90,31.67,33.76,-63.47,21.59,-0.08,0.03,5.00,8000.00,-71.00,1.00,0.00
2556.00,1970-01-01 00:00:02.556,0.00,0.00,2010.96,1.51,0.00,0.00,1.00,0.00,0.19,12.02,31.67,33.76,-63.47,21.59,-0.07,0.04,1.00,8000.00,-71.00,0.00,0.00
2656.00,1970-01-01 00:00:02.656,0.00,0.00,1654.28,1.51,0.00,0.00,1.00,0.00,0.20,12.06,31.59,33.76,-81.00,21.59,-0.09,0.03,1.00,7421.65,-54.00,0.00,0.00
2756.00,1970-01-01 00:00:02.756,0.00,0.00,1439.28,1.51,0.00,0.00,1.00,0.00,0.21,11.88,31.59,33.76,-81.00,21.55,-0.07,0.04,1.00,5340.70,-48.00,0.00,0.00
2856.00,1970-01-01 00:00:02.856,0.00,0.00,1180.00,1.51,0.00,0.00,1.00,0.00,0.21,12.03,31.59,33.76,-81.00,21.55,-0.09,0.03,1.00,5340.70,-41.00,0.00,0.00
2956.00,1970-01-01 00:00:02.956,0.00,0.00,1239.77,1.51,0.00,0.00,1.00,0.00,0.22,11.89,31.52,33.76,-79.79,21.55,-0.05,0.02,1.00,5340.70,-42.00,0.00,0.00
3056.00,1970-01-01 00:00:03.056,0.00,0.00,1239.77,1.51,0.00,0.00,1.00,0.00,0.22,12.04,31.52,33.81,-79.79,21.55,-0.07,0.03,1.00,5340.70,-42.00,0.00,0.00
3156.00,1970-01-01 00:00:03.156,0.00,0.00,1239.77,1.51,0.00,0.00,1.00,0.00,0.22,12.07,31.45,33.81,-75.66,21.56,-0.08,0.04,1.00,5340.70,-42.00,0.00,0.00
3256.00,1970-01-01 00:00:03.256,0.00,0.00,1239.77,1.51,0.00,0.00,1.00,0.00,0.22,11.90,31.45,33.88,-75.66,21.56,-0.07,0.03,1.00,5340.70,-42.00,0.00,0.00
3356.00,1970-01-01 00:00:03.356,0.00,0.00,293.69,1.51,0.00,0.00,1.00,0.00,0.22,12.03,31.45,33.88,-75.66,21.56,-0.08,0.02,1.00,5340.70,-25.00,0.00,0.00
3456.00,1970-01-01 00:00:03.456,0.00,0.00,293.69,1.51,1.00,0.00,1.00,0.00,0.22,7.74,31.45,33.88,-72.46,21.56,-0.04,0.03,7.00,5340.70,-25.00,1.00,0.00
3556.00,1970-01-01 00:00:03.556,0.00,0.00,293.69,1.51,1.00,0.00,1.00,0.00,0.22,6.43,31.45,33.89,-72.46,21.59,-0.22,-0.22,7.00,5340.70,-25.00,1.00,0.00
3656.00,1970-01-01 00:00:03.656,0.00,0.00,293.69,1.51,1.00,0.00,1.00,0.00,0.22,6.44,31.46,33.89,-70.15,21.59,-0.22,-0.22,7.00,5340.70,-25.00,1.00,0.00
3756.00,1970-01-01 00:00:03.756,0.00,0.00,293.69,1.51,1.00,0.00,1.00,0.00,0.22,6.44,31.46,33.91,-70.15,21.59,-0.21,-0.22,7.00,5340.70,-25.00,1.00,0.00
3856.00,1970-01-01 00:00:03.856,0.00,0.00,0.00,1.51,1.00,0.00,1.00,0.00,0.22,9.21,31.46,33.91,-70.15,21.59,-0.06,-0.00,7.00,5340.70,-25.00,1.00,0.00
3956.00,1970-01-01 00:00:03.956,0.00,0.00,0.00,1.51,1.00,0.00,1.00,0.00,0.22,10.35,31.35,33.91,-68.51,21.78,-0.11,-0.02,7.00,5340.70,-25.00,1.00,0.00
4056.00,1970-01-01 00:00:04.056,0.00,0.00,181.32,1.51,1.00,0.00,1.00,0.00,0.23,9.65,31.35,33.89,-68.51,21.78,-0.04,-0.03,7.00,8000.00,-23.00,1.00,0.00
4156.00,1970-01-01 00:00:04.156,0.00,0.00,1121.67,1.51,1.00,0.00,1.00,0.00,0.24,10.84,31.35,33.89,-68.51,21.78,-0.03,-0.03,7.00,8000.00,-40.00,1.00,0.00
4256.00,1970-01-01 00:00:04.256,0.00,0.00,1933.86,1.44,0.00,0.00,1.00,0.00,0.25,11.80,31.29,33.89,-66.77,21.78,-0.08,0.03,5.00,8000.00,-66.00,1.00,0.00
4356.00,1970-01-01 00:00:04.356,0.00,0.00,2151.42,1.26,0.00,0.00,1.00,0.00,0.27,11.84,31.29,33.95,-66.77,21.67,-0.08,0.03,5.00,8000.00,-73.00,1.00,0.00
4456.00,1970-01-01 00:00:04.456,0.00,0.00,1981.60,1.32,0.00,0.00,1.00,0.00,0.27,11.88,31.30,33.95,-70.95,21.67,-0.07,0.04,5.00,8000.00,-69.00,1.00,0.00
4556.00,1970-01-01 00:00:04.556,0.00,0.00,1850.02,1.51,0.00,0.00,1.00,0.00,0.29,11.91,31.30,33.96,-70.95,21.67,-0.09,0.04,5.00,8000.00,-62.00,1.00,0.00
4656.00,1970-01-01 00:00:04.656,0.00,0.00,2052.83,1.51,0.00,0.00,1.00,0.00,0.30,11.78,31.30,33.96,-70.95,21.67,-0.06,0.02,5.00,8000.00,-71.00,1.00,0.00
4756.00,1970-01-01 00:00:04.756,0.00,0.00,1986.43,1.51,0.00,0.00,1.00,0.00,0.31,11.95,31.29,33.96,-77.55,21.71,-0.09,0.01,5.00,8000.00,-69.00,1.00,0.00
