OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
18690.00,1970-01-01 00:00:18.690,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.11,28.30,28.52,27.08,26.65,-0.06,0.06,17.00,10.00,0.00,0.00,0.00
18790.00,1970-01-01 00:00:18.790,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,11.92,28.31,28.70,27.03,26.65,-0.06,0.01,17.00,10.00,0.00,0.00,0.00
18890.00,1970-01-01 00:00:18.890,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.12,28.31,28.70,27.03,26.65,-0.04,0.03,17.00,10.00,0.00,0.00,0.00
18990.00,1970-01-01 00:00:18.990,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.04,28.37,28.58,26.95,26.65,-0.07,0.03,17.00,10.00,0.00,0.00,0.00
19090.00,1970-01-01 00:00:19.090,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.08,28.37,28.58,26.95,26.65,-0.06,0.02,17.00,10.00,0.00,0.00,0.00
19190.00,1970-01-01 00:00:19.190,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.11,28.37,28.58,26.95,26.65,-0.03,0.05,17.00,10.00,0.00,0.00,0.00
19290.00,1970-01-01 00:00:19.290,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,11.93,28.27,28.61,27.00,26.59,-0.07,0.05,17.00,10.00,0.00,0.00,0.00
19390.00,1970-01-01 00:00:19.390,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.07,28.27,28.61,27.00,26.59,-0.06,0.05,17.00,10.00,0.00,0.00,0.00
19490.00,1970-01-01 00:00:19.490,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.09,28.27,28.61,27.00,26.59,-0.03,0.05,17.00,10.00,0.00,0.00,0.00
19590.00,1970-01-01 00:00:19.590,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.08,28.31,28.66,26.95,26.59,-0.05,0.05,17.00,10.00,0.00,0.00,0.00
19690.00,1970-01-01 00:00:19.690,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.07,28.31,28.66,26.95,26.68,-0.04,0.05,17.00,10.00,0.00,0.00,0.00
19790.00,1970-01-01 00:00:19.790,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.09,28.27,28.56,26.91,26.68,-0.07,0.05,17.00,10.00,0.00,0.00,0.00
19890.00,1970-01-01 00:00:19.890,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.07,28.27,28.56,26.91,26.68,-0.05,0.05,17.00,10.00,0.00,0.00,0.00
19990.00,1970-01-01 00:00:19.990,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.12,28.27,28.56,26.91,26.68,-0.04,0.05,17.00,10.00,0.00,0.00,0.00
