OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
836,1970-00-00 00:00:00.836,0,0,0,0.8,0,0,1,0,0,12.73,0,0,0,0,-0.15,0.02,17,10,0,0,0
2109,00:02.1,0,0,0,0.8,0,1,1,0,0,12.73,40.53,44.69,-12.72,27.73,-0.15,0.02,17,10,0,0,0
2209,00:02.2,0,0,0,0.8,0,1,1,0,0,12.71,40.53,44.69,-12.72,27.73,-0.14,0.01,17,10,0,0,0
2309,00:02.3,0,0,0,0.8,0,1,1,0,0,12.72,40.53,44.69,-12.72,27.73,-0.15,0.01,17,10,0,0,0
2409,00:02.4,0,0,0,0.8,0,1,1,0,0,12.61,40.51,44.59,-12.24,27.73,-0.15,0.01,17,10,0,0,0
2509,00:02.5,0,0,0,0.8,0,1,1,0,0,12.69,40.51,44.59,-12.24,27.78,-0.16,0.01,17,10,0,0,0
2609,00:02.6,0,0,0,0.8,0,1,1,0,0,12.68,40.51,44.66,-12.24,27.78,-0.16,0,17,10,0,0,0
2709,00:02.7,0,0,0,0.81,0,1,1,0,0,12.69,40.51,44.66,-12.13,27.78,-0.14,0,17,10,0,0,0
2809,00:02.8,0,0,0,0.82,0,1,1,0,0,12.61,40.51,44.66,-12.13,27.78,-0.14,0,17,10,0,0,0
2909,00:02.9,0,0,0,0.8,0,1,1,0,0,12.66,40.53,44.62,-12.05,27.88,-0.14,0,17,10,0,0,0
3009,00:03.0,0,0,0,0.83,0,1,1,0,0,12.63,40.53,44.62,-12.05,27.88,-0.14,0,17,10,0,0,0
3109,00:03.1,0,0,0,0.81,0,1,1,0,0,12.66,40.53,44.65,-12.05,27.88,-0.16,0,17,10,0,0,0
