OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
779.00,1970-00-00 00:00:00.779,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.79,0.00,0.00,0.00,0.00,-0.05,0.07,17.00,10.00,0.00,0.00,0.00
2011.00,1970-01-01 00:00:02.011,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.79,24.40,24.55,23.63,26.03,0.00,0.07,17.00,10.00,0.00,0.00,0.00
2111.00,1970-01-01 00:00:02.111,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.63,24.40,24.55,23.63,26.03,-0.02,0.09,17.00,10.00,0.00,0.00,0.00
2211.00,1970-01-01 00:00:02.211,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.65,24.40,24.55,23.63,26.03,0.01,0.10,17.00,10.00,0.00,0.00,0.00
2311.00,1970-01-01 00:00:02.311,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.77,24.45,24.66,23.55,26.03,-0.03,0.10,17.00,10.00,0.00,0.00,0.00
2411.00,1970-01-01 00:00:02.411,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.59,24.45,24.66,23.55,26.14,-0.00,0.09,17.00,10.00,0.00,0.00,0.00
2511.00,1970-01-01 00:00:02.511,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.67,24.45,24.66,23.55,26.14,-0.00,0.09,17.00,10.00,0.00,0.00,0.00
2611.00,1970-01-01 00:00:02.611,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.72,24.46,24.60,23.55,26.14,-0.00,0.10,17.00,10.00,0.00,0.00,0.00
2711.00,1970-01-01 00:00:02.711,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.80,24.46,24.60,23.55,26.14,0.01,0.10,17.00,10.00,0.00,0.00,0.00
2811.00,1970-01-01 00:00:02.811,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.54,24.52,24.66,23.59,25.99,-0.03,0.09,17.00,10.00,0.00,0.00,0.00
