OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
798.00,1970-00-00 00:00:00.798,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.90,0.00,0.00,0.00,0.00,-0.15,0.04,17.00,10.00,0.00,0.00,0.00
2017.00,1970-01-01 00:00:02.017,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.90,23.66,23.23,20.08,22.94,-0.14,0.04,17.00,10.00,0.00,0.00,0.00
2117.00,1970-01-01 00:00:02.117,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.89,23.66,23.23,20.08,22.94,-0.15,0.04,17.00,10.00,0.00,0.00,0.00
2217.00,1970-01-01 00:00:02.217,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.89,23.66,23.23,20.08,22.94,-0.16,0.04,17.00,10.00,0.00,0.00,0.00
2317.00,1970-01-01 00:00:02.317,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.86,23.74,23.30,20.05,22.94,-0.14,0.04,17.00,10.00,0.00,0.00,0.00
2417.00,1970-01-01 00:00:02.417,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.85,23.74,23.30,20.05,22.96,-0.15,0.04,17.00,10.00,0.00,0.00,0.00
2517.00,1970-01-01 00:00:02.517,0.00,0.00,0.00,0.85,0.00,1.00,1.00,0.00,0.00,12.79,23.74,23.38,20.05,22.96,-0.15,0.04,17.00,10.00,0.00,0.00,0.00
2617.00,1970-01-01 00:00:02.617,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.80,23.71,23.38,20.23,22.96,-0.17,0.05,17.00,10.00,0.00,0.00,0.00
2717.00,1970-01-01 00:00:02.717,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.85,23.71,23.38,20.23,22.96,-0.14,0.05,17.00,10.00,0.00,0.00,0.00
2817.00,1970-01-01 00:00:02.817,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.86,23.76,23.39,20.16,22.99,-0.10,0.03,17.00,10.00,0.00,0.00,0.00
2917.00,1970-01-01 00:00:02.917,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.84,23.76,23.39,20.16,22.99,-0.15,0.03,17.00,10.00,0.00,0.00,0.00
3017.00,1970-01-01 00:00:03.017,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.72,23.76,23.38,20.16,22.99,-0.08,0.03,17.00,10.00,0.00,0.00,0.00
3117.00,1970-01-01 00:00:03.117,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.82,23.72,23.38,20.16,22.99,-0.19,0.03,17.00,10.00,0.00,0.00,0.00
3217.00,1970-01-01 00:00:03.217,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.77,23.72,23.38,20.16,22.96,-0.16,0.04,17.00,10.00,0.00,0.00,0.00
3317.00,1970-01-01 00:00:03.317,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.72,23.77,23.43,20.16,22.96,-0.12,0.03,17.00,10.00,0.00,0.00,0.00
3417.00,1970-01-01 00:00:03.417,0.00,0.00,0.00,0.86,0.00,1.00,1.00,0.00,0.00,12.67,23.77,23.43,20.16,22.96,-0.16,0.04,17.00,10.00,0.00,0.00,0.00
3517.00,1970-01-01 00:00:03.517,0.00,0.00,0.00,0.86,0.00,1.00,1.00,0.00,0.00,12.67,23.77,23.39,20.16,22.96,-0.08,0.04,17.00,10.00,0.00,0.00,0.00
3617.00,1970-01-01 00:00:03.617,0.00,0.00,0.00,0.86,0.00,1.00,1.00,0.00,0.00,12.72,23.87,23.39,20.12,22.95,-0.15,0.04,17.00,10.00,0.00,0.00,0.00
3717.00,1970-01-01 00:00:03.717,0.00,0.00,0.00,0.86,0.00,1.00,1.00,0.00,0.00,12.75,23.87,23.39,20.12,22.95,-0.15,0.04,17.00,10.00,0.00,0.00,0.00
3817.00,1970-01-01 00:00:03.817,0.00,0.00,0.00,0.86,0.00,1.00,1.00,0.00,0.00,12.65,23.87,23.41,20.12,22.95,-0.14,0.05,17.00,10.00,0.00,0.00,0.00
