OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
786.00,1970-00-00 00:00:00.786,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.51,0.00,0.00,0.00,0.00,-0.28,-0.04,17.00,10.00,0.00,0.00,0.00
2143.00,1970-01-01 00:00:02.143,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.51,50.66,72.00,-123.56,27.30,-0.28,-0.04,17.00,10.00,0.00,0.00,0.00
2243.00,1970-01-01 00:00:02.243,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.45,50.66,72.00,-123.56,27.30,-0.28,-0.06,17.00,10.00,0.00,0.00,0.00
2343.00,1970-01-01 00:00:02.343,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.49,50.66,72.00,-123.56,27.30,-0.30,-0.06,17.00,10.00,0.00,0.00,0.00
2443.00,1970-01-01 00:00:02.443,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.48,50.68,71.98,-122.32,27.30,-0.30,-0.07,17.00,10.00,0.00,0.00,0.00
2543.00,1970-01-01 00:00:02.543,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.44,50.68,71.98,-122.32,27.34,-0.29,-0.09,17.00,10.00,0.00,0.00,0.00
2643.00,1970-01-01 00:00:02.643,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.47,50.68,72.01,-122.32,27.34,-0.24,-0.09,17.00,10.00,0.00,0.00,0.00
2743.00,1970-01-01 00:00:02.743,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.46,50.56,72.01,-121.97,27.34,-0.28,-0.08,17.00,10.00,0.00,0.00,0.00
2843.00,1970-01-01 00:00:02.843,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.48,50.56,72.01,-121.97,27.34,-0.24,-0.07,17.00,10.00,0.00,0.00,0.00
2943.00,1970-01-01 00:00:02.943,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.44,50.72,72.00,-121.77,27.31,-0.30,-0.07,17.00,10.00,0.00,0.00,0.00
3043.00,1970-01-01 00:00:03.043,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.47,50.72,72.00,-121.77,27.31,-0.29,-0.05,17.00,10.00,0.00,0.00,0.00
3143.00,1970-01-01 00:00:03.143,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.42,50.72,71.98,-121.77,27.31,-0.27,-0.03,17.00,10.00,0.00,0.00,0.00
3243.00,1970-01-01 00:00:03.243,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.47,50.61,71.98,-121.41,27.31,-0.29,-0.03,17.00,10.00,0.00,0.00,0.00
3343.00,1970-01-01 00:00:03.343,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.46,50.61,71.98,-121.41,27.41,-0.25,-0.03,17.00,10.00,0.00,0.00,0.00
3443.00,1970-01-01 00:00:03.443,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.43,50.63,72.02,-121.14,27.41,-0.28,-0.03,17.00,10.00,0.00,0.00,0.00
3543.00,1970-01-01 00:00:03.543,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.44,50.63,72.02,-121.14,27.41,-0.28,-0.04,17.00,10.00,0.00,0.00,0.00
3643.00,1970-01-01 00:00:03.643,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.45,50.63,71.95,-121.14,27.41,-0.28,-0.04,17.00,10.00,0.00,0.00,0.00
3743.00,1970-01-01 00:00:03.743,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.40,50.70,71.95,-120.84,27.42,-0.30,-0.03,17.00,10.00,0.00,0.00,0.00
3843.00,1970-01-01 00:00:03.843,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.42,50.70,71.95,-120.84,27.42,-0.26,-0.04,17.00,10.00,0.00,0.00,0.00
3943.00,1970-01-01 00:00:03.943,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.44,50.70,71.94,-120.84,27.42,-0.31,-0.03,17.00,10.00,0.00,0.00,0.00
4043.00,1970-01-01 00:00:04.043,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.42,50.63,71.94,-120.66,27.42,-0.26,-0.03,17.00,10.00,0.00,0.00,0.00
4143.00,1970-01-01 00:00:04.143,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.38,50.63,71.94,-120.66,27.45,-0.27,-0.03,17.00,10.00,0.00,0.00,0.00
4243.00,1970-01-01 00:00:04.243,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.44,50.60,71.94,-120.37,27.45,-0.29,-0.02,17.00,10.00,0.00,0.00,0.00
4343.00,1970-01-01 00:00:04.343,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.40,50.60,71.94,-120.37,27.45,-0.27,-0.03,17.00,10.00,0.00,0.00,0.00
4443.00,1970-01-01 00:00:04.443,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.41,50.60,71.89,-120.37,27.45,-0.30,-0.03,17.00,10.00,0.00,0.00,0.00
4543.00,1970-01-01 00:00:04.543,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.39,50.54,71.89,-120.24,27.47,-0.25,-0.04,17.00,10.00,0.00,0.00,0.00
4643.00,1970-01-01 00:00:04.643,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.42,50.54,71.96,-120.24,27.47,-0.27,-0.04,17.00,10.00,0.00,0.00,0.00
4743.00,1970-01-01 00:00:04.743,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.40,50.61,71.96,-119.91,27.47,-0.27,-0.03,17.00,10.00,0.00,0.00,0.00
4843.00,1970-01-01 00:00:04.843,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.37,50.61,71.96,-119.91,27.47,-0.26,-0.04,17.00,10.00,0.00,0.00,0.00
4943.00,1970-01-01 00:00:04.943,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.37,50.61,72.00,-119.91,27.45,-0.30,-0.03,17.00,10.00,0.00,0.00,0.00
5043.00,1970-01-01 00:00:05.043,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.40,50.61,72.00,-119.68,27.45,-0.26,-0.04,17.00,10.00,0.00,0.00,0.00
5143.00,1970-01-01 00:00:05.143,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.41,50.61,72.02,-119.68,27.45,-0.29,-0.04,17.00,10.00,0.00,0.00,0.00
5243.00,1970-01-01 00:00:05.243,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.37,50.61,72.02,-119.68,27.45,-0.25,-0.05,17.00,10.00,0.00,0.00,0.00
5343.00,1970-01-01 00:00:05.343,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.42,50.54,72.02,-119.41,27.45,-0.27,-0.06,17.00,10.00,0.00,0.00,0.00
