OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
788.00,1970-00-00 00:00:00.788,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.71,0.00,0.00,0.00,0.00,-0.27,-0.04,17.00,10.00,0.00,0.00,0.00
2205.00,1970-01-01 00:00:02.205,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.71,38.66,59.69,-104.06,25.16,-0.26,-0.04,17.00,10.00,0.00,0.00,0.00
2305.00,1970-01-01 00:00:02.305,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.70,38.66,59.69,-104.06,25.16,-0.26,-0.04,17.00,10.00,0.00,0.00,0.00
2405.00,1970-01-01 00:00:02.405,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.68,38.66,59.69,-104.06,25.16,-0.27,-0.04,17.00,10.00,0.00,0.00,0.00
2505.00,1970-01-01 00:00:02.505,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.68,38.65,59.48,-103.45,25.16,-0.26,-0.04,17.00,10.00,0.00,0.00,0.00
2605.00,1970-01-01 00:00:02.605,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.68,38.65,59.48,-103.45,25.17,-0.27,-0.03,17.00,10.00,0.00,0.00,0.00
2705.00,1970-01-01 00:00:02.705,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.69,38.65,59.54,-103.45,25.17,-0.26,-0.03,17.00,10.00,0.00,0.00,0.00
2805.00,1970-01-01 00:00:02.805,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.69,38.64,59.54,-103.33,25.17,-0.28,-0.03,17.00,10.00,0.00,0.00,0.00
2905.00,1970-01-01 00:00:02.905,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.67,38.64,59.54,-103.33,25.17,-0.26,-0.03,17.00,10.00,0.00,0.00,0.00
3005.00,1970-01-01 00:00:03.005,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.69,38.60,59.46,-103.22,25.17,-0.26,-0.03,17.00,10.00,0.00,0.00,0.00
3105.00,1970-01-01 00:00:03.105,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.67,38.60,59.46,-103.22,25.17,-0.29,-0.03,17.00,10.00,0.00,0.00,0.00
3205.00,1970-01-01 00:00:03.205,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.66,38.60,59.51,-103.22,25.17,-0.26,-0.03,17.00,10.00,0.00,0.00,0.00
3305.00,1970-01-01 00:00:03.305,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.65,38.65,59.51,-103.20,25.17,-0.25,-0.04,17.00,10.00,0.00,0.00,0.00
3405.00,1970-01-01 00:00:03.405,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.62,38.65,59.51,-103.20,25.16,-0.27,-0.04,17.00,10.00,0.00,0.00,0.00
3505.00,1970-01-01 00:00:03.505,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.62,38.69,59.54,-102.84,25.16,-0.24,-0.03,17.00,10.00,0.00,0.00,0.00
