time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
788.00,1250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
915.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1043.00,1750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1171.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1292.00,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,
1409.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1626.00,2750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1742.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1858.00,3250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1974.00,3500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2089.00,3750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
25948.00,1250.00,0.81,38.74,25.17,59.47,-102.23,nan,nan,nan,nan,nan,0.00,0.00,1.00,0.00,547.00,0.00,
26064.00,1500.00,0.81,38.80,25.23,59.44,-180.68,0.81,38.85,24.99,59.30,-199.92,0.00,0.00,1.00,0.00,1165.00,131.00,
26180.00,1750.00,0.82,38.76,25.24,59.43,-161.13,nan,nan,nan,nan,nan,0.00,10.22,1.00,0.00,2668.00,0.00,
26295.00,2000.00,0.82,38.81,25.20,59.37,-199.92,0.81,38.92,24.99,59.35,-199.93,0.00,0.00,1.00,0.00,677.00,2088.00,
26634.00,2250.00,0.81,38.79,25.20,59.36,-199.92,0.81,39.05,24.93,59.50,-199.93,250.00,0.00,1.00,0.00,454.00,2247.00,
26854.00,2500.00,0.81,38.81,25.18,59.35,-199.92,0.80,39.42,24.76,59.78,-199.93,0.00,0.00,1.00,0.00,585.00,1676.00,
27180.00,2750.00,0.81,38.83,25.18,59.31,-199.92,0.81,39.93,24.54,60.04,-199.92,0.00,0.00,1.00,0.00,212.00,1582.00,
27401.00,3000.00,0.81,38.82,25.12,59.30,-199.92,0.81,40.33,24.36,60.32,-199.92,0.00,0.00,1.00,0.00,496.00,1453.00,
27732.00,3250.00,0.81,38.80,25.08,59.31,-199.92,0.81,40.92,24.20,60.65,-199.92,0.00,0.00,1.00,0.00,349.00,1490.00,
27847.00,3500.00,0.81,38.84,25.06,59.31,-199.92,0.81,42.03,24.19,60.97,-199.92,0.00,0.00,1.00,0.00,261.00,1319.00,
27964.00,3750.00,0.81,38.73,25.02,59.28,-199.92,0.81,44.22,24.25,61.32,-199.92,0.00,0.00,1.00,0.00,132.00,1206.00,
time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
788.00,1250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
904.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1020.00,1750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1234.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1353.00,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,
1473.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1594.00,2750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1716.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1837.00,3250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1957.00,3500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2077.00,3750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
194731.00,1250.00,1.51,40.81,25.14,59.74,-82.64,nan,nan,nan,nan,nan,0.00,0.00,1.00,0.00,544.00,0.00,
194956.00,1500.00,1.04,40.77,25.12,59.59,-173.54,1.51,40.82,25.05,59.46,-199.92,0.00,0.00,1.00,0.00,753.00,129.00,
195291.00,1750.00,1.16,40.78,25.15,59.64,-148.58,nan,nan,nan,nan,nan,0.00,0.00,1.00,0.00,3124.00,0.00,
195441.00,2000.00,1.02,40.77,25.14,59.53,-199.92,1.36,40.89,25.04,59.44,-199.93,0.00,0.00,1.00,0.00,666.00,2083.00,
195569.00,2250.00,1.12,40.77,25.09,59.48,-199.92,1.22,41.09,25.07,59.56,-199.93,250.00,0.00,1.00,0.00,446.00,2005.00,
195691.00,2500.00,1.15,40.84,25.14,59.42,-199.92,1.22,41.40,25.04,59.90,-199.93,0.00,0.00,1.00,0.00,362.00,1909.00,
195813.00,2750.00,1.22,40.80,25.11,59.44,-199.92,1.24,41.82,24.88,60.12,-199.92,0.00,0.00,1.00,0.00,376.00,1498.00,
195935.00,3000.00,1.30,40.83,25.11,59.44,-199.92,1.27,42.09,24.78,60.39,-199.92,0.00,0.00,1.00,0.00,384.00,1453.00,
196057.00,3250.00,1.30,40.81,25.11,59.38,-199.92,1.26,42.51,24.62,60.73,-199.92,0.00,0.00,1.00,0.00,388.00,1490.00,
196400.00,3500.00,1.29,40.84,25.09,59.39,-199.92,1.25,43.32,24.52,61.08,-199.92,0.00,0.00,1.00,0.00,294.00,1292.00,
196729.00,3750.00,1.28,40.88,25.05,59.41,-199.92,1.18,43.56,24.53,61.40,-199.92,0.00,0.00,1.00,0.00,130.00,1179.00,
375167.00,1250.00,1.51,42.19,25.48,61.00,-79.75,nan,nan,nan,nan,nan,0.00,0.00,2.00,0.00,435.00,0.00,
375282.00,1500.00,1.05,42.20,25.57,60.92,-169.95,nan,nan,nan,nan,nan,0.00,0.00,2.00,0.00,1379.00,0.00,
375397.00,1750.00,1.20,42.20,25.55,60.96,-141.28,1.51,42.27,25.23,60.82,-199.92,0.00,0.00,2.00,0.00,2514.00,119.00,
375513.00,2000.00,1.09,42.23,25.47,60.92,-199.92,1.35,42.34,25.09,60.93,-199.93,0.00,0.00,2.00,0.00,559.00,2009.00,
375629.00,2250.00,1.20,42.22,25.51,60.87,-199.92,1.25,42.59,24.92,61.02,-199.93,250.00,0.00,2.00,0.00,504.00,2208.00,
375746.00,2500.00,1.26,42.24,25.52,60.87,-199.92,1.25,42.97,24.68,61.24,-199.93,0.00,0.00,2.00,0.00,498.00,1641.00,
375902.00,2750.00,1.31,42.28,25.51,60.86,-199.92,1.25,43.28,24.37,61.49,-199.92,0.00,0.00,2.00,0.00,368.00,1585.00,
376018.00,3000.00,1.34,42.29,25.40,60.86,-199.92,1.27,43.57,24.12,61.78,-199.92,0.00,0.00,2.00,0.00,303.00,1572.00,
376133.00,3250.00,1.36,42.22,25.37,60.80,-199.92,1.26,43.97,23.91,62.09,-199.92,0.00,0.00,2.00,0.00,319.00,1453.00,
376250.00,3500.00,1.31,42.28,25.32,60.80,-199.92,1.26,44.23,23.81,62.41,-199.92,0.00,0.00,2.00,0.00,330.00,1354.00,
