time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
788,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
915,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,2250,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0
1409,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1626,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1858,3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25948,1250,0.81,38.74,25.17,59.47,-102.23,0,0,0,0,0,0,0,1,0,547,0
26064,1500,0.81,38.8,25.23,59.44,-180.68,0.81,38.85,24.99,59.3,-199.92,0,0,1,0,1165,131
26180,1750,0.82,38.76,25.24,59.43,-161.13,0,0,0,0,0,0,10.22,1,0,2668,0
26295,2000,0.82,38.81,25.2,59.37,-199.92,0.81,38.92,24.99,59.35,-199.93,0,0,1,0,677,2088
26634,2250,0.81,38.79,25.2,59.36,-199.92,0.81,39.05,24.93,59.5,-199.93,250,0,1,0,454,2247
26854,2500,0.81,38.81,25.18,59.35,-199.92,0.8,39.42,24.76,59.78,-199.93,0,0,1,0,585,1676
27180,2750,0.81,38.83,25.18,59.31,-199.92,0.81,39.93,24.54,60.04,-199.92,0,0,1,0,212,1582
27401,3000,0.81,38.82,25.12,59.3,-199.92,0.81,40.33,24.36,60.32,-199.92,0,0,1,0,496,1453
27732,3250,0.81,38.8,25.08,59.31,-199.92,0.81,40.92,24.2,60.65,-199.92,0,0,1,0,349,1490
27847,3500,0.81,38.84,25.06,59.31,-199.92,0.81,42.03,24.19,60.97,-199.92,0,0,1,0,261,1319
27964,3750,0.81,38.73,25.02,59.28,-199.92,0.81,44.22,24.25,61.32,-199.92,0,0,1,0,132,1206
788,1250,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
904,1500,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1020,1750,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1234,2000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1353,2250,0,0,0,0,0,0,0,0,0,0,250,0,2,0,0,0
1473,2500,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1594,2750,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1716,3000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1837,3250,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1957,3500,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2077,3750,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
194731,1250,1.51,40.81,25.14,59.74,-82.64,0,0,0,0,0,0,0,3,0,544,0
194956,1500,1.04,40.77,25.12,59.59,-173.54,1.51,40.82,25.05,59.46,-199.92,0,0,3,0,753,129
195291,1750,1.16,40.78,25.15,59.64,-148.58,0,0,0,0,0,0,0,3,0,3124,0
195441,2000,1.02,40.77,25.14,59.53,-199.92,1.36,40.89,25.04,59.44,-199.93,0,0,3,0,666,2083
195569,2250,1.12,40.77,25.09,59.48,-199.92,1.22,41.09,25.07,59.56,-199.93,250,0,3,0,446,2005
195691,2500,1.15,40.84,25.14,59.42,-199.92,1.22,41.4,25.04,59.9,-199.93,0,0,3,0,362,1909
195813,2750,1.22,40.8,25.11,59.44,-199.92,1.24,41.82,24.88,60.12,-199.92,0,0,3,0,376,1498
195935,3000,1.3,40.83,25.11,59.44,-199.92,1.27,42.09,24.78,60.39,-199.92,0,0,3,0,384,1453
196057,3250,1.3,40.81,25.11,59.38,-199.92,1.26,42.51,24.62,60.73,-199.92,0,0,3,0,388,1490
196400,3500,1.29,40.84,25.09,59.39,-199.92,1.25,43.32,24.52,61.08,-199.92,0,0,3,0,294,1292
196729,3750,1.28,40.88,25.05,59.41,-199.92,1.18,43.56,24.53,61.4,-199.92,0,0,3,0,130,1179
375167,1250,1.51,42.19,25.48,61,-79.75,0,0,0,0,0,0,0,4,0,435,0
375282,1500,1.05,42.2,25.57,60.92,-169.95,0,0,0,0,0,0,0,4,0,1379,0
375397,1750,1.2,42.2,25.55,60.96,-141.28,1.51,42.27,25.23,60.82,-199.92,0,0,4,0,2514,119
375513,2000,1.09,42.23,25.47,60.92,-199.92,1.35,42.34,25.09,60.93,-199.93,0,0,4,0,559,2009
375629,2250,1.2,42.22,25.51,60.87,-199.92,1.25,42.59,24.92,61.02,-199.93,250,0,4,0,504,2208
375746,2500,1.26,42.24,25.52,60.87,-199.92,1.25,42.97,24.68,61.24,-199.93,0,0,4,0,498,1641
375902,2750,1.31,42.28,25.51,60.86,-199.92,1.25,43.28,24.37,61.49,-199.92,0,0,4,0,368,1585
376018,3000,1.34,42.29,25.4,60.86,-199.92,1.27,43.57,24.12,61.78,-199.92,0,0,4,0,303,1572
376133,3250,1.36,42.22,25.37,60.8,-199.92,1.26,43.97,23.91,62.09,-199.92,0,0,4,0,319,1453
376250,3500,1.31,42.28,25.32,60.8,-199.92,1.26,44.23,23.81,62.41,-199.92,0,0,4,0,330,1354
376367,3750,1.31,42.29,25.34,60.86,-199.92,1.17,44.28,23.89,62.74,-199.92,0,0,4,0,150,1235
579928,1250,1.51,43.29,25.53,61,-72.23,0,0,0,0,0,0,0,5,0,546,0
580043,1500,1.07,43.3,25.63,60.93,-154.55,1.51,43.33,25.33,60.84,-199.92,0,0,5,0,1454,131
580159,1750,1.2,43.33,25.61,60.95,-135.3,0,0,0,0,0,0,0,5,0,2516,0
580274,2000,1.15,43.31,25.68,60.83,-199.92,1.35,43.48,25.3,60.84,-199.93,0,0,5,0,559,2024
580477,2250,1.26,43.34,25.68,60.83,-199.92,1.26,43.72,25.28,60.97,-199.93,250,0,5,0,552,2153
580593,2500,1.3,43.3,25.62,60.82,-199.92,1.27,44.21,25.14,61.24,-199.93,0,0,5,0,451,1774
580709,2750,1.34,43.35,25.6,60.83,-199.92,1.28,44.54,24.88,61.47,-199.92,0,0,5,0,410,1538
580826,3000,1.33,43.4,25.58,60.82,-199.92,1.29,45.41,24.73,61.78,-199.92,0,0,5,0,265,1568
580942,3250,1.32,43.39,25.52,60.77,-199.92,1.29,46.68,24.66,62.1,-199.92,0,0,5,0,321,1350
581059,3500,1.29,43.38,25.42,60.78,-199.92,1.28,46.95,24.74,62.44,-199.92,0,0,5,0,363,1518
581176,3750,1.29,43.38,25.41,60.75,-199.92,1.22,46.7,24.96,62.76,-199.92,0,0,5,0,134,1083
792299,1250,1.51,44.21,27.28,60.98,-67.55,0,0,0,0,0,0,0,6,0,544,0
792414,1500,1.12,44.23,27.45,60.91,-150.71,0,0,0,0,0,0,0,6,0,1098,0
792531,1750,1.24,44.24,27.4,60.9,-135.99,1.51,44.3,27.1,60.72,-199.92,0,0,6,0,2845,120
792649,2000,1.21,44.29,27.45,60.89,-199.92,1.33,44.39,27.04,60.84,-199.93,0,0,6,0,560,1947
792766,2250,1.32,44.27,27.44,60.8,-199.92,1.28,44.69,26.88,60.97,-199.93,250,0,6,0,551,2163
792884,2500,1.34,44.29,27.4,60.79,-199.92,1.28,45.13,26.65,61.21,-199.93,0,0,6,0,451,1734
793001,2750,1.34,44.32,27.4,60.77,-199.92,1.29,45.29,26.37,61.45,-199.93,0,0,6,0,409,1666
793119,3000,1.33,44.25,27.36,60.75,-199.92,1.3,45.44,26.1,61.78,-199.92,0,0,6,0,264,1488
793236,3250,1.33,44.24,27.31,60.81,-199.92,1.29,45.9,25.81,62.04,-199.92,0,0,6,0,321,1454
793389,3500,1.3,44.26,27.3,60.75,-199.92,1.29,46.55,25.68,62.4,-199.92,0,0,6,0,361,1417
793505,3750,1.31,44.27,27.25,60.76,-199.92,1.23,47.68,25.57,62.71,-199.92,0,0,6,0,135,1145
793621,1250,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
793737,1500,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
793853,1750,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
793969,2000,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
794086,2250,0,0,0,0,0,0,0,0,0,0,250,0,7,1,0,0
794202,2500,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
794320,2750,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
794437,3000,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
794643,3250,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
794758,3500,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
794874,3750,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
838275,1250,1.51,48.58,25.99,67.38,-152.1,0,0,0,0,0,0,0,8,1,433,0
838391,1500,0.92,48.33,26.08,67.46,-199.92,0,0,0,0,0,0,0,8,1,1451,0
838507,1750,1.06,48.4,26.07,67.45,-185.92,1.51,49.24,26.24,67.73,-199.92,0,0,8,1,2383,178
838625,2000,1.02,48.4,26.17,67.56,-199.92,1.26,49.39,26.36,67.79,-199.93,0,0,8,1,673,1837
838743,2250,1.13,48.6,26.22,67.56,-199.92,1.19,50.15,26.54,68.03,-199.93,250,0,8,1,500,2264
838878,2500,1.19,48.75,26.26,67.55,-199.92,1.18,51.07,26.7,68.3,-199.93,0,0,8,1,449,1686
838996,2750,1.21,48.8,26.24,67.57,-199.92,1.19,51.4,26.68,68.63,-199.92,0,0,8,1,288,1581
839113,3000,1.27,48.95,26.28,67.56,-199.92,1.23,51.2,26.72,68.94,-199.92,0,0,8,1,346,1453
839231,3250,1.29,49.05,26.29,67.62,-199.92,1.22,51.87,26.82,69.31,-199.92,0,0,8,1,389,1419
839349,3500,1.28,49.16,26.27,67.65,-199.92,1.21,51.92,27.12,69.67,-199.92,0,0,8,1,295,1387
839466,3750,1.27,49.23,26.23,67.68,-199.92,1.12,52.33,27.59,70.01,-199.92,0,0,8,1,144,1175
1056492,1250,1.51,46.34,29.56,65.99,-84.13,0,0,0,0,0,0,0,9,1,436,0
1056608,1500,1,46.37,29.58,65.87,-184.36,1.51,46.43,29.56,65.74,-199.92,0,0,9,1,1384,136
1056724,1750,1.17,46.35,29.59,65.9,-142.58,1.51,46.43,29.52,65.74,-199.92,0,0,9,1,2564,56
1056925,2000,1.15,46.39,29.64,65.85,-199.92,1.31,46.49,29.48,65.82,-199.93,0,0,9,1,559,2093
1057041,2250,1.23,46.38,29.65,65.8,-199.92,1.24,46.9,29.53,65.98,-199.93,250,0,9,1,503,2261
1057157,2500,1.27,46.39,29.66,65.76,-199.92,1.25,47.42,29.55,66.19,-199.93,0,0,9,1,455,1777
1057273,2750,1.29,46.37,29.69,65.78,-199.92,1.26,47.9,29.52,66.44,-199.92,0,0,9,1,414,1540
1057389,3000,1.33,46.39,29.59,65.8,-199.92,1.28,48.29,29.49,66.74,-199.92,0,0,9,1,341,1607
1057506,3250,1.33,46.36,29.59,65.82,-199.92,1.27,48.36,29.43,67.05,-199.92,0,0,9,1,387,1346
1057624,3500,1.3,46.42,29.5,65.78,-199.92,1.26,50.04,29.33,67.35,-199.92,0,0,9,1,261,1453
1057741,3750,1.31,46.5,29.54,65.79,-199.92,1.18,52.28,29.27,67.73,-199.92,0,0,9,1,128,1145
1255360,1250,1.51,47.13,28.91,66,-76.53,0,0,0,0,0,0,0,10,1,436,0
1255475,1500,1.06,47.17,28.97,65.97,-163.48,0,0,0,0,0,0,0,10,1,1801,0
1255592,1750,1.22,47.19,28.97,65.96,-136.74,1.5,47.3,28.82,65.84,-199.92,0,0,10,1,2104,236
1255710,2000,1.19,47.2,29.02,65.87,-199.92,1.31,47.48,28.72,65.85,-199.93,0,0,10,1,724,2114
1255827,2250,1.28,47.21,29.02,65.88,-199.92,1.28,48.09,28.57,66.02,-199.93,250,0,10,1,493,2203
1255945,2500,1.3,47.22,29.01,65.85,-199.92,1.27,48.69,28.36,66.26,-199.93,0,0,10,1,360,1643
1256061,2750,1.33,47.23,28.96,65.87,-199.92,1.28,49.71,28.13,66.49,-199.93,0,0,10,1,373,1707
1256177,3000,1.34,47.27,28.93,65.85,-199.92,1.29,50.07,27.92,66.81,-199.92,0,0,10,1,382,1452
1256294,3250,1.35,47.3,28.9,65.79,-199.92,1.28,49.83,27.7,67.09,-199.92,0,0,10,1,318,1421
1256429,3500,1.31,47.23,28.83,65.83,-199.92,1.28,50.58,27.51,67.44,-199.92,0,0,10,1,330,1489
