OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
20034.00,2019-06-23 12:12:04.034,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.41,36.08,36.70,22.15,33.66,-0.27,0.01,17.00,10.00,0.00,0.00,0.00
20134.00,2019-06-23 12:12:04.134,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.42,36.08,36.67,22.15,33.66,-0.23,0.02,17.00,10.00,0.00,0.00,0.00
20234.00,2019-06-23 12:12:04.234,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.29,36.08,36.67,22.15,33.66,-0.24,0.01,17.00,10.00,0.00,0.00,0.00
20334.00,2019-06-23 12:12:04.334,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.41,36.21,36.67,22.16,33.64,-0.25,0.01,17.00,10.00,0.00,0.00,0.00
20434.00,2019-06-23 12:12:04.434,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.40,36.21,36.67,22.16,33.64,-0.24,0.02,17.00,10.00,0.00,0.00,0.00
20534.00,2019-06-23 12:12:04.534,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.31,36.21,36.67,22.16,33.64,-0.27,0.02,17.00,10.00,0.00,0.00,0.00
20634.00,2019-06-23 12:12:04.634,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.41,36.12,36.62,22.20,33.64,-0.23,0.02,17.00,10.00,0.00,0.00,0.00
20734.00,2019-06-23 12:12:04.734,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.41,36.12,36.62,22.20,33.71,-0.25,0.02,17.00,10.00,0.00,0.00,0.00
20834.00,2019-06-23 12:12:04.834,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.27,36.12,36.70,22.16,33.71,-0.24,0.01,17.00,10.00,0.00,0.00,0.00
20934.00,2019-06-23 12:12:04.934,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.42,36.12,36.70,22.16,33.71,-0.25,0.01,17.00,10.00,0.00,0.00,0.00
21034.00,2019-06-23 12:12:05.034,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.41,36.12,36.70,22.16,33.71,-0.25,0.01,17.00,10.00,0.00,0.00,0.00
21134.00,2019-06-23 12:12:05.134,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.25,36.13,36.67,22.23,33.63,-0.24,0.00,17.00,10.00,0.00,0.00,0.00
21234.00,2019-06-23 12:12:05.234,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.44,36.13,36.67,22.23,33.63,-0.27,0.00,17.00,10.00,0.00,0.00,0.00
21334.00,2019-06-23 12:12:05.334,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.38,36.13,36.59,22.23,33.63,-0.22,-0.01,17.00,10.00,0.00,0.00,0.00
21434.00,2019-06-23 12:12:05.434,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.27,36.13,36.59,22.23,33.63,-0.24,-0.02,17.00,10.00,0.00,0.00,0.00
21534.00,2019-06-23 12:12:05.534,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.45,36.13,36.59,22.23,33.62,-0.24,-0.03,17.00,10.00,0.00,0.00,0.00
21634.00,2019-06-23 12:12:05.634,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.40,36.12,36.61,22.20,33.62,-0.23,-0.02,17.00,10.00,0.00,0.00,0.00
21734.00,2019-06-23 12:12:05.734,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.28,36.12,36.61,22.20,33.62,-0.26,0.00,17.00,10.00,0.00,0.00,0.00
21834.00,2019-06-23 12:12:05.834,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.41,36.12,36.59,22.20,33.62,-0.24,0.02,17.00,10.00,0.00,0.00,0.00
21934.00,2019-06-23 12:12:05.934,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.43,36.14,36.59,22.23,33.58,-0.25,0.02,17.00,10.00,0.00,0.00,0.00
22034.00,2019-06-23 12:12:06.034,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.24,36.14,36.59,22.23,33.58,-0.25,0.02,17.00,10.00,0.00,0.00,0.00
22134.00,2019-06-23 12:12:06.134,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.41,36.08,36.67,22.26,33.58,-0.25,0.02,17.00,10.00,0.00,0.00,0.00
22234.00,2019-06-23 12:12:06.234,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.45,36.08,36.67,22.26,33.58,-0.25,0.02,17.00,10.00,0.00,0.00,0.00
