OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
797.00,1970-00-00 00:00:00.797,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.25,0.00,0.00,0.00,0.00,-0.30,-0.03,17.00,10.00,0.00,0.00,0.00
2267.00,1970-01-01 00:00:02.267,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.25,64.75,93.06,-117.88,33.62,-0.30,-0.03,17.00,10.00,0.00,0.00,0.00
2367.00,1970-01-01 00:00:02.367,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.27,64.75,93.06,-117.88,33.62,-0.30,-0.02,17.00,10.00,0.00,0.00,0.00
2467.00,1970-01-01 00:00:02.467,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.27,64.75,93.06,-117.88,33.62,-0.27,-0.02,17.00,10.00,0.00,0.00,0.00
2567.00,1970-01-01 00:00:02.567,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.24,64.66,93.04,-121.42,33.62,-0.30,-0.02,17.00,10.00,0.00,0.00,0.00
2667.00,1970-01-01 00:00:02.667,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.24,64.66,93.04,-121.42,33.51,-0.26,-0.02,17.00,10.00,0.00,0.00,0.00
2767.00,1970-01-01 00:00:02.767,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.24,64.66,93.02,-121.42,33.51,-0.30,-0.02,17.00,10.00,0.00,0.00,0.00
2867.00,1970-01-01 00:00:02.867,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.26,64.66,93.02,-121.91,33.51,-0.29,-0.01,17.00,10.00,0.00,0.00,0.00
2967.00,1970-01-01 00:00:02.967,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.27,64.66,93.02,-121.91,33.51,-0.33,-0.02,17.00,10.00,0.00,0.00,0.00
3067.00,1970-01-01 00:00:03.067,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.27,64.73,93.00,-122.57,33.44,-0.30,-0.03,17.00,10.00,0.00,0.00,0.00
3167.00,1970-01-01 00:00:03.167,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.21,64.73,93.00,-122.57,33.44,-0.26,-0.03,17.00,10.00,0.00,0.00,0.00
3267.00,1970-01-01 00:00:03.267,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.25,64.73,92.95,-122.57,33.44,-0.32,-0.02,17.00,10.00,0.00,0.00,0.00
3367.00,1970-01-01 00:00:03.367,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.23,64.68,92.95,-123.21,33.44,-0.29,-0.03,17.00,10.00,0.00,0.00,0.00
3467.00,1970-01-01 00:00:03.467,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.21,64.68,92.95,-123.21,33.45,-0.29,-0.03,17.00,10.00,0.00,0.00,0.00
3567.00,1970-01-01 00:00:03.567,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.25,64.70,93.02,-123.67,33.45,-0.30,-0.02,17.00,10.00,0.00,0.00,0.00
3667.00,1970-01-01 00:00:03.667,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.25,64.70,93.02,-123.67,33.45,-0.27,-0.03,17.00,10.00,0.00,0.00,0.00
3767.00,1970-01-01 00:00:03.767,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.20,64.70,92.94,-123.67,33.45,-0.33,-0.02,17.00,10.00,0.00,0.00,0.00
3867.00,1970-01-01 00:00:03.867,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.21,64.80,92.94,-124.16,33.46,-0.26,-0.02,17.00,10.00,0.00,0.00,0.00
3967.00,1970-01-01 00:00:03.967,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.22,64.80,92.94,-124.16,33.46,-0.28,-0.02,17.00,10.00,0.00,0.00,0.00
4067.00,1970-01-01 00:00:04.067,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.24,64.80,92.98,-124.16,33.46,-0.32,-0.01,17.00,10.00,0.00,0.00,0.00
4167.00,1970-01-01 00:00:04.167,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.25,64.80,92.98,-124.74,33.46,-0.28,-0.02,17.00,10.00,0.00,0.00,0.00
4267.00,1970-01-01 00:00:04.267,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.19,64.80,92.94,-124.74,33.40,-0.31,-0.02,17.00,10.00,0.00,0.00,0.00
4367.00,1970-01-01 00:00:04.367,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.20,64.73,92.94,-125.42,33.40,-0.26,-0.02,17.00,10.00,0.00,0.00,0.00
