OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
1327.00,1970-01-01 00:00:01.327,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.47,0.00,0.00,0.00,0.00,-0.24,0.04,17.00,10.00,0.00,0.00,0.00
2972.00,1970-01-01 00:00:02.972,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.47,48.16,55.02,-9.06,33.34,-0.24,0.04,17.00,10.00,0.00,0.00,0.00
3072.00,1970-01-01 00:00:03.072,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.28,48.16,55.02,-9.06,33.34,-0.24,0.01,17.00,10.00,0.00,0.00,0.00
3172.00,1970-01-01 00:00:03.172,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.44,48.16,55.02,-9.06,33.34,-0.24,0.00,17.00,10.00,0.00,0.00,0.00
3272.00,1970-01-01 00:00:03.272,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.45,48.20,55.04,-9.03,33.34,-0.26,0.01,17.00,10.00,0.00,0.00,0.00
3372.00,1970-01-01 00:00:03.372,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.26,48.20,55.04,-9.03,33.34,-0.22,0.01,17.00,10.00,0.00,0.00,0.00
3472.00,1970-01-01 00:00:03.472,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.47,48.20,55.06,-9.03,33.34,-0.26,0.02,17.00,10.00,0.00,0.00,0.00
3572.00,1970-01-01 00:00:03.572,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.42,48.16,55.06,-8.89,33.34,-0.24,0.02,17.00,10.00,0.00,0.00,0.00
3672.00,1970-01-01 00:00:03.672,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.29,48.16,55.06,-8.89,33.34,-0.24,0.03,17.00,10.00,0.00,0.00,0.00
3772.00,1970-01-01 00:00:03.772,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.46,48.20,55.06,-8.92,33.28,-0.25,0.03,17.00,10.00,0.00,0.00,0.00
3872.00,1970-01-01 00:00:03.872,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.43,48.20,55.06,-8.92,33.28,-0.22,0.03,17.00,10.00,0.00,0.00,0.00
3972.00,1970-01-01 00:00:03.972,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.31,48.20,55.02,-8.92,33.28,-0.25,0.04,17.00,10.00,0.00,0.00,0.00
4072.00,1970-01-01 00:00:04.072,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.42,48.23,55.02,-8.80,33.28,-0.22,0.04,17.00,10.00,0.00,0.00,0.00
4172.00,1970-01-01 00:00:04.172,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.46,48.23,55.02,-8.80,33.34,-0.24,0.04,17.00,10.00,0.00,0.00,0.00
4272.00,1970-01-01 00:00:04.272,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.27,48.25,55.04,-8.87,33.34,-0.25,0.04,17.00,10.00,0.00,0.00,0.00
4372.00,1970-01-01 00:00:04.372,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.43,48.25,55.04,-8.87,33.34,-0.23,0.04,17.00,10.00,0.00,0.00,0.00
4472.00,1970-01-01 00:00:04.472,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.47,48.25,54.97,-8.87,33.34,-0.26,0.05,17.00,10.00,0.00,0.00,0.00
4572.00,1970-01-01 00:00:04.572,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.24,48.23,54.97,-8.85,33.32,-0.23,0.04,17.00,10.00,0.00,0.00,0.00
4672.00,1970-01-01 00:00:04.672,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.46,48.23,54.97,-8.85,33.32,-0.24,0.04,17.00,10.00,0.00,0.00,0.00
4772.00,1970-01-01 00:00:04.772,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.44,48.23,55.09,-8.85,33.32,-0.25,0.04,17.00,10.00,0.00,0.00,0.00
4872.00,1970-01-01 00:00:04.872,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.28,48.16,55.09,-8.73,33.32,-0.24,0.04,17.00,10.00,0.00,0.00,0.00
4972.00,1970-01-01 00:00:04.972,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.45,48.16,54.98,-8.73,33.39,-0.25,0.04,17.00,10.00,0.00,0.00,0.00
5072.00,1970-01-01 00:00:05.072,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.43,48.23,54.98,-8.72,33.39,-0.25,0.03,17.00,10.00,0.00,0.00,0.00
5172.00,1970-01-01 00:00:05.172,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.30,48.23,54.98,-8.72,33.39,-0.28,0.04,17.00,10.00,0.00,0.00,0.00
5272.00,1970-01-01 00:00:05.272,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.41,48.23,55.09,-8.72,33.39,-0.24,0.04,17.00,10.00,0.00,0.00,0.00
5372.00,1970-01-01 00:00:05.372,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.46,48.26,55.09,-8.77,33.38,-0.26,0.05,17.00,10.00,0.00,0.00,0.00
5472.00,1970-01-01 00:00:05.472,0.00,0.00,0.00,1.51,1.00,1.00,1.00,0.00,0.00,9.36,48.26,55.07,-8.77,33.38,-0.29,0.04,23.00,10.00,0.00,1.00,0.00
5572.00,1970-01-01 00:00:05.572,0.00,0.00,0.00,1.51,1.00,1.00,1.00,0.00,0.00,10.72,48.16,55.07,-8.72,33.38,-0.22,0.02,23.00,10.00,0.00,1.00,0.00
5672.00,1970-01-01 00:00:05.672,0.00,0.00,21.28,1.51,1.00,1.00,1.00,0.00,0.01,11.52,48.16,55.07,-8.72,33.38,-0.25,0.03,23.00,7000.00,-20.00,1.00,0.00
5772.00,1970-01-01 00:00:05.772,0.00,0.00,21.28,1.51,1.00,1.00,1.00,0.00,0.01,11.22,48.16,55.06,-8.72,33.41,-0.28,-0.00,23.00,7000.00,-20.00,1.00,0.00
5872.00,1970-01-01 00:00:05.872,0.00,0.00,868.23,1.51,0.00,1.00,1.00,0.00,0.01,11.34,48.27,55.06,-8.66,33.41,-0.28,0.02,17.00,7000.00,-35.00,0.00,0.00
5972.00,1970-01-01 00:00:05.972,0.00,0.00,1042.85,1.51,1.00,1.00,1.00,0.00,0.02,11.15,48.27,55.10,-8.66,33.41,-0.27,-0.01,23.00,7000.00,-38.00,1.00,0.00
