OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
795.00,1970-00-00 00:00:00.795,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.78,0.00,0.00,0.00,0.00,-0.19,0.05,17.00,10.00,0.00,0.00,0.00
2240.00,1970-01-01 00:00:02.240,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.78,41.34,65.04,-102.75,30.09,-0.18,0.05,17.00,10.00,0.00,0.00,0.00
2340.00,1970-01-01 00:00:02.340,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.77,41.34,65.04,-102.75,30.09,-0.18,0.05,17.00,10.00,0.00,0.00,0.00
2440.00,1970-01-01 00:00:02.440,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.65,41.34,65.04,-102.75,30.09,-0.20,0.04,17.00,10.00,0.00,0.00,0.00
2540.00,1970-01-01 00:00:02.540,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.72,41.27,64.88,-101.95,30.09,-0.19,0.05,17.00,10.00,0.00,0.00,0.00
2640.00,1970-01-01 00:00:02.640,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.77,41.27,64.88,-101.95,30.04,-0.16,0.05,17.00,10.00,0.00,0.00,0.00
2740.00,1970-01-01 00:00:02.740,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.58,41.27,64.88,-101.95,30.04,-0.18,0.04,17.00,10.00,0.00,0.00,0.00
2840.00,1970-01-01 00:00:02.840,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.73,41.30,64.88,-101.86,30.04,-0.19,0.05,17.00,10.00,0.00,0.00,0.00
2940.00,1970-01-01 00:00:02.940,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.73,41.30,64.88,-101.86,30.04,-0.19,0.05,17.00,10.00,0.00,0.00,0.00
3040.00,1970-01-01 00:00:03.040,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.60,41.30,64.93,-101.74,30.09,-0.19,0.05,17.00,10.00,0.00,0.00,0.00
3140.00,1970-01-01 00:00:03.140,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.72,41.30,64.93,-101.74,30.09,-0.17,0.04,17.00,10.00,0.00,0.00,0.00
3240.00,1970-01-01 00:00:03.240,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.70,41.30,64.93,-101.74,30.09,-0.18,0.04,17.00,10.00,0.00,0.00,0.00
3340.00,1970-01-01 00:00:03.340,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.60,41.26,64.93,-101.50,30.09,-0.15,0.05,17.00,10.00,0.00,0.00,0.00
3440.00,1970-01-01 00:00:03.440,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.67,41.26,64.93,-101.50,30.10,-0.18,0.05,17.00,10.00,0.00,0.00,0.00
3540.00,1970-01-01 00:00:03.540,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.70,41.36,64.97,-101.39,30.10,-0.19,0.04,17.00,10.00,0.00,0.00,0.00
3640.00,1970-01-01 00:00:03.640,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.59,41.36,64.97,-101.39,30.10,-0.19,0.03,17.00,10.00,0.00,0.00,0.00
3740.00,1970-01-01 00:00:03.740,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.63,41.36,64.85,-101.39,30.10,-0.21,0.04,17.00,10.00,0.00,0.00,0.00
3840.00,1970-01-01 00:00:03.840,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.72,41.38,64.85,-101.21,30.14,-0.17,0.04,17.00,10.00,0.00,0.00,0.00
