time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
78246,1250,1.51,46.92,31.49,61.79,-48.88,nan,nan,nan,nan,nan,nan,0,0,0,543,0
78464,1500,1.07,46.95,31.33,61.62,-121.57,1.51,47.09,30.32,61.46,-199.92,0,0,0,0,2009,60
78593,1750,1.25,46.97,31.34,61.66,-104.75,1.45,47.12,30.29,61.47,-199.92,0,53.84,0,0,1907,304
78723,2000,1.22,46.96,30.98,61.52,-187.07,1.15,47.24,30.07,61.5,-199.93,0,-249302.58,0,0,618,2420
78853,2250,1.3,47,30.9,61.46,-199.74,1.24,47.43,29.79,61.68,-199.93,0,0,0,0,550,2109
78983,2500,1.3,46.96,30.78,61.47,-199.92,1.27,47.82,29.48,61.93,-199.93,0,0,0,0,405,1777
79113,2750,1.32,47.05,30.76,61.44,-199.92,1.28,48.23,29.29,62.17,-199.92,0,65535,0,0,330,1498
79245,3000,1.35,46.97,30.7,61.43,-199.92,1.29,48.67,29.08,62.43,-199.92,0,0,0,0,266,1459
79376,3250,1.35,47.04,30.59,61.4,-199.92,1.29,50.55,28.92,62.79,-199.92,0,2.17,0,0,281,1490
79507,3500,1.33,47.06,30.53,61.43,-199.92,1.27,52.17,28.78,63.11,-199.92,0,0,0,0,194,1288
79708,3750,1.34,47.05,30.46,61.41,-199.92,1.3,53.22,28.55,63.36,-199.92,0,0,0,0,145,1449
79838,4000,nan,nan,nan,nan,nan,1.22,53.84,28.38,63.8,-199.92,0,0,0,0,0,1247
300837,1250,1.51,47.55,31.57,61.03,-40.99,1.51,47.63,30.09,60.71,-199.92,-199.92,0,1,0,545,66
300966,1500,1.1,47.54,31.35,60.92,-114.73,1.51,47.63,30.09,60.71,-199.92,0,0,1,0,1801,81
301095,1750,1.27,47.53,31.39,60.93,-95.17,1.41,47.78,30.02,60.71,-199.92,0,0,1,0,2109,358
301224,2000,1.27,47.52,30.91,60.8,-174.94,1.21,47.78,29.73,60.74,-199.93,0,0.01,1,0,618,2605
301353,2250,1.34,47.58,30.7,60.81,-194.99,1.29,47.93,29.13,60.81,-199.93,0,0,1,0,501,2050
301541,2500,1.33,47.55,30.6,60.81,-199.92,1.3,48.3,28.79,61.01,-199.93,7000,0,1,0,408,1777
301670,2750,1.33,47.59,30.48,60.7,-199.92,1.31,48.82,28.64,61.3,-199.92,0,65535,1,0,371,1536
301799,3000,1.36,47.65,30.41,60.75,-199.92,1.31,49.97,28.46,61.61,-199.92,0,3000,1,0,265,1456
301929,3250,1.35,47.63,30.43,60.77,-199.92,1.31,50.67,28.22,61.94,-199.92,0,2.17,1,0,245,1386
302058,3500,1.34,47.61,30.36,60.78,-199.92,1.3,51.89,27.93,62.27,-199.92,0,0,1,0,196,1485
302188,3750,1.32,47.61,30.28,60.72,-199.92,1.35,52.98,27.76,62.61,-199.92,0,0,1,0,123,1388
302318,4000,nan,nan,nan,nan,nan,1.31,54.15,27.61,62.97,-199.92,0,0,1,0,0,1219
350715,1250,1.51,53.65,29.23,68.32,-118.56,1.51,52.02,28.39,68.45,-199.92,-199.92,0,2,1,534,75
350848,1500,0.93,53.21,29.12,68.34,-193.68,1.51,51.93,28.39,68.45,-199.92,0,0,2,1,1607,59
350982,1750,1.11,53.36,29.15,68.35,-160.46,1.45,51.88,28.38,68.4,-199.92,5300,0,2,1,2180,197
351115,2000,1.13,52.99,28.91,68.37,-199.92,1.08,51.73,28.34,68.53,-199.93,0,0,2,1,621,2373
351249,2250,1.24,52.88,28.85,68.34,-199.92,1.17,52.45,28.25,68.73,-199.93,5500,0,2,1,554,2224
351383,2500,1.23,52.75,28.76,68.34,-199.92,1.19,52.65,28.24,69.02,-199.93,0,3000,2,1,364,1641
351518,2750,1.25,52.58,28.74,68.37,-199.92,1.21,52.73,28.25,69.34,-199.93,5300,0,2,1,334,1664
351654,3000,1.28,52.42,28.68,68.4,-199.92,1.24,54.08,28.28,69.69,-199.92,5300,0,2,1,306,1412
351789,3250,1.3,52.29,28.56,68.42,-199.92,1.24,56.43,28.24,70.01,-199.92,5300,2.17,2,1,247,1417
351953,3500,1.31,52.27,28.55,68.39,-199.92,1.23,58.09,28.21,70.36,-199.92,0,0,2,1,231,1320
352083,3750,1.31,52.21,28.53,68.35,-199.92,1.24,58.95,28.23,70.73,-199.92,0,0,2,1,155,1326
