time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
795,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,1500,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0
1107,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233,2000,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0
1351,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1466,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
734,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,1500,0,0,0,0,0,0,0,0,0,0,0,ovf,0,0,0,0
965,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,2000,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0
1199,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1432,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1547,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663,3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1855,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53314,1250,1.51,41.1,31.45,61.59,-73.58,nan,nan,nan,nan,nan,5300,0,1,0,532,0
53433,1500,1.05,41.14,31.6,61.43,-144.84,nan,nan,nan,nan,nan,5300,0,1,0,2006,0
53551,1750,1.2,41.13,31.57,61.47,-132.77,1.51,41.34,32.28,61.3,-199.92,7000,0,1,0,1972,59
53673,2000,1.06,41.15,31.77,61.33,-199.92,1.45,41.4,32.42,61.27,-199.92,5300,2.17,1,0,610,1317
53795,2250,1.15,41.17,31.82,61.3,-199.92,1.26,41.51,32.53,61.4,-199.93,5300,0,1,0,498,2115
53916,2500,1.21,41.19,31.9,61.34,-199.92,1.24,41.59,32.68,61.62,-199.93,5500,0,1,0,457,1919
54141,2750,1.28,41.22,31.95,61.23,-199.92,1.26,41.9,32.67,61.85,-199.92,5300,0,1,0,455,1626
54261,3000,1.35,41.23,32.02,61.16,-199.92,1.29,42.27,32.56,62.16,-199.92,5300,0,1,0,344,1494
54382,3250,1.36,41.19,32.1,61.24,-199.92,1.28,42.56,32.42,62.39,-199.92,7000,0,1,0,390,1491
54504,3500,1.33,41.25,32.15,61.28,-199.92,1.26,42.62,32.33,62.72,-199.92,0,0,1,0,363,1452
54625,3750,1.32,41.28,32.22,61.21,-199.92,1.18,42.97,32.33,63.09,-199.92,-199.92,0,1,0,178,1267
249455,1250,1.51,43.06,34.83,60.99,-54.07,nan,nan,nan,nan,nan,5300,3000,2,0,556,0
249575,1500,1.12,43.11,35.2,60.9,-123.48,1.51,43.27,36.93,60.81,-199.92,5300,0,2,0,2088,68
249777,1750,1.22,43.09,35.17,60.92,-115.14,1.51,43.29,36.93,60.81,-199.92,7000,1.29,2,0,2112,129
249897,2000,1.13,43.12,35.66,60.88,-194.5,1.39,43.36,37.13,60.82,-199.92,0,2.17,2,0,557,1311
250017,2250,1.22,43.18,35.8,60.8,-199.92,1.27,43.47,37.25,60.97,-199.93,nan,0,2,0,604,2271
250139,2500,1.27,43.16,35.97,60.82,-199.92,1.27,43.69,37,61.24,-199.93,5500,0,2,0,407,1777
