OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
806.00,1970-00-00 00:00:00.806,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.68,0.00,0.00,0.00,0.00,0.00,-0.02,17.00,10.00,0.00,0.00,0.00
2894.00,1970-01-01 00:00:02.894,20.47,12.29,0.00,0.80,0.00,2.00,1.00,999.00,0.00,12.68,74.62,83.37,-103.91,27.65,-0.25,-0.02,17.00,10.00,0.00,0.00,0.00
2994.00,1970-01-01 00:00:02.994,20.47,12.87,0.00,0.81,0.00,2.00,1.00,999.00,0.00,12.67,74.62,83.37,-103.91,27.65,-0.23,-0.01,17.00,10.00,0.00,0.00,0.00
3094.00,1970-01-01 00:00:03.094,20.39,13.46,0.00,0.81,0.00,2.00,1.00,999.00,0.00,12.66,74.62,83.37,-103.91,27.65,-0.25,-0.00,17.00,10.00,0.00,0.00,0.00
3194.00,1970-01-01 00:00:03.194,20.41,14.04,0.00,0.81,0.00,2.00,1.00,999.00,0.00,12.64,74.02,83.42,-101.54,27.65,-0.25,-0.01,17.00,10.00,0.00,0.00,0.00
3294.00,1970-01-01 00:00:03.294,20.37,14.51,0.00,0.81,0.00,2.00,1.00,999.00,0.00,12.67,74.02,83.42,-101.54,27.38,-0.24,-0.01,17.00,10.00,0.00,0.00,0.00
3394.00,1970-01-01 00:00:03.394,20.41,15.10,0.00,0.81,0.00,2.00,1.00,999.00,0.00,12.63,74.02,83.44,-101.54,27.38,-0.26,-0.01,17.00,10.00,0.00,0.00,0.00
3494.00,1970-01-01 00:00:03.494,20.34,15.68,0.00,0.81,0.00,2.00,1.00,999.00,0.00,12.65,74.02,83.44,-101.34,27.38,-0.24,-0.01,17.00,10.00,0.00,0.00,0.00
3594.00,1970-01-01 00:00:03.594,20.38,16.27,0.00,0.80,0.00,2.00,1.00,999.00,0.00,12.65,74.02,83.44,-101.34,27.38,-0.28,0.00,17.00,10.00,0.00,0.00,0.00
3694.00,1970-01-01 00:00:03.694,20.33,16.85,0.00,0.80,0.00,2.00,1.00,999.00,0.00,12.66,74.09,83.40,-100.97,27.47,-0.20,-0.01,17.00,10.00,0.00,0.00,0.00
3794.00,1970-01-01 00:00:03.794,20.29,17.44,0.00,0.80,0.00,2.00,1.00,999.00,0.00,12.65,74.09,83.40,-100.97,27.47,-0.24,0.00,17.00,10.00,0.00,0.00,0.00
3894.00,1970-01-01 00:00:03.894,20.28,17.91,0.00,0.80,0.00,2.00,1.00,999.00,0.00,12.61,74.09,83.48,-100.97,27.47,-0.26,-0.00,17.00,10.00,0.00,0.00,0.00
3994.00,1970-01-01 00:00:03.994,20.26,18.49,0.00,0.81,1.00,2.00,1.00,999.00,0.00,12.62,74.08,83.48,-100.66,27.47,-0.23,-0.01,21.00,10.00,0.00,1.00,0.00
4094.00,1970-01-01 00:00:04.094,20.33,19.08,0.00,0.80,1.00,2.00,1.00,999.00,0.00,10.20,74.08,83.48,-100.66,27.67,-0.23,-0.03,23.00,10.00,0.00,1.00,0.00
4194.00,1970-01-01 00:00:04.194,20.31,19.66,29.23,0.81,1.00,2.00,1.00,999.00,0.01,10.92,74.05,83.52,-100.48,27.67,-0.21,-0.05,23.00,7000.00,-20.00,1.00,0.00
4294.00,1970-01-01 00:00:04.294,20.21,20.25,782.17,0.80,1.00,2.00,1.00,999.00,0.01,11.52,74.05,83.52,-100.48,27.67,-0.21,-0.02,23.00,7000.00,-34.00,1.00,0.00
4394.00,1970-01-01 00:00:04.394,20.23,20.72,1325.12,0.81,0.00,2.00,1.00,999.00,0.02,12.36,74.05,83.56,-100.48,27.67,-0.25,-0.01,21.00,7000.00,-44.00,1.00,0.00
4494.00,1970-01-01 00:00:04.494,20.32,21.30,2253.18,0.81,0.00,2.00,1.00,871.66,0.03,12.48,73.98,83.56,-99.91,27.56,-0.25,-0.01,21.00,4890.45,-75.00,1.00,0.00
4594.00,1970-01-01 00:00:04.594,20.61,21.89,2326.66,0.81,0.00,2.00,1.00,681.45,0.04,12.49,73.98,83.56,-99.91,27.56,-0.26,0.01,21.00,4854.02,-76.00,1.00,0.00
4694.00,1970-01-01 00:00:04.694,20.70,22.47,2303.62,0.81,0.00,2.00,1.00,563.13,0.05,12.49,73.98,83.52,-99.91,27.56,-0.23,-0.01,21.00,4866.99,-76.00,1.00,0.00
4794.00,1970-01-01 00:00:04.794,20.85,23.06,2304.55,0.81,0.00,2.00,1.00,483.91,0.06,12.49,74.07,83.52,-109.48,27.56,-0.26,-0.01,21.00,4866.52,-76.00,1.00,0.00
4894.00,1970-01-01 00:00:04.894,20.93,23.64,2321.85,0.81,0.00,2.00,1.00,426.77,0.07,12.48,74.07,83.61,-109.48,27.72,-0.22,-0.00,21.00,4857.92,-76.00,1.00,0.00
4994.00,1970-01-01 00:00:04.994,21.08,24.23,2345.86,0.80,0.00,2.00,1.00,383.80,0.07,12.44,73.98,83.61,-127.50,27.72,-0.24,-0.01,21.00,4843.03,-77.00,1.00,0.00
5094.00,1970-01-01 00:00:05.094,21.15,24.81,2385.35,0.80,0.00,2.00,1.00,350.32,0.08,12.43,73.98,83.61,-127.50,27.72,-0.25,-0.01,21.00,4823.52,-77.00,1.00,0.00
5194.00,1970-01-01 00:00:05.194,21.27,25.40,2353.49,0.80,0.00,2.00,1.00,323.38,0.09,12.53,73.98,83.52,-127.50,27.72,-0.25,0.00,21.00,4842.17,-77.00,1.00,0.00
5294.00,1970-01-01 00:00:05.294,21.50,26.10,2404.67,0.80,0.00,2.00,1.00,302.65,0.10,12.51,73.95,83.52,-145.17,27.77,-0.26,-0.00,21.00,4816.72,-78.00,1.00,0.00
5394.00,1970-01-01 00:00:05.394,21.59,26.68,2398.32,0.81,0.00,2.00,1.00,284.09,0.11,12.51,73.95,83.54,-145.17,27.77,-0.24,-0.00,21.00,4819.88,-78.00,1.00,0.00
5494.00,1970-01-01 00:00:05.494,21.72,27.27,2412.69,0.81,0.00,2.00,1.00,268.38,0.12,12.51,73.85,83.54,-163.35,27.77,-0.25,0.01,21.00,4812.05,-78.00,1.00,0.00
5594.00,1970-01-01 00:00:05.594,21.80,27.85,2421.94,0.81,0.00,2.00,1.00,254.86,0.13,12.55,73.85,83.54,-163.35,27.77,-0.24,-0.01,21.00,4807.45,-78.00,1.00,0.00
5694.00,1970-01-01 00:00:05.694,22.03,28.56,2448.08,0.81,0.00,2.00,1.00,244.18,0.14,12.49,73.85,83.56,-163.35,27.80,-0.25,-0.01,21.00,4793.83,-79.00,1.00,0.00
5794.00,1970-01-01 00:00:05.794,22.09,29.14,2445.44,0.81,0.00,2.00,1.00,233.86,0.15,12.43,73.65,83.56,-181.55,27.80,-0.25,-0.01,21.00,4795.14,-79.00,1.00,0.00
5894.00,1970-01-01 00:00:05.894,22.30,29.73,2469.64,0.81,0.00,2.00,1.00,224.76,0.16,12.53,73.65,83.58,-181.55,27.80,-0.24,0.01,21.00,4783.14,-79.00,1.00,0.00
5994.00,1970-01-01 00:00:05.994,22.42,30.43,2484.32,0.81,0.00,2.00,1.00,217.50,0.17,12.52,73.65,83.58,-181.55,27.80,-0.25,0.00,21.00,4775.45,-79.00,1.00,0.00
6094.00,1970-01-01 00:00:06.094,22.51,31.01,2455.49,0.81,0.00,2.00,1.00,210.20,0.18,12.53,73.63,83.58,-199.92,28.05,-0.23,-0.00,21.00,4789.72,-79.00,1.00,0.00
6194.00,1970-01-01 00:00:06.194,22.64,31.60,2520.74,0.80,0.00,2.00,1.00,203.65,0.18,12.53,73.63,83.65,-199.92,28.05,-0.25,-0.00,21.00,4762.67,-80.00,1.00,0.00
6294.00,1970-01-01 00:00:06.294,22.87,32.30,2499.32,0.80,0.00,2.00,1.00,198.43,0.19,12.54,73.45,83.65,-199.92,28.05,-0.25,-0.02,21.00,4766.20,-79.00,1.00,0.00
6394.00,1970-01-01 00:00:06.394,22.99,32.89,2527.11,0.81,0.00,2.00,1.00,192.99,0.20,12.54,73.45,83.69,-199.92,28.05,-0.25,0.00,21.00,4761.69,-80.00,1.00,0.00
6494.00,1970-01-01 00:00:06.494,23.08,33.59,2515.51,0.80,0.00,2.00,1.00,188.68,0.21,12.53,73.45,83.69,-199.92,28.16,-0.27,-0.02,21.00,4762.43,-80.00,1.00,0.00
6594.00,1970-01-01 00:00:06.594,23.19,34.17,2576.82,0.81,0.00,2.00,1.00,184.10,0.22,12.53,73.34,83.69,-199.92,28.16,-0.22,0.01,21.00,4752.79,-81.00,1.00,0.00
6694.00,1970-01-01 00:00:06.694,23.37,34.88,2587.94,0.80,0.00,2.00,1.00,176.86,0.23,12.55,73.34,0.00,-199.92,28.16,-0.24,0.00,16.00,4985.26,-81.00,0.00,0.00
6794.00,1970-01-01 00:00:06.794,23.28,35.58,2308.89,0.80,0.00,2.00,1.00,176.94,0.24,12.56,0.28,0.00,15.22,28.16,-0.26,-0.00,16.00,4870.04,-76.00,0.00,0.00
6894.00,1970-01-01 00:00:06.894,23.25,36.16,2013.19,0.80,0.00,2.00,1.00,170.67,0.25,12.53,0.28,0.32,15.22,0.10,-0.24,-0.01,16.00,7952.57,-71.00,0.00,0.00
6994.00,1970-01-01 00:00:06.994,23.12,36.75,1765.56,0.81,0.00,2.00,1.00,164.85,0.26,12.58,0.28,0.32,15.22,0.10,-0.26,-0.02,16.00,7070.09,-56.00,0.00,0.00
7094.00,1970-01-01 00:00:07.094,23.14,37.45,1626.85,0.81,0.00,2.00,1.00,164.11,0.27,12.54,0.28,0.32,15.22,0.10,-0.24,-0.01,16.00,7000.00,-54.00,0.00,0.00
7194.00,1970-01-01 00:00:07.194,23.13,38.04,1465.88,0.81,0.00,2.00,1.00,162.91,0.28,12.56,0.28,0.32,15.22,0.10,-0.25,-0.01,16.00,7000.00,-50.00,0.00,0.00
7294.00,1970-01-01 00:00:07.294,23.17,38.74,1281.64,0.81,0.00,2.00,1.00,162.25,0.28,12.56,0.28,0.32,15.22,0.10,-0.22,0.01,16.00,7000.00,-43.00,0.00,0.00
7394.00,1970-01-01 00:00:07.394,23.06,39.32,987.18,0.81,0.00,2.00,1.00,161.14,0.29,12.54,0.28,0.32,15.22,0.10,-0.25,-0.00,16.00,7000.00,-37.00,0.00,0.00
7494.00,1970-01-01 00:00:07.494,23.12,40.03,1521.12,0.81,0.00,2.00,1.00,160.55,0.30,12.57,0.28,0.32,15.22,0.10,-0.26,0.02,16.00,7000.00,-52.00,0.00,0.00
7594.00,1970-01-01 00:00:07.594,23.14,40.61,1521.12,0.81,0.00,2.00,1.00,162.89,0.30,12.54,0.28,0.32,15.22,0.10,-0.24,0.00,16.00,7000.00,-52.00,0.00,0.00
7694.00,1970-01-01 00:00:07.694,22.98,41.31,1521.12,0.81,0.00,2.00,1.00,165.71,0.30,12.57,0.28,0.32,15.22,0.10,-0.27,0.01,16.00,7000.00,-52.00,0.00,0.00
7794.00,1970-01-01 00:00:07.794,23.02,41.90,381.37,0.81,0.00,2.00,1.00,164.57,0.30,12.55,0.28,0.32,15.22,0.10,-0.23,-0.02,16.00,7000.00,-26.00,0.00,0.00
7894.00,1970-01-01 00:00:07.894,22.99,42.60,908.30,0.80,0.00,2.00,1.00,163.93,0.31,12.56,0.28,0.32,15.22,0.10,-0.25,0.00,16.00,7000.00,-36.00,0.00,0.00
