OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
792.00,1970-00-00 00:00:00.792,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,13.15,0.00,0.00,0.00,0.00,0.00,0.10,17.00,10.00,0.00,0.00,0.00
2248.00,1970-01-01 00:00:02.248,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.15,29.05,29.23,30.04,28.61,-0.17,0.10,17.00,10.00,0.00,0.00,0.00
2348.00,1970-01-01 00:00:02.348,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.15,29.05,29.23,30.04,28.61,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
2448.00,1970-01-01 00:00:02.448,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.15,29.05,29.23,30.04,28.61,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
2548.00,1970-01-01 00:00:02.548,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.15,29.09,29.23,30.05,28.61,-0.17,0.10,17.00,10.00,0.00,0.00,0.00
2648.00,1970-01-01 00:00:02.648,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.15,29.09,29.23,30.05,28.58,-0.18,0.10,17.00,10.00,0.00,0.00,0.00
2748.00,1970-01-01 00:00:02.748,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.15,29.09,29.27,30.05,28.58,-0.17,0.10,17.00,10.00,0.00,0.00,0.00
2848.00,1970-01-01 00:00:02.848,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.13,29.10,29.27,29.98,28.58,-0.18,0.11,17.00,10.00,0.00,0.00,0.00
2948.00,1970-01-01 00:00:02.948,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.12,29.10,29.27,29.98,28.58,-0.18,0.10,17.00,10.00,0.00,0.00,0.00
3048.00,1970-01-01 00:00:03.048,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.15,29.05,29.25,30.10,28.61,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
3148.00,1970-01-01 00:00:03.148,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.12,29.05,29.25,30.10,28.61,-0.15,0.11,17.00,10.00,0.00,0.00,0.00
3248.00,1970-01-01 00:00:03.248,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.13,29.05,29.26,30.10,28.61,-0.17,0.10,17.00,10.00,0.00,0.00,0.00
3348.00,1970-01-01 00:00:03.348,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.14,29.08,29.26,30.13,28.61,-0.13,0.11,17.00,10.00,0.00,0.00,0.00
3448.00,1970-01-01 00:00:03.448,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.14,29.08,29.26,30.13,28.63,-0.20,0.11,17.00,10.00,0.00,0.00,0.00
3548.00,1970-01-01 00:00:03.548,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.09,29.09,29.16,30.19,28.63,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
3648.00,1970-01-01 00:00:03.648,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.10,29.09,29.16,30.19,28.63,-0.16,0.11,17.00,10.00,0.00,0.00,0.00
3748.00,1970-01-01 00:00:03.748,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.10,29.09,29.31,30.19,28.63,-0.18,0.10,17.00,10.00,0.00,0.00,0.00
3848.00,1970-01-01 00:00:03.848,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.13,29.08,29.31,30.17,28.68,-0.16,0.11,17.00,10.00,0.00,0.00,0.00
3948.00,1970-01-01 00:00:03.948,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.08,29.08,29.31,30.17,28.68,-0.16,0.10,17.00,10.00,0.00,0.00,0.00
4048.00,1970-01-01 00:00:04.048,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.14,29.08,29.21,30.17,28.68,-0.17,0.10,17.00,10.00,0.00,0.00,0.00
4148.00,1970-01-01 00:00:04.148,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.13,29.05,29.21,30.17,28.68,-0.16,0.10,17.00,10.00,0.00,0.00,0.00
4248.00,1970-01-01 00:00:04.248,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.12,29.05,29.28,30.17,28.65,-0.18,0.10,17.00,10.00,0.00,0.00,0.00
4348.00,1970-01-01 00:00:04.348,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.11,29.10,29.28,30.10,28.65,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
4448.00,1970-01-01 00:00:04.448,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.09,29.10,29.28,30.10,28.65,-0.19,0.10,17.00,10.00,0.00,0.00,0.00
4548.00,1970-01-01 00:00:04.548,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.14,29.10,29.23,30.10,28.65,-0.14,0.11,17.00,10.00,0.00,0.00,0.00
4648.00,1970-01-01 00:00:04.648,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.14,29.14,29.23,30.21,28.65,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
4748.00,1970-01-01 00:00:04.748,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.13,29.14,29.30,30.21,28.65,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
4848.00,1970-01-01 00:00:04.848,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.10,29.16,29.30,30.15,28.65,-0.16,0.11,17.00,10.00,0.00,0.00,0.00
4948.00,1970-01-01 00:00:04.948,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.10,29.16,29.30,30.15,28.65,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
5048.00,1970-01-01 00:00:05.048,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,13.13,29.16,29.34,30.15,28.68,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
5148.00,1970-01-01 00:00:05.148,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.08,29.20,29.34,30.21,28.68,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
5248.00,1970-01-01 00:00:05.248,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.09,29.20,29.26,30.21,28.68,-0.17,0.11,17.00,10.00,0.00,0.00,0.00
5348.00,1970-01-01 00:00:05.348,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.13,29.20,29.26,30.21,28.68,-0.17,0.10,17.00,10.00,0.00,0.00,0.00
