OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
805.00,1970-00-00 00:00:00.805,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.73,0.00,0.00,0.00,0.00,0.00,0.25,17.00,10.00,0.00,0.00,0.00
4096.00,1970-01-01 00:00:04.096,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.73,77.14,90.32,-104.52,48.74,80.33,0.25,17.00,10.00,0.00,0.00,0.00
4196.00,1970-01-01 00:00:04.196,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.63,77.14,90.32,-104.52,48.74,80.14,0.23,17.00,10.00,0.00,0.00,0.00
4296.00,1970-01-01 00:00:04.296,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.70,77.14,90.32,-104.52,48.74,79.85,0.23,17.00,10.00,0.00,0.00,0.00
4396.00,1970-01-01 00:00:04.396,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.62,77.07,90.23,-105.68,48.74,80.56,0.23,17.00,10.00,0.00,0.00,0.00
4496.00,1970-01-01 00:00:04.496,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.65,77.07,90.23,-105.68,49.73,79.84,0.23,17.00,10.00,0.00,0.00,0.00
4596.00,1970-01-01 00:00:04.596,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.67,77.07,90.14,-105.68,49.73,80.50,0.25,17.00,10.00,0.00,0.00,0.00
4696.00,1970-01-01 00:00:04.696,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.64,77.05,90.14,-105.73,49.73,79.95,0.24,17.00,10.00,0.00,0.00,0.00
4796.00,1970-01-01 00:00:04.796,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.64,77.05,90.14,-105.73,49.73,79.86,0.25,17.00,10.00,0.00,0.00,0.00
4896.00,1970-01-01 00:00:04.896,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.69,77.15,90.19,-105.68,49.84,80.56,0.24,17.00,10.00,0.00,0.00,0.00
4996.00,1970-01-01 00:00:04.996,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.69,77.15,90.19,-105.68,49.84,79.86,0.25,17.00,10.00,0.00,0.00,0.00
5096.00,1970-01-01 00:00:05.096,0.00,0.00,0.00,0.80,1.00,1.00,1.00,0.00,0.00,9.41,77.15,90.23,-105.68,49.84,46.17,0.21,23.00,10.00,0.00,1.00,0.00
5196.00,1970-01-01 00:00:05.196,0.00,0.00,23.51,0.80,1.00,1.00,1.00,0.00,nan,10.79,77.08,90.23,-105.84,49.84,65.43,0.17,23.00,nan,-20.00,1.00,0.00
5296.00,1970-01-01 00:00:05.296,0.00,0.00,652.22,0.80,1.00,1.00,1.00,0.00,nan,11.55,77.08,90.23,-105.84,50.05,71.48,0.17,23.00,nan,-31.00,1.00,0.00
5396.00,1970-01-01 00:00:05.396,0.00,0.00,652.22,0.80,1.00,1.00,1.00,0.00,nan,11.72,77.05,90.21,-105.83,50.05,72.68,0.16,23.00,nan,-31.00,1.00,0.00
5496.00,1970-01-01 00:00:05.496,0.00,0.00,919.31,0.80,1.00,1.00,1.00,0.00,nan,11.51,77.05,90.21,-105.83,50.05,70.50,0.18,23.00,nan,-36.00,1.00,0.00
5596.00,1970-01-01 00:00:05.596,0.00,0.00,1395.67,0.81,0.00,1.00,1.00,0.00,nan,12.51,77.05,90.19,-105.83,50.05,-8.83,0.21,21.00,nan,-45.00,1.00,0.00
5696.00,1970-01-01 00:00:05.696,0.00,0.00,1395.67,0.80,0.00,1.00,1.00,0.00,nan,12.55,77.12,90.19,-104.68,50.17,79.04,0.24,21.00,nan,-45.00,1.00,0.00
5796.00,1970-01-01 00:00:05.796,0.00,0.00,1085.45,0.80,1.00,1.00,1.00,0.00,nan,11.40,77.12,90.19,-104.68,50.17,69.34,0.15,23.00,nan,-39.00,1.00,0.00
5896.00,1970-01-01 00:00:05.896,0.00,0.00,905.30,0.80,1.00,1.00,1.00,0.00,nan,11.33,77.12,90.23,-104.68,50.17,68.09,0.17,23.00,nan,-36.00,1.00,0.00
5996.00,1970-01-01 00:00:05.996,0.00,0.00,978.63,0.80,1.00,1.00,1.00,0.00,nan,11.19,77.07,90.23,-105.62,50.17,68.70,0.16,23.00,nan,-37.00,1.00,0.00
6096.00,1970-01-01 00:00:06.096,0.00,0.00,996.55,0.80,1.00,1.00,1.00,0.00,nan,11.99,77.07,90.13,-105.62,50.34,74.44,0.20,23.00,nan,-37.00,1.00,0.00
6196.00,1970-01-01 00:00:06.196,0.00,0.00,1016.14,0.80,1.00,1.00,1.00,0.00,nan,11.80,77.05,90.13,-103.76,50.34,73.28,0.16,23.00,nan,-38.00,1.00,0.00
6296.00,1970-01-01 00:00:06.296,0.00,0.00,1016.14,0.80,1.00,1.00,1.00,0.00,nan,11.74,77.05,90.13,-103.76,50.34,72.83,0.15,23.00,nan,-38.00,1.00,0.00
6396.00,1970-01-01 00:00:06.396,0.00,0.00,1023.77,0.81,0.00,1.00,1.00,0.00,nan,11.67,77.05,90.23,-103.76,50.34,71.32,0.18,17.00,nan,-38.00,0.00,0.00
6496.00,1970-01-01 00:00:06.496,0.00,0.00,1025.83,0.81,0.00,1.00,1.00,0.00,nan,12.47,77.02,90.23,-101.57,50.52,78.80,0.25,17.00,nan,-38.00,0.00,0.00
