OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
792.00,1970-00-00 00:00:00.792,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.76,0.00,0.00,0.00,0.00,0.00,1.31,17.00,10.00,0.00,0.00,0.00
4040.00,1970-01-01 00:00:04.040,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.76,26.43,25.94,19.15,22.73,2.29,1.31,17.00,10.00,0.00,0.00,0.00
4140.00,1970-01-01 00:00:04.140,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.60,26.43,25.94,19.15,22.73,2.29,1.32,17.00,10.00,0.00,0.00,0.00
4240.00,1970-01-01 00:00:04.240,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.41,26.43,25.94,19.15,22.73,2.29,1.31,17.00,10.00,0.00,0.00,0.00
4340.00,1970-01-01 00:00:04.340,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.61,26.37,25.83,19.13,22.73,2.32,1.32,17.00,10.00,0.00,0.00,0.00
4440.00,1970-01-01 00:00:04.440,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.53,26.37,25.83,19.13,22.75,2.28,1.32,17.00,10.00,0.00,0.00,0.00
4540.00,1970-01-01 00:00:04.540,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.50,26.37,25.88,19.13,22.75,2.33,1.31,17.00,10.00,0.00,0.00,0.00
4640.00,1970-01-01 00:00:04.640,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.55,26.41,25.88,19.18,22.75,2.29,1.31,17.00,10.00,0.00,0.00,0.00
4740.00,1970-01-01 00:00:04.740,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.52,26.41,25.88,19.18,22.75,2.28,1.30,17.00,10.00,0.00,0.00,0.00
4840.00,1970-01-01 00:00:04.840,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.53,26.55,25.91,19.13,22.71,2.29,1.31,17.00,10.00,0.00,0.00,0.00
4940.00,1970-01-01 00:00:04.940,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.50,26.55,25.91,19.13,22.71,2.26,1.31,17.00,10.00,0.00,0.00,0.00
5040.00,1970-01-01 00:00:05.040,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.57,26.55,25.94,19.13,22.71,2.30,1.31,17.00,10.00,0.00,0.00,0.00
5140.00,1970-01-01 00:00:05.140,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.48,26.57,25.94,19.18,22.71,2.23,1.31,17.00,10.00,0.00,0.00,0.00
5240.00,1970-01-01 00:00:05.240,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.53,26.57,25.94,19.18,22.86,2.35,1.31,17.00,10.00,0.00,0.00,0.00
5340.00,1970-01-01 00:00:05.340,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.52,26.55,25.94,19.20,22.86,2.29,1.31,17.00,10.00,0.00,0.00,0.00
5440.00,1970-01-01 00:00:05.440,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.46,26.55,25.94,19.20,22.86,2.27,1.31,17.00,10.00,0.00,0.00,0.00
