OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
459090.00,2019-07-04 13:04:11.090,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.74,65.08,73.37,-99.83,36.65,-9.75,0.25,17.00,7000.00,-43.00,0.00,0.00
459190.00,2019-07-04 13:04:11.190,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.60,65.08,73.34,-99.83,36.79,-9.75,0.25,17.00,7000.00,-43.00,0.00,0.00
459290.00,2019-07-04 13:04:11.290,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.73,65.15,73.34,-99.83,36.79,-9.75,0.24,17.00,7000.00,-43.00,0.00,0.00
459390.00,2019-07-04 13:04:11.390,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.72,65.15,73.34,-99.77,36.79,-9.75,0.25,17.00,7000.00,-43.00,0.00,0.00
459490.00,2019-07-04 13:04:11.490,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.73,65.15,73.32,-99.77,36.79,-9.75,0.25,17.00,7000.00,-43.00,0.00,0.00
459590.00,2019-07-04 13:04:11.590,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.74,65.05,73.32,-99.77,36.79,-9.75,0.26,17.00,7000.00,-43.00,0.00,0.00
459690.00,2019-07-04 13:04:11.690,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.60,65.05,73.41,-99.54,36.79,-9.75,0.25,17.00,7000.00,-43.00,0.00,0.00
459790.00,2019-07-04 13:04:11.790,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.74,65.05,73.41,-99.54,36.79,-9.75,0.25,17.00,7000.00,-43.00,0.00,0.00
459890.00,2019-07-04 13:04:11.890,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.73,65.05,73.41,-99.48,36.79,-9.75,0.25,17.00,7000.00,-43.00,0.00,0.00
459990.00,2019-07-04 13:04:11.990,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.76,65.05,73.29,-99.48,36.79,-9.75,0.25,17.00,7000.00,-43.00,0.00,0.00
460090.00,2019-07-04 13:04:12.090,0.00,1794.38,0.00,1.51,0.00,1.00,1.00,174.11,12.24,12.76,65.21,73.29,-99.48,36.79,-9.75,0.26,17.00,7000.00,-43.00,0.00,0.00
