OnTime_(ms),Time_(UTC),Speed_(km/h),Distance_(m),RPM,Lambda,Starter,Gear,Fuel_correction,Fuel_consumption_(km/l),Fuel_consumed_(g),Battery_voltage_(V),Oil_temperature_(C),Water_temperature_(C),Exhaust_temperature_(C), Air_Temperature_(C), Brake_front_(bar),Brake_rear_(bar),ecu_state, injection_duration_(us), injection_angle, burning, tuning_state
783.00,1970-00-00 00:00:00.783,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,13.25,0.00,0.00,0.00,0.00,0.00,1.76,17.00,10.00,0.00,0.00,0.00
4082.00,1970-01-01 00:00:04.082,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.25,33.21,21.31,52.60,22.11,4.00,1.76,17.00,10.00,0.00,0.00,0.00
4182.00,1970-01-01 00:00:04.182,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.92,33.21,21.31,52.60,22.11,4.08,1.74,17.00,10.00,0.00,0.00,0.00
4282.00,1970-01-01 00:00:04.282,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.07,33.21,21.31,52.60,22.11,3.94,1.75,17.00,10.00,0.00,0.00,0.00
4382.00,1970-01-01 00:00:04.382,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,13.07,33.14,21.43,52.13,22.11,4.13,1.75,17.00,10.00,0.00,0.00,0.00
4482.00,1970-01-01 00:00:04.482,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.92,33.14,21.43,52.13,22.05,4.05,1.75,17.00,10.00,0.00,0.00,0.00
4582.00,1970-01-01 00:00:04.582,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,13.01,33.14,21.48,52.13,22.05,4.01,1.75,17.00,10.00,0.00,0.00,0.00
4682.00,1970-01-01 00:00:04.682,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.96,33.21,21.48,52.10,22.05,4.07,1.75,17.00,10.00,0.00,0.00,0.00
4782.00,1970-01-01 00:00:04.782,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.92,33.21,21.48,52.10,22.05,4.00,1.75,17.00,10.00,0.00,0.00,0.00
4882.00,1970-01-01 00:00:04.882,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.89,33.23,21.57,52.13,22.11,4.09,1.75,17.00,10.00,0.00,0.00,0.00
4982.00,1970-01-01 00:00:04.982,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.91,33.23,21.57,52.13,22.11,3.96,1.74,17.00,10.00,0.00,0.00,0.00
5082.00,1970-01-01 00:00:05.082,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.03,33.23,21.52,52.13,22.11,4.10,1.74,17.00,10.00,0.00,0.00,0.00
5182.00,1970-01-01 00:00:05.182,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.99,33.19,21.52,52.07,22.11,4.04,1.75,17.00,10.00,0.00,0.00,0.00
5282.00,1970-01-01 00:00:05.282,0.00,0.00,0.00,0.80,1.00,0.00,1.00,0.00,0.00,10.87,33.19,21.52,52.07,22.13,4.03,1.72,7.00,10.00,0.00,1.00,0.00
5382.00,1970-01-01 00:00:05.382,0.00,0.00,22.47,0.82,1.00,0.00,1.00,0.00,0.01,10.69,33.30,21.52,52.07,22.13,3.98,1.73,7.00,8000.00,-20.00,1.00,0.00
5482.00,1970-01-01 00:00:05.482,0.00,0.00,22.47,0.82,1.00,0.00,1.00,0.00,0.01,11.75,33.30,21.52,52.07,22.13,3.96,1.73,7.00,8000.00,-20.00,1.00,0.00
5582.00,1970-01-01 00:00:05.582,0.00,0.00,827.89,0.82,1.00,0.00,1.00,0.00,0.01,11.75,33.30,21.56,52.07,22.13,4.01,1.73,7.00,8000.00,-34.00,1.00,0.00
5682.00,1970-01-01 00:00:05.682,0.00,0.00,904.79,0.81,1.00,0.00,1.00,0.00,0.02,11.46,33.27,21.56,52.02,22.09,4.03,1.73,7.00,8000.00,-36.00,1.00,0.00
5782.00,1970-01-01 00:00:05.782,0.00,0.00,914.82,0.81,1.00,0.00,1.00,0.00,0.03,10.84,33.27,21.56,52.02,22.09,3.84,1.71,7.00,8000.00,-36.00,1.00,0.00
5882.00,1970-01-01 00:00:05.882,0.00,0.00,924.15,0.82,1.00,0.00,1.00,0.00,0.04,11.90,33.27,21.63,52.02,22.09,3.96,1.70,7.00,8000.00,-36.00,1.00,0.00
5982.00,1970-01-01 00:00:05.982,0.00,0.00,924.15,0.81,1.00,0.00,1.00,0.00,0.04,11.69,33.27,21.63,52.33,22.09,3.93,1.71,7.00,8000.00,-36.00,1.00,0.00
6082.00,1970-01-01 00:00:06.082,0.00,0.00,926.33,0.81,1.00,0.00,1.00,0.00,0.04,11.50,33.27,21.57,52.33,22.07,3.98,1.71,7.00,8000.00,-36.00,1.00,0.00
6182.00,1970-01-01 00:00:06.182,0.00,0.00,922.69,0.80,1.00,0.00,1.00,0.00,0.05,10.95,33.26,21.57,52.66,22.07,4.10,1.69,7.00,8000.00,-36.00,1.00,0.00
6282.00,1970-01-01 00:00:06.282,0.00,0.00,924.36,0.80,1.00,0.00,1.00,0.00,0.06,12.03,33.26,21.57,52.66,22.07,4.06,1.70,7.00,8000.00,-36.00,1.00,0.00
6382.00,1970-01-01 00:00:06.382,0.00,0.00,924.36,0.80,1.00,0.00,1.00,0.00,0.06,11.71,33.26,21.54,52.66,22.07,3.97,1.70,7.00,8000.00,-36.00,1.00,0.00
