Time,Speed [km/h],Distance [m],RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption [km/l],Fuel consumed [g],Battery voltage [V],Oil temperature [°C],Water temperature [°C],Exhaust temperature [°C],Brake front [bar],Brake rear [bar],TestState
2018-06-27 23:40:07.943,0.0,0.0,0.0,1.4677,false,A1,1.0,0.0,0.0,12.28473,45.01563,37.94531,72.61719,-9.75,-0.189329,TEST_STOPPED
2018-06-27 23:40:08.047,0.0,0.0,0.0,1.4677,false,A1,1.0,0.0,0.0,12.2932,45.01563,37.94531,72.61719,-9.75,-0.186684,TEST_STOPPED
2018-06-27 23:40:08.147,-122.03,0.0,0.0,1.4677,false,A1,1.0,0.0,0.0,12.29938,45.07813,38.03125,72.57031,-9.75,-0.189329,TEST_STOPPED
2018-06-27 23:40:08.369,-122.03,0.0,0.0,1.4677,true,A1,1.0,0.0,0.0,12.18814,45.05469,38.03125,72.4375,-9.748622,-0.220392,TEST_BURNING
2018-06-27 23:40:08.418,-122.03,0.0,0.0,1.4677,true,A1,1.0,0.0,0.0,11.00618,45.05469,38.03125,72.4375,-9.75,-0.211799,TEST_BURNING
2018-06-27 23:40:08.497,-122.03,0.0,3.394084,1.4677,true,A1,1.0,0.0,0.00627,11.37331,45.05469,38.03125,72.4375,-9.75,-0.215104,TEST_BURNING
2018-06-27 23:40:08.596,0.15,0.0,1242.545,1.4677,false,A1,1.0,0.0,0.01254,11.38224,45.05469,38.03125,72.4375,-9.75,-0.178093,TEST_BURNING
2018-06-27 23:40:08.697,1.57,0.117035,1749.042,1.4677,false,A1,1.0,7.734587,0.018421,12.05928,45.08594,37.96875,72.28906,-9.75,-0.203868,TEST_BURNING
2018-06-27 23:40:08.797,1.57,0.117035,1875.029,0.25,false,A1,1.0,4.720861,0.030181,12.0341,45.08594,37.96875,72.28906,-9.74311,-0.180738,TEST_BURNING
2018-06-27 23:40:08.913,1.57,0.117035,1830.44,1.4677,false,A1,1.0,3.397176,0.041941,12.13779,45.0625,38.03125,77.1875,-9.75,-0.179415,TEST_BURNING
2018-06-27 23:40:09.013,1.57,0.117035,1827.875,1.4677,false,A1,1.0,2.979469,0.047821,12.14031,45.0625,38.03125,77.1875,-9.744488,-0.180077,TEST_BURNING
2018-06-27 23:40:09.130,2.0,0.23407,1828.181,1.4677,false,A1,1.0,4.782783,0.059581,12.15061,45.0625,38.03125,77.1875,-9.75,-0.169501,TEST_BURNING
2018-06-27 23:40:09.216,2.0,0.23407,1828.655,1.4677,false,A1,1.0,4.353175,0.065461,12.17945,45.0625,37.9375,88.64063,-9.75,-0.147691,TEST_BURNING
2018-06-27 23:40:09.317,2.0,0.23407,1815.129,1.4677,false,A1,1.0,3.690234,0.077221,12.19821,45.0625,37.9375,88.64063,-9.75,-0.172145,TEST_BURNING
2018-06-27 23:40:09.513,1.86,0.351104,1810.583,1.4677,false,A1,1.0,4.803786,0.088981,12.18746,45.0625,37.99219,99.53906,-9.75,-0.188667,TEST_BURNING
2018-06-27 23:40:09.550,2.13,0.468139,1813.867,1.4677,false,A1,1.0,6.008029,0.094861,12.19867,45.0625,37.99219,99.53906,-9.75,-0.213782,TEST_BURNING
2018-06-27 23:40:09.651,2.13,0.468139,1806.005,1.4677,false,A1,1.0,5.345364,0.106621,12.19181,45.0625,37.99219,99.53906,-9.745866,-0.195276,TEST_BURNING
2018-06-27 23:40:09.752,2.42,0.585174,1813.072,1.4677,false,A1,1.0,6.332479,0.112501,12.19043,45.10156,38.03125,110.8438,-9.75,-0.168179,TEST_BURNING
2018-06-27 23:40:09.863,2.72,0.702209,1813.017,1.4677,false,A1,1.0,6.879815,0.124261,12.16114,45.10156,38.03125,110.8438,-9.75,-0.175449,TEST_BURNING
2018-06-27 23:40:09.953,3.03,0.819244,1814.059,1.4677,false,A1,1.0,7.663803,0.130141,12.20874,45.10156,38.03125,110.8438,-9.75,-0.150996,TEST_BURNING
2018-06-27 23:40:10.046,3.03,0.819244,1809.736,1.4677,false,A1,1.0,7.028669,0.141901,12.16114,44.95313,37.92188,119.0469,-9.75,-0.177432,TEST_BURNING
2018-06-27 23:40:10.146,3.28,0.936278,1814.635,1.4677,false,A1,1.0,7.713154,0.147781,12.17922,44.95313,37.92188,119.0469,-9.75,-0.216427,TEST_BURNING
2018-06-27 23:40:10.246,3.56,1.053313,1813.127,1.4677,false,A1,1.0,8.037683,0.159541,12.168,44.95313,37.92188,119.0469,-9.75,-0.177432,TEST_BURNING
2018-06-27 23:40:10.345,3.77,1.170348,1807.038,1.4677,false,A1,1.0,8.613311,0.165421,12.19043,45.08594,37.96875,126.7656,-9.75,-0.209817,TEST_BURNING
2018-06-27 23:40:10.446,4.04,1.287383,1814.333,1.4677,false,A1,1.0,8.845786,0.177181,12.18563,45.08594,37.96875,126.7656,-9.747244,-0.189989,TEST_BURNING
2018-06-27 23:40:10.613,4.45,1.521452,1812.388,1.4677,false,A1,1.0,9.803432,0.188941,12.18837,45.03125,38.03125,133.9688,-9.75,-0.160249,TEST_BURNING
2018-06-27 23:40:10.657,4.7,1.638487,1814.306,1.4677,false,A1,1.0,10.2389,0.194821,12.19501,45.03125,38.03125,133.9688,-9.75,-0.178754,TEST_BURNING
2018-06-27 23:40:10.757,4.89,1.755522,1809.054,1.4677,false,A1,1.0,10.64885,0.200701,12.20829,45.03125,38.03125,133.9688,-9.75,-0.183381,TEST_BURNING
2018-06-27 23:40:10.863,5.07,1.872557,1813.565,1.4677,false,A1,1.0,10.73005,0.212461,12.18471,44.96875,38.03125,141.9922,-9.75,-0.13976,TEST_BURNING
2018-06-27 23:40:10.962,5.47,2.106626,1816.365,1.290104,false,A1,1.0,11.43819,0.224221,12.17807,44.96875,38.03125,141.9922,-9.75,-0.163552,TEST_BURNING
2018-06-27 23:40:11.063,5.61,2.223661,1816.475,1.220054,false,A1,1.0,11.76512,0.230101,12.17075,44.96875,38.03125,141.9922,-9.75,-0.237574,TEST_BURNING
2018-06-27 23:40:11.149,5.93,2.457731,1815.761,1.289082,false,A1,1.0,12.67954,0.235981,12.18036,44.96875,38.01563,147.8906,-9.744488,-0.16223,TEST_BURNING
2018-06-27 23:40:11.250,6.06,2.574766,1816.118,1.348392,false,A1,1.0,12.65278,0.247741,12.18906,44.96875,38.01563,147.8906,-9.75,-0.174128,TEST_BURNING
2018-06-27 23:40:11.351,6.36,2.808835,1815.843,1.199596,false,A1,1.0,13.48302,0.253621,12.18471,44.96875,38.01563,147.8906,-9.75,-0.180077,TEST_BURNING
2018-06-27 23:40:11.463,6.67,3.042905,1823.209,1.046861,false,A1,1.0,13.95934,0.265381,12.19181,44.98438,37.9375,153.3203,-9.75,-0.139099,TEST_BURNING
2018-06-27 23:40:11.555,6.85,3.15994,1835.733,1.082518,false,A1,1.0,13.88111,0.277141,12.19936,44.98438,37.9375,153.3203,-9.75,-0.186684,TEST_BURNING
2018-06-27 23:40:11.719,7.28,3.511044,1890.24,1.082425,false,A1,1.0,14.79563,0.288901,12.19982,45.05469,38.00781,158.6016,-9.75,-0.178754,TEST_BURNING
2018-06-27 23:40:11.769,7.43,3.628079,1890.032,1.068378,false,A1,1.0,14.98385,0.294781,12.18242,45.05469,38.00781,158.6016,-9.75,-0.209156,TEST_BURNING
2018-06-27 23:40:11.879,7.71,3.862148,1942.062,1.162416,false,A1,1.0,15.33864,0.306541,12.17258,45.05469,38.00781,158.6016,-9.75,-0.160909,TEST_BURNING
2018-06-27 23:40:11.971,7.97,4.096218,1968.149,1.233618,false,A1,1.0,15.96207,0.312421,12.16846,45.10156,38.07813,165.1172,-9.75,-0.180738,TEST_BURNING
2018-06-27 23:40:12.072,8.18,4.330287,2012.781,1.241923,false,A1,1.0,16.26366,0.32415,12.18746,45.10156,38.07813,165.1172,-9.747244,-0.204528,TEST_BURNING
2018-06-27 23:40:12.149,8.42,4.564357,2032.073,1.127186,false,A1,1.0,16.84144,0.329949,12.22156,45.10156,38.07813,165.1172,-9.75,-0.162892,TEST_BURNING
2018-06-27 23:40:12.264,8.66,4.798427,2077.814,1.15123,false,A1,1.0,17.11264,0.341373,12.19364,45.03125,38.03125,170.4453,-9.75,-0.162892,TEST_BURNING
2018-06-27 23:40:12.363,9.09,5.149531,2143.202,0.974767,false,A1,1.0,17.78371,0.352527,12.1973,45.03125,38.03125,170.4453,-9.75,-0.183381,TEST_BURNING
2018-06-27 23:40:12.464,9.41,5.383601,2219.058,1.014623,false,A1,1.0,18.04292,0.363256,12.17899,45.03125,38.03125,170.4453,-9.75,-0.188006,TEST_BURNING
2018-06-27 23:40:12.565,9.84,5.734705,2279.289,0.962559,false,A1,1.0,18.67857,0.373779,12.10346,45.00781,38.03125,176.3438,-9.75,-0.215104,TEST_BURNING
2018-06-27 23:40:12.680,10.12,5.968774,2363.182,0.928984,false,A1,1.0,18.90917,0.384291,12.10323,45.00781,38.03125,176.3438,-9.75,-0.205851,TEST_BURNING
2018-06-27 23:40:12.831,10.75,6.553948,2411.818,0.848584,false,A1,1.0,19.94465,0.400059,12.13436,44.99219,37.99219,183.0703,-9.75,-0.176771,TEST_BURNING
2018-06-27 23:40:12.881,10.91,6.670983,2452.082,0.755382,false,A1,1.0,20.03755,0.405315,12.15633,44.99219,37.99219,183.0703,-9.75,-0.191972,TEST_BURNING
2018-06-27 23:40:12.963,11.15,6.905053,2562.624,0.622863,false,A1,1.0,20.23286,0.415486,12.12108,44.99219,37.99219,183.0703,-9.748622,-0.192633,TEST_BURNING
2018-06-27 23:40:13.062,11.59,7.256157,2599.991,0.572713,false,A1,1.0,20.77936,0.42513,12.15541,44.99219,37.99219,183.0703,-9.75,-0.201885,TEST_BURNING
2018-06-27 23:40:13.162,11.9,7.607262,2630.252,0.53531,false,A1,1.0,21.31416,0.434517,12.19799,44.98438,37.98438,192.6797,-9.75,-0.265993,TEST_BURNING
2018-06-27 23:40:13.262,12.2,7.958366,2664.239,0.845667,false,A1,1.0,21.84084,0.44361,12.20531,44.98438,37.98438,192.6797,-9.75,-0.173467,TEST_BURNING
2018-06-27 23:40:13.379,12.49,8.426505,2719.3,0.959828,false,A1,1.0,22.4721,0.45651,12.18997,45.00781,37.875,201.0703,-9.75,-0.24154,TEST_BURNING
2018-06-27 23:40:13.479,12.8,8.77761,2770.787,1.020513,false,A1,1.0,22.99157,0.464788,12.18196,45.00781,37.875,201.0703,-9.748622,-0.164213,TEST_BURNING
2018-06-27 23:40:13.577,13.09,9.128714,2867.589,1.11483,false,A1,1.0,23.29396,0.477104,12.14717,45.00781,37.875,201.0703,-9.744488,-0.193956,TEST_BURNING
2018-06-27 23:40:13.679,13.31,9.479818,2887.67,1.444827,false,A1,1.0,23.78061,0.485315,12.18379,45.00781,38.0625,208.7188,-9.75,-0.222373,TEST_BURNING
2018-06-27 23:40:13.762,13.51,9.830922,2912.056,1.4677,false,A1,1.0,24.25107,0.493526,12.18563,45.00781,38.0625,208.7188,-9.75,-0.195276,TEST_BURNING
2018-06-27 23:40:13.946,14.09,10.53313,3027.016,1.4677,false,A1,1.0,25.14655,0.509948,12.17876,45.00781,37.98438,215.6797,-9.75,-0.160909,TEST_BURNING
2018-06-27 23:40:14.057,14.4,11.00127,3100.855,1.4677,false,A1,1.0,25.44476,0.52637,12.18837,45.00781,37.98438,215.6797,-9.75,-0.216427,TEST_BURNING
2018-06-27 23:40:14.162,14.62,11.46941,3117.45,1.4677,false,A1,1.0,26.12006,0.534581,12.20623,45.00781,37.98438,215.6797,-9.75,-0.197259,TEST_BURNING
2018-06-27 23:40:14.262,14.92,11.93755,3167.397,1.4677,false,A1,1.0,26.57394,0.546898,12.15244,45.07813,38.03906,223.6563,-9.75,-0.242201,TEST_BURNING
2018-06-27 23:40:14.349,15.15,12.28865,3221.909,1.4677,false,A1,1.0,26.95089,0.555109,12.19501,45.07813,38.03906,223.6563,-9.75,-0.223695,TEST_BURNING
2018-06-27 23:40:14.451,15.45,12.75679,3273.323,1.4677,false,A1,1.0,27.37031,0.567425,12.18791,45.01563,37.96094,230.4531,-9.75,-0.240218,TEST_BURNING
2018-06-27 23:40:14.553,15.63,13.22493,3332.778,1.4677,false,A1,1.0,27.77191,0.579742,12.18425,45.01563,37.96094,230.4531,-9.75,-0.279211,TEST_BURNING
2018-06-27 23:40:14.662,15.94,13.69307,3355.517,1.4677,false,A1,1.0,28.1568,0.592059,12.18013,45.01563,37.96094,230.4531,-9.75,-0.176771,TEST_BURNING
2018-06-27 23:40:14.755,16.19,14.16121,3404.545,1.4677,false,A1,1.0,28.526,0.604375,12.20142,45.01563,37.96875,237.8594,-9.75,-0.228322,TEST_BURNING
2018-06-27 23:40:14.856,16.45,14.62935,3479.875,1.4677,false,A1,1.0,29.07401,0.612586,12.19409,45.01563,37.96875,237.8594,-9.75,-0.265333,TEST_BURNING
2018-06-27 23:40:15.046,16.79,15.44859,3474.635,1.4677,false,A1,1.0,29.5153,0.637219,12.19638,45.01563,37.96094,245.2422,-9.75,-0.215104,TEST_BURNING
2018-06-27 23:40:15.145,17.1,15.91673,3633.941,1.4677,false,A1,1.0,29.83307,0.649536,12.1957,45.01563,37.96094,245.2422,-9.75,-0.207833,TEST_BURNING
2018-06-27 23:40:15.246,17.37,16.50191,3670.286,1.4677,false,A1,1.0,30.35429,0.661852,12.15084,45.01563,37.96094,245.2422,-9.75,-0.220392,TEST_BURNING
2018-06-27 23:40:15.349,17.52,16.97005,3645.09,1.4677,false,A1,1.0,30.64513,0.674169,12.20027,45.13281,38.01563,252.8594,-9.75,-0.24154,TEST_BURNING
2018-06-27 23:40:15.462,17.67,17.43818,3706.793,1.4677,false,A1,1.0,30.92552,0.686485,12.21653,45.13281,38.01563,252.8594,-9.75,-0.151657,TEST_BURNING
2018-06-27 23:40:15.552,18.01,18.02336,3837.176,1.4677,false,A1,1.0,31.21115,0.703028,12.19478,45.13281,38.01563,252.8594,-9.75,-0.201885,TEST_BURNING
2018-06-27 23:40:15.653,18.03,18.4915,3341.222,1.4677,false,A1,1.0,31.47049,0.715345,12.22614,45.13281,37.94531,258.3672,-9.75,-0.227,TEST_BURNING
2018-06-27 23:40:15.754,18.1,19.07667,3137.091,1.4677,false,A1,1.0,32.09797,0.723556,12.18219,45.13281,37.94531,258.3672,-9.75,-0.210477,TEST_BURNING
2018-06-27 23:40:15.862,18.31,19.54481,2813.137,1.4677,false,A1,1.0,32.33522,0.735872,12.17899,45.13281,38.01563,261.3047,-9.75,-0.168179,TEST_BURNING
2018-06-27 23:40:15.962,18.23,20.01295,2583.59,1.4677,false,A1,1.0,32.70036,0.745085,12.14488,45.13281,38.01563,261.3047,-9.75,-0.211138,TEST_BURNING
2018-06-27 23:40:16.162,18.22,21.06626,2075.729,1.4677,false,A2,1.0,33.45354,0.766642,12.20142,45.10938,37.98438,247.7031,-9.75,-0.200564,TEST_BURNING
2018-06-27 23:40:16.262,18.31,21.5344,1930.471,1.4677,false,A2,1.0,33.93666,0.772522,12.27237,45.10938,37.98438,247.7031,-9.75,-0.165535,TEST_BURNING
