OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
1081.00,1970-01-01 00:00:01.081,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.71,42.07,54.70,99.46,0.00,-0.15,16.00,10.00,0.00
2081.00,1970-01-01 00:00:02.081,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.68,42.06,54.70,99.28,0.00,-0.20,16.00,10.00,0.00
3081.00,1970-01-01 00:00:03.081,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.67,42.07,54.68,99.20,0.00,-0.15,16.00,10.00,0.00
4081.00,1970-01-01 00:00:04.081,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.58,42.09,54.66,98.82,0.00,-0.14,16.00,10.00,0.00
5081.00,1970-01-01 00:00:05.081,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.54,42.07,54.66,98.66,0.00,-0.15,16.00,10.00,0.00
6081.00,1970-01-01 00:00:06.081,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.47,42.09,54.59,98.45,0.00,-0.25,16.00,10.00,0.00
7081.00,1970-01-01 00:00:07.081,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.47,41.98,54.57,98.25,0.00,-0.15,16.00,10.00,0.00
8081.00,1970-01-01 00:00:08.081,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.55,42.00,54.55,97.97,0.00,-0.23,16.00,10.00,0.00
9081.00,1970-01-01 00:00:09.081,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.54,42.06,54.47,97.76,0.00,-0.15,16.00,10.00,0.00
10081.00,1970-01-01 00:00:10.081,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.54,42.05,54.54,97.59,0.00,-0.15,16.00,10.00,0.00
11081.00,1970-01-01 00:00:11.081,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.50,42.00,54.37,97.46,0.00,-0.23,16.00,10.00,0.00
12081.00,1970-01-01 00:00:12.081,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.48,42.05,54.43,97.14,0.00,-0.24,16.00,10.00,0.00
13081.00,1970-01-01 00:00:13.081,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.48,42.05,54.36,96.93,0.00,-0.15,16.00,10.00,0.00
14120.00,1970-01-01 00:00:14.120,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.45,41.96,54.32,96.77,0.00,-0.15,16.00,10.00,0.00
15207.00,1970-01-01 00:00:15.207,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.50,42.00,54.28,96.52,0.00,-0.15,16.00,10.00,0.00
16288.00,1970-01-01 00:00:16.288,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.49,41.96,54.25,96.27,0.00,-0.15,16.00,10.00,0.00
17288.00,1970-01-01 00:00:17.288,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.40,41.98,54.32,96.05,0.00,-0.23,16.00,10.00,0.00
18288.00,1970-01-01 00:00:18.288,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.45,42.05,54.23,95.95,0.00,-0.15,16.00,10.00,0.00
19288.00,1970-01-01 00:00:19.288,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.57,41.91,54.23,95.76,0.00,-0.14,16.00,10.00,0.00
20288.00,1970-01-01 00:00:20.288,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.58,41.87,54.21,95.52,0.00,-0.19,16.00,10.00,0.00
21288.00,1970-01-01 00:00:21.288,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.53,41.98,54.14,95.27,0.00,-0.21,16.00,10.00,0.00
22288.00,1970-01-01 00:00:22.288,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.36,41.91,54.05,95.09,0.00,-0.15,16.00,10.00,0.00
23288.00,1970-01-01 00:00:23.288,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.51,41.95,54.14,94.98,0.00,-0.14,16.00,10.00,0.00
24288.00,1970-01-01 00:00:24.288,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.50,41.98,54.02,94.75,0.00,-0.23,16.00,10.00,0.00
25288.00,1970-01-01 00:00:25.288,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.34,41.91,54.01,94.55,0.00,-0.15,16.00,10.00,0.00
26288.00,1970-01-01 00:00:26.288,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.51,41.91,54.01,94.29,0.00,-0.14,16.00,10.00,0.00
27288.00,1970-01-01 00:00:27.288,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.40,41.85,53.88,94.20,0.00,-0.23,16.00,10.00,0.00
28288.00,1970-01-01 00:00:28.288,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.55,41.80,53.98,93.97,0.00,-0.15,16.00,10.00,0.00
29326.00,1970-01-01 00:00:29.326,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.55,41.76,53.94,93.62,0.00,-0.15,16.00,10.00,0.00
30413.00,1970-01-01 00:00:30.413,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.35,41.84,53.82,93.50,0.00,-0.15,16.00,10.00,0.00
31494.00,1970-01-01 00:00:31.494,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.56,41.80,53.82,93.27,0.00,-0.14,16.00,10.00,0.00
32575.00,1970-01-01 00:00:32.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.40,41.89,53.85,93.09,0.00,-0.23,16.00,10.00,0.00
33575.00,1970-01-01 00:00:33.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.48,41.84,53.80,93.02,0.00,-0.15,16.00,10.00,0.00
34575.00,1970-01-01 00:00:34.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.31,41.83,53.83,92.77,0.00,-0.15,16.00,10.00,0.00
35575.00,1970-01-01 00:00:35.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.42,41.82,53.75,92.55,0.00,-0.17,16.00,10.00,0.00
36575.00,1970-01-01 00:00:36.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.44,41.84,53.73,92.45,0.00,-0.16,16.00,10.00,0.00
37575.00,1970-01-01 00:00:37.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.38,41.83,53.71,92.26,0.00,-0.15,16.00,10.00,0.00
38575.00,1970-01-01 00:00:38.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.56,41.77,53.66,91.98,0.00,-0.14,16.00,10.00,0.00
39575.00,1970-01-01 00:00:39.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.57,41.80,53.63,91.85,0.00,-0.17,16.00,10.00,0.00
40575.00,1970-01-01 00:00:40.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.38,41.69,53.51,91.68,0.00,-0.16,16.00,10.00,0.00
41575.00,1970-01-01 00:00:41.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.53,41.67,53.70,91.52,0.00,-0.19,16.00,10.00,0.00
42575.00,1970-01-01 00:00:42.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.55,41.70,53.51,91.40,0.00,-0.14,16.00,10.00,0.00
43575.00,1970-01-01 00:00:43.575,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.37,41.73,53.52,91.19,0.00,-0.15,16.00,10.00,0.00
44575.00,1970-01-01 00:00:44.575,0.94,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.31,41.75,53.41,91.00,0.00,-0.15,16.00,10.00,0.00
45641.00,1970-01-01 00:00:45.641,-0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.58,41.67,53.46,90.77,0.00,-0.14,16.00,10.00,0.00
46753.00,1970-01-01 00:00:46.753,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.42,41.70,53.37,90.63,0.00,-0.23,16.00,10.00,0.00
47865.00,1970-01-01 00:00:47.865,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.57,41.73,53.40,90.44,0.00,-0.14,16.00,10.00,0.00
48977.00,1970-01-01 00:00:48.977,-0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.39,41.70,53.39,90.26,0.00,-0.21,16.00,10.00,0.00
50089.00,1970-01-01 00:00:50.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.56,41.71,53.38,90.09,0.00,-0.14,16.00,10.00,0.00
51089.00,1970-01-01 00:00:51.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.45,41.65,53.34,89.88,0.00,-0.14,16.00,10.00,0.00
52089.00,1970-01-01 00:00:52.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.42,41.63,53.32,89.77,0.00,-0.23,16.00,10.00,0.00
53089.00,1970-01-01 00:00:53.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.34,41.67,53.33,89.61,0.00,-0.14,16.00,10.00,0.00
54089.00,1970-01-01 00:00:54.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.40,41.69,53.21,89.41,0.00,-0.16,16.00,10.00,0.00
55089.00,1970-01-01 00:00:55.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.58,41.65,53.26,89.30,0.00,-0.14,16.00,10.00,0.00
56089.00,1970-01-01 00:00:56.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.54,41.65,53.23,89.20,0.00,-0.14,16.00,10.00,0.00
57089.00,1970-01-01 00:00:57.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.46,41.64,53.21,89.00,0.00,-0.21,16.00,10.00,0.00
58089.00,1970-01-01 00:00:58.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.30,41.60,53.14,88.84,0.00,-0.15,16.00,10.00,0.00
59089.00,1970-01-01 00:00:59.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.42,41.57,53.23,88.70,0.00,-0.23,16.00,10.00,0.00
60089.00,1970-01-01 00:01:00.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.37,41.64,53.10,88.60,0.00,-0.15,16.00,10.00,0.00
61089.00,1970-01-01 00:01:01.089,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.31,41.60,53.01,88.41,0.00,-0.14,16.00,10.00,0.00
62189.00,1970-01-01 00:01:02.189,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.51,41.53,53.12,88.25,0.00,-0.14,16.00,10.00,0.00
63289.00,1970-01-01 00:01:03.289,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.42,41.59,52.99,88.08,0.00,-0.21,16.00,10.00,0.00
64389.00,1970-01-01 00:01:04.389,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.51,41.53,53.08,87.96,0.00,-0.14,16.00,10.00,0.00
65489.00,1970-01-01 00:01:05.489,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.41,41.58,52.99,87.77,0.00,-0.23,16.00,10.00,0.00
66589.00,1970-01-01 00:01:06.589,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.53,41.46,53.01,87.75,0.00,-0.14,16.00,10.00,0.00
67689.00,1970-01-01 00:01:07.689,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.40,41.50,52.93,87.59,0.00,-0.23,16.00,10.00,0.00
68782.00,1970-01-01 00:01:08.782,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.55,41.47,52.95,87.36,0.00,-0.14,16.00,10.00,0.00
69882.00,1970-01-01 00:01:09.882,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.44,41.51,52.91,87.17,0.00,-0.14,16.00,10.00,0.00
70982.00,2018-07-03 22:16:38.982,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.35,41.45,52.86,87.02,0.00,-0.14,16.00,10.00,0.00
72082.00,2018-07-03 22:16:40.082,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.54,41.53,52.98,86.88,0.00,-0.18,16.00,10.00,0.00
73182.00,2018-07-03 22:16:41.182,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.28,41.51,52.79,86.76,0.00,-0.14,16.00,10.00,0.00
74282.00,2018-07-03 22:16:42.282,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.54,41.41,52.88,86.59,0.00,-0.19,16.00,10.00,0.00
75382.00,2018-07-03 22:16:43.382,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.50,41.47,52.77,86.49,0.00,-0.21,16.00,10.00,0.00
76482.00,2018-07-03 22:16:44.482,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.54,41.47,52.83,86.35,0.00,-0.14,16.00,10.00,0.00
77582.00,2018-07-03 22:16:45.582,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.53,41.52,52.77,86.12,0.00,-0.18,16.00,10.00,0.00
78682.00,2018-07-03 22:16:46.682,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.54,41.43,52.72,85.98,0.00,-0.14,16.00,10.00,0.00
79782.00,2018-07-03 22:16:47.782,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.54,41.48,52.76,85.86,0.00,-0.17,16.00,10.00,0.00
80882.00,2018-07-03 22:16:48.882,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.38,41.53,52.77,85.75,0.00,-0.14,16.00,10.00,0.00
81982.00,2018-07-03 22:16:49.982,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.45,41.47,52.74,85.56,0.00,-0.19,16.00,10.00,0.00
83082.00,2018-07-03 22:16:51.082,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.29,41.47,52.70,85.43,0.00,-0.14,16.00,10.00,0.00
84182.00,2018-07-03 22:16:52.182,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.56,41.37,52.66,85.31,0.00,-0.17,16.00,10.00,0.00
85282.00,2018-07-03 22:16:53.282,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.43,41.43,52.65,85.14,0.00,-0.22,16.00,10.00,0.00
86382.00,2018-07-03 22:16:54.382,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.52,41.47,52.59,85.01,0.00,-0.14,16.00,10.00,0.00
87482.00,2018-07-03 22:16:55.482,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.42,41.44,52.66,84.87,0.00,-0.23,16.00,10.00,0.00
88582.00,2018-07-03 22:16:56.582,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.52,41.43,52.55,84.73,0.00,-0.14,16.00,10.00,0.00
89682.00,2018-07-03 22:16:57.682,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.40,41.46,52.58,84.66,0.00,-0.23,16.00,10.00,0.00
90782.00,2018-07-03 22:16:58.782,0.00,0.06,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.54,41.45,52.54,84.39,0.00,-0.16,16.00,10.00,0.00
