OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
1087.00,1970-01-01 00:00:01.087,0.00,0.00,0.00,0.25,0.00,1.00,0.90,0.00,0.00,13.21,45.53,45.59,41.82,0.00,-0.19,17.00,10.00,0.00
2173.00,1970-01-01 00:00:02.173,0.00,0.00,0.00,0.25,0.00,1.00,0.90,0.00,0.00,13.20,45.71,45.60,41.80,0.00,-0.19,17.00,10.00,0.00
3260.00,1970-01-01 00:00:03.260,0.00,0.00,0.00,0.25,0.00,1.00,0.90,0.00,0.00,13.17,45.65,45.72,41.83,0.00,-0.19,17.00,10.00,0.00
4260.00,1970-01-01 00:00:04.260,0.00,0.00,0.00,0.31,0.00,1.00,0.90,0.00,0.00,13.12,45.70,45.73,42.00,0.00,-0.19,17.00,10.00,0.00
5260.00,1970-01-01 00:00:05.260,0.00,0.00,0.00,0.26,0.00,1.00,0.90,0.00,0.00,13.13,45.69,45.67,41.98,0.00,-0.19,17.00,10.00,0.00
6260.00,1970-01-01 00:00:06.260,0.00,0.00,0.00,0.25,0.00,1.00,0.90,0.00,0.00,13.08,45.70,45.74,41.91,0.00,-0.20,17.00,10.00,0.00
7260.00,1970-01-01 00:00:07.260,0.00,0.00,0.00,0.29,0.00,1.00,0.90,0.00,0.00,13.11,45.80,45.80,41.96,0.00,-0.20,17.00,10.00,0.00
8260.00,1970-01-01 00:00:08.260,0.00,0.00,0.00,0.29,0.00,1.00,0.90,0.00,0.00,13.09,45.82,45.74,41.87,0.00,-0.20,17.00,10.00,0.00
9260.00,1970-01-01 00:00:09.260,0.00,0.00,0.00,0.26,0.00,1.00,0.90,0.00,0.00,13.05,45.80,45.74,41.96,0.00,-0.20,17.00,10.00,0.00
10260.00,1970-01-01 00:00:10.260,0.00,0.00,0.00,0.29,0.00,1.00,0.90,0.00,0.00,13.06,45.84,45.80,41.94,0.00,-0.20,17.00,10.00,0.00
11260.00,1970-01-01 00:00:11.260,0.83,0.06,0.00,0.29,0.00,1.00,0.90,999.00,0.00,13.07,45.82,45.85,41.96,0.00,-0.20,17.00,10.00,0.00
12260.00,1970-01-01 00:00:12.260,-0.00,0.12,0.00,0.26,0.00,1.00,0.90,999.00,0.00,13.08,45.90,45.74,41.98,0.00,-0.20,17.00,10.00,0.00
13260.00,1970-01-01 00:00:13.260,0.78,0.23,0.00,0.28,0.00,1.00,0.90,999.00,0.00,13.06,45.92,45.88,41.91,0.00,-0.20,17.00,10.00,0.00
