OnTime (ms), Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
1093, 1970-01-01 00:00:01,0,0,0,0.25,0,1,0.62,0,0,12.48,81.48,60.88,129.3,-9.75,-0.16,16,10,0
1335, 1970-01-01 00:00:01,0,0,0,0.25,0,1,0.62,0,0,12.48,81.48,60.88,129.3,-9.75,-0.17,20,10,0
1435, 1970-01-01 00:00:01,0,0,0,0.25,1,1,0.62,0,0,9.65,81.44,60.97,128.98,-9.75,-0.15,22,10,0
1535, 1970-01-01 00:00:01,0,0,0,0.25,1,1,0.62,0,0,11.25,81.44,60.97,128.98,-9.75,-0.2,22,10,0
1635, 1970-01-01 00:00:01,0,0,76.21,0.25,1,1,0.62,0,0,11.08,81.45,60.92,128.93,-9.75,-0.19,22,4340,-21
1735, 1970-01-01 00:00:01,0,0,907.19,0.25,1,1,0.62,0,0.01,11.76,81.45,60.92,128.93,-9.75,-0.21,22,4340,-36
1835, 1970-01-01 00:00:01,0,0,1308.76,0.25,0,1,0.62,0,0.01,12.21,81.45,60.92,128.93,-9.75,-0.19,20,4340,-44
1935, 1970-01-01 00:00:01,0,0,1801.13,0.25,0,1,0.62,0,0.02,12.28,81.45,60.9,128.39,-9.75,-0.19,20,3656.6,-59
2035, 1970-01-01 00:00:02,0,0,1792.92,0.25,0,1,0.62,0,0.02,12.24,81.45,60.9,128.39,-9.75,-0.16,20,3666.78,-58
2186, 1970-01-01 00:00:02,1.03,0.06,1752.93,0.25,0,1,0.62,1.4,0.03,12.24,81.55,61.05,131.88,-9.75,-0.16,20,3716.37,-56
2286, 1970-01-01 00:00:02,1.03,0.06,1738.2,0.25,0,1,0.62,1.13,0.04,12.23,81.55,61.05,131.88,-9.75,-0.25,20,3749.27,-56
2386, 1970-01-01 00:00:02,1.03,0.06,1727.66,0.25,0,1,0.62,1.03,0.04,12.33,81.55,61.05,131.88,-9.75,-0.15,20,3775.4,-56
2486, 1970-01-01 00:00:02,0.97,0.12,1728.23,0.25,0,1,0.62,1.75,0.05,12.35,81.44,60.95,143.31,-9.75,-0.17,20,3773.98,-56
2586, 1970-01-01 00:00:02,1.25,0.18,1758.65,0.25,0,1,0.62,2.44,0.05,12.35,81.44,60.95,143.31,-9.75,-0.13,20,3709.27,-56
2686, 1970-01-01 00:00:02,1.39,0.23,1756.83,0.25,0,1,0.62,3.05,0.06,12.35,81.44,60.95,143.31,-9.75,-0.18,20,3711.54,-56
2786, 1970-01-01 00:00:02,1.39,0.23,1734.33,0.26,0,1,0.62,2.7,0.06,12.36,81.39,60.95,152.06,-9.75,-0.17,20,3758.86,-56
2886, 1970-01-01 00:00:02,1.68,0.29,1720.36,0.25,0,1,0.62,3.18,0.07,12.37,81.39,60.95,152.06,-9.75,-0.16,20,3793.52,-55
2986, 1970-01-01 00:00:02,2.04,0.41,1729.23,0.25,0,1,0.62,4.02,0.08,12.27,81.39,60.92,160.37,-9.75,-0.16,20,3771.51,-56
3086, 1970-01-01 00:00:03,2.12,0.47,1740.85,0.26,0,1,0.62,4.37,0.08,12.37,81.39,60.92,160.37,-9.75,-0.19,20,3742.7,-56
3304, 1970-01-01 00:00:03,2.64,0.64,1712.72,0.26,0,1,0.62,5.27,0.09,12.36,81.44,61.02,167.73,-9.75,-0.18,20,3812.45,-55
3404, 1970-01-01 00:00:03,2.7,0.7,1728.76,0.26,0,1,0.62,5.31,0.1,12.26,81.44,61.02,167.73,-9.74,-0.17,20,3772.68,-56
3504, 1970-01-01 00:00:03,2.94,0.82,1728.28,0.26,0,1,0.62,5.97,0.1,12.36,81.44,61.02,167.73,-9.75,-0.16,20,3773.85,-56
3604, 1970-01-01 00:00:03,3.14,0.88,1724.46,0.25,0,1,0.62,5.96,0.11,12.31,81.44,60.97,176.44,-9.75,-0.18,20,3783.34,-56
3704, 1970-01-01 00:00:03,3.36,0.99,1718.73,0.25,0,1,0.62,6.53,0.11,12.32,81.44,60.97,176.44,-9.75,-0.14,20,3797.55,-55
3804, 1970-01-01 00:00:03,3.55,1.11,1697.5,0.25,0,1,0.62,6.84,0.12,12.33,81.44,60.97,176.44,-9.75,-0.17,20,3850.19,-55
3904, 1970-01-01 00:00:03,3.77,1.23,1696.83,0.25,0,1,0.62,7.33,0.12,12.34,81.41,60.95,182.55,-9.75,-0.18,20,3851.86,-55
4004, 1970-01-01 00:00:04,3.93,1.35,1702.13,0.25,0,1,0.62,7.79,0.13,12.32,81.41,60.95,182.55,-9.75,-0.17,20,3838.72,-55
4104, 1970-01-01 00:00:04,4.12,1.46,1719.37,0.25,0,1,0.62,8,0.14,12.3,81.43,61.02,187.88,-9.75,-0.19,20,3795.96,-55
4204, 1970-01-01 00:00:04,4.31,1.58,1712.94,0.25,0,1,0.62,8.4,0.14,12.34,81.43,61.02,187.88,-9.75,-0.21,20,3811.91,-55
4304, 1970-01-01 00:00:04,4.48,1.7,1718.26,0.25,0,1,0.62,8.56,0.15,12.33,81.43,61.02,187.88,-9.75,-0.2,20,3798.71,-55
4422, 1970-01-01 00:00:04,4.68,1.87,1701.16,0.25,0,1,0.62,9.21,0.15,12.33,81.45,61.08,192.54,-9.75,-0.2,20,3841.12,-55
