OnTime_ms_,Time_UTC_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
4000,1970-01-01 00:00:04.000,1.72,1.17,0,0.27,0,1,1,999,0,12.83,38.7,43.93,73.53,0,-0.18,17,10,0
4947,1970-01-01 00:00:04.947,1.26,1.4,0,0.27,0,0,1,999,0,12.82,38.72,43.93,73.06,0,-0.17,5,10,0
5247,1970-01-01 00:00:05.247,1.73,1.64,1757.98,0.27,0,0,1,92.04,0.02,12.18,38.76,43.98,72.85,0,-0.19,5,8000,-56
5347,1970-01-01 00:00:05.347,1.73,1.64,2293.58,0.26,0,0,1,55.23,0.04,12.69,38.76,43.98,72.85,0,-0.17,5,8000,-76
5545,1970-01-01 00:00:05.545,1.59,1.76,2345.86,0.27,0,0,1,32.87,0.06,12.69,38.71,43.98,78.63,0,-0.18,5,8000,-77
5845,1970-01-01 00:00:05.845,2.1,1.87,2416.53,0.27,0,0,1,21.04,0.11,12.66,38.8,43.98,91.45,0,-0.18,5,8000,-78
5945,1970-01-01 00:00:05.945,1.89,1.99,2254.41,0.27,0,0,1,19.72,0.12,12.73,38.8,43.98,91.45,0,-0.18,5,8000,-75
6045,1970-01-01 00:00:06.045,1.89,1.99,2511.88,0.26,0,0,1,17.65,0.13,12.72,38.8,43.98,91.45,0,-0.18,5,8000,-80
6245,1970-01-01 00:00:06.245,2.35,2.11,2245.05,0.26,0,0,1,15.44,0.16,12.73,38.76,43.98,95.26,0,-0.18,5,8000,-75
6345,1970-01-01 00:00:06.345,2.22,2.22,2662.64,0.29,0,0,1,14.99,0.18,12.73,38.74,43.98,97.39,0,-0.18,5,8000,-82
6666,1970-01-01 00:00:06.666,-4.96,1.11,2050.2,0.27,0,0,1,6.04,0.22,12.68,38.71,43.98,99.98,0,-0.18,5,8000,-71
6766,1970-01-01 00:00:06.766,-1.89,1.17,2470.1,0.26,0,0,1,5.98,0.23,12.73,38.71,43.98,99.98,0,-0.16,5,8000,-79
6966,1970-01-01 00:00:06.966,0.8,1.29,2463.86,0.26,0,0,1,5.86,0.26,12.74,38.77,43.98,99.79,0,-0.2,5,8000,-79
7066,1970-01-01 00:00:07.066,0.8,1.29,2202.48,0.26,0,0,1,5.56,0.27,12.73,38.77,43.98,99.79,0,-0.17,5,8000,-74
7266,1970-01-01 00:00:07.266,1.54,1.4,2591.57,0.26,0,0,1,5.5,0.3,12.74,38.74,43.98,102.68,0,-0.16,5,8000,-81
7366,1970-01-01 00:00:07.366,1.52,1.46,2441.46,0.27,0,0,1,5.48,0.32,12.76,38.74,43.98,102.68,0,-0.16,5,8000,-78
7466,1970-01-01 00:00:07.466,1.79,1.52,2361.79,0.26,0,0,1,5.46,0.33,12.72,38.83,43.98,103.43,0,-0.18,5,8000,-77
8566,1970-01-01 00:00:08.566,2.09,2.11,1435.36,0.26,0,0,1,6.02,0.42,12.76,38.73,43.98,99.12,0,-0.17,1,6755.17,-48
9566,1970-01-01 00:00:09.566,1.96,2.63,0,0.26,0,0,1,7.52,0.42,12.77,38.76,43.98,94.36,0,-0.16,1,6755.17,-48
10566,1970-01-01 00:00:10.566,2.49,3.28,0,0.26,0,0,1,9.36,0.42,12.76,38.73,43.98,91.57,0,-0.16,1,6755.17,-48
11566,1970-01-01 00:00:11.566,2.68,4.04,0,0.26,0,0,1,11.54,0.42,12.77,38.8,43.98,89.91,0,-0.16,1,6755.17,-48
14566,1970-01-01 00:00:14.566,3.35,6.67,0,0.26,0,0,1,19.06,0.42,12.8,38.77,43.98,85.05,0,-0.15,1,6755.17,-48
16683,1970-01-01 00:00:16.683,3.66,8.66,0,0.26,0,0,1,24.75,0.42,12.79,38.77,43.91,82.44,0,-0.15,1,6755.17,-48
