OnTime_ms_,Time_UTC_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
5330,1970-01-01 00:00:05,0,0,0,0.32,0,1,0.95,0,0,13.07,27.06,26.89,26.14,0,0.08,16,10,0
6330,1970-01-01 00:00:06,0,0,0,0.31,0,1,0.95,0,0,13.08,26.98,27,26.23,0,0.08,16,10,0
7330,1970-01-01 00:00:07,0,0,0,0.31,0,1,0.95,0,0,13.05,27.03,27.04,26.21,0,0.08,16,10,0
8331,1970-01-01 00:00:08,0,0,0,0.27,0,1,0.95,0,0,13.03,27.08,27.03,26.19,0,0.08,16,10,0
9331,1970-01-01 00:00:09,0,0,0,0.3,0,1,0.95,0,0,13.06,27.12,27.05,26.23,0,0.08,16,10,0
10331,1970-01-01 00:00:10,0,0,0,0.3,0,1,0.95,0,0,13.03,27.16,26.98,26.18,0,0.08,16,10,0
11331,1970-01-01 00:00:11,0,0,0,0.3,0,1,0.95,0,0,13.03,27.09,27.03,26.13,0,0.08,16,10,0
12331,1970-01-01 00:00:12,0,0,0,0.3,0,1,0.95,0,0,13.02,27.13,27.08,26.32,0,0.08,16,10,0
13331,1970-01-01 00:00:13,0,0,0,0.29,0,1,0.95,0,0,13.01,27.2,27.06,26.25,0,0.08,16,10,0
14331,1970-01-01 00:00:14,0,0,0,0.29,0,1,0.95,0,0,13,27.1,27.03,26.23,0,0.08,16,10,0
15331,1970-01-01 00:00:15,0,0,0,0.29,0,1,0.95,0,0,13,27.16,27.03,26.25,0,0.08,16,10,0
16331,1970-01-01 00:00:16,0,0,0,0.29,0,1,0.95,0,0,12.99,27.13,27.06,26.27,0,0.08,16,10,0
17331,1970-01-01 00:00:17,0,0,0,0.29,0,1,0.95,0,0,13,27.1,27.15,26.27,0,0.08,16,10,0
18413,1970-01-01 00:00:18,0,0,0,0.29,0,1,0.95,0,0,12.99,27.16,27.08,26.34,0,0.08,16,10,0
19494,1970-01-01 00:00:19,0,0,0,0.26,0,1,0.95,0,0,13.06,27.14,27.12,26.25,0,0.08,16,10,0
22494,1970-01-01 00:00:22,0,0,0,0.3,0,1,0.95,0,0,13.03,27.09,27.05,26.34,0,0.08,16,10,0
24494,1970-01-01 00:00:24,0,0,0,0.3,0,1,0.95,0,0,13.01,27.16,27.14,26.25,0,0.08,16,10,0
25494,1970-01-01 00:00:25,0,0,0,0.29,0,1,0.95,0,0,13.02,27.14,27.05,26.3,0,0.08,16,10,0
