OnTime_ms_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
1093,0,0,0,0.52,0,1,1.3,0,0,12.48,27.62,26.55,31.8,-9.75,0.94,0,10,0
2186,0,0,0,0.55,0,1,1.3,0,0,12.48,27.66,26.67,31.82,-9.75,0.93,0,10,0
3279,0,0,0,0.56,0,1,1.3,0,0,12.52,27.62,26.76,31.8,-9.75,0.95,0,10,0
4279,0,0,0,0.55,0,1,1.3,0,0,12.51,27.62,26.76,31.76,-9.75,0.94,0,10,0
5280,0,0,0,0.53,0,1,1.3,0,0,12.5,27.73,26.78,31.78,-9.75,0.93,0,10,0
6280,0,0,0,0.56,0,1,1.3,0,0,12.47,27.7,26.72,31.78,-9.75,0.94,0,10,0
7280,0,0,0,0.56,0,1,1.3,0,0,12.5,27.65,26.7,31.75,-9.75,0.94,0,10,0
8280,0,0,0,0.52,0,1,1.3,0,0,12.46,27.67,26.73,31.77,-9.75,0.93,0,10,0
9280,0,0,0,0.53,0,1,1.3,0,0,12.47,27.65,26.76,31.73,-9.75,0.94,0,10,0
10281,0,0,0,0.56,0,1,1.3,0,0,12.49,27.65,26.68,31.6,-9.75,0.94,0,10,0
11281,0,0,0,0.53,0,1,1.3,0,0,12.49,27.55,26.66,31.67,-9.75,0.94,0,10,0
12281,0,0,0,0.55,0,1,1.3,0,0,12.48,27.65,26.81,31.66,-9.75,0.93,0,10,0
13281,0,0,0,0.56,0,1,1.3,0,0,12.51,27.63,26.7,31.65,-9.75,0.91,0,10,0
14281,0,0,0,0.53,0,1,1.3,0,0,12.46,27.65,26.7,31.6,-9.75,0.93,0,10,0
15302,0,0,0,0.53,0,1,1.3,0,0,12.48,27.59,26.8,31.65,-9.75,0.94,0,10,0
16389,0,0,0,0.54,0,1,1.3,0,0,12.48,27.55,26.65,31.59,-9.75,0.93,0,10,0
17482,0,0,0,0.56,0,1,1.3,0,0,12.5,27.55,26.68,31.55,-9.75,0.94,0,10,0
18575,0,0,0,0.53,0,1,1.3,0,0,12.49,27.64,26.66,31.58,-9.74,0.94,0,10,0
19668,0,0,0,0.54,0,1,1.3,0,0,12.49,27.68,26.7,31.59,-9.74,0.94,0,10,0
20668,0,0,0,0.56,0,1,1.3,0,0,12.48,27.6,26.68,31.57,-9.75,0.94,0,10,0
21669,0,0,0,0.53,0,1,1.3,0,0,12.49,27.67,26.7,31.49,-9.74,0.94,0,10,0
22669,0,0,0,0.54,0,1,1.3,0,0,12.5,27.65,26.77,31.55,-9.75,0.94,0,10,0
23669,0,0,0,0.53,0,1,1.3,0,0,12.49,27.59,26.72,31.49,-9.75,0.93,0,10,0
24669,0,0,0,0.55,0,1,1.3,0,0,12.51,27.54,26.78,31.49,-9.75,0.94,0,10,0
25669,0,0,0,0.56,0,1,1.3,0,0,12.51,27.62,26.7,31.36,-9.75,0.96,0,10,0
26669,0,0,0,0.52,0,1,1.3,0,0,12.48,27.68,26.7,31.4,-9.75,0.94,0,10,0
27669,0,0,0,0.52,0,1,1.3,0,0,12.48,27.63,26.72,31.41,-9.75,0.94,0,10,0
28669,0,0,0,0.53,0,1,1.3,0,0,12.5,27.64,26.73,31.44,-9.75,0.94,0,10,0
29669,0,0,0,0.54,0,1,1.3,0,0,12.48,27.59,26.81,31.33,-9.75,0.94,0,10,0
30669,0,0,0,0.55,0,1,1.3,0,0,12.5,27.64,26.73,31.3,-9.75,0.94,0,10,0
31691,0,0,0,0.57,0,1,1.3,0,0,12.49,27.64,26.77,31.28,-9.75,0.92,0,10,0
32784,0,0,0,0.57,0,1,1.3,0,0,12.51,27.59,26.81,31.29,-9.74,0.94,0,10,0
33877,0,0,0,0.57,0,1,1.3,0,0,12.51,27.59,26.83,31.31,-9.75,0.94,0,10,0
34970,0,0,0,0.56,0,1,1.3,0,0,12.49,27.65,26.72,31.33,-9.75,0.94,0,10,0
35970,0,0,0,0.54,0,1,1.3,0,0,12.5,27.62,26.79,31.33,-9.75,0.94,0,10,0
36970,0,0,0,0.57,0,1,1.3,0,0,12.51,27.59,26.8,31.33,-9.75,0.9,0,10,0
37970,0,0,0,0.56,0,1,1.3,0,0,12.48,27.63,26.74,31.24,-9.75,0.94,0,10,0
38970,0,0,0,0.54,0,1,1.3,0,0,12.49,27.56,26.87,31.24,-9.75,0.94,0,10,0
39970,0,0,0,0.54,0,1,1.3,0,0,12.49,27.63,26.78,31.21,-9.75,0.94,0,10,0
40971,0,0,0,0.56,0,1,1.3,0,0,12.48,27.65,26.81,31.26,-9.74,0.94,0,10,0
41971,0,0,0,0.53,0,1,1.3,0,0,12.49,27.62,26.85,31.11,-9.75,0.9,0,10,0
42971,0,0,0,0.54,0,1,1.3,0,0,12.46,27.63,26.83,31.17,-9.75,0.93,0,10,0
43971,0,0,0,0.57,0,1,1.3,0,0,12.51,27.62,26.8,31.21,-9.75,0.94,0,10,0
44971,0,0,0,0.57,0,1,1.3,0,0,12.51,27.59,26.84,31.15,-9.75,0.94,0,10,0
45971,0,0,0,0.53,0,1,1.3,0,0,12.49,27.62,26.9,31.15,-9.75,0.94,0,10,0
46987,0,0,0,0.55,0,1,1.3,0,0,12.51,27.54,26.81,31.17,-9.74,0.94,0,10,0
47987,0,0,0,0.56,0,1,1.3,0,0,12.48,27.54,26.85,31.1,-9.75,0.93,0,10,0
48987,0,0,0,0.53,0,1,1.3,0,0,12.5,27.54,26.8,31.16,-9.75,0.93,0,10,0
49987,0,0,0,0.54,0,1,1.3,0,0,12.5,27.54,26.87,31.09,-9.75,0.93,0,10,0
50987,0,0,0,0.57,0,1,1.3,0,0,12.5,27.62,26.81,31.09,-9.75,0.94,0,10,0
51987,0,0,0,0.56,0,1,1.3,0,0,12.5,27.54,26.77,31.05,-9.75,0.93,0,10,0
52987,0,0,0,0.53,0,1,1.3,0,0,12.47,27.55,26.95,31.02,-9.75,0.92,0,10,0
53987,0,0,0,0.55,0,1,1.3,0,0,12.47,27.48,26.81,31.06,-9.75,0.94,0,10,0
54987,0,0,0,0.54,0,1,1.3,0,0,12.48,27.55,26.87,31.06,-9.74,0.92,0,10,0
55987,0,0,0,0.53,0,1,1.3,0,0,12.49,27.48,26.81,31.02,-9.75,0.93,0,10,0
56987,0,0,0,0.57,0,1,1.3,0,0,12.51,27.56,26.76,31.04,-9.75,0.93,0,10,0
57988,0,0.06,0,0.56,0,1,1.3,999,0,12.49,27.56,26.83,30.99,-9.75,0.93,0,10,0
59044,0,0.06,0,0.57,0,1,1.3,999,0,12.49,27.54,26.79,30.97,-9.75,0.93,0,10,0
60162,0,0.06,0,0.57,0,1,1.3,999,0,12.5,27.5,26.74,31.02,-9.74,0.93,0,10,0
61280,0,0.06,0,0.54,0,1,1.3,999,0,12.47,27.49,26.68,30.95,-9.75,0.93,0,10,0
62398,0,0.06,0,0.53,0,1,1.3,999,0,12.49,27.47,26.7,30.84,-9.75,0.93,0,10,0
63398,0,0.06,0,0.53,0,1,1.3,999,0,12.49,27.52,26.73,30.88,-9.75,0.93,0,10,0
64398,0,0.06,0,0.53,0,1,1.3,999,0,12.49,27.45,26.7,30.86,-9.75,1.15,0,10,0
65398,0,0.06,0,0.57,0,1,1.3,999,0,12.49,27.47,26.73,30.8,-9.75,1.15,0,10,0
66398,0,0.06,0,0.57,0,1,1.3,999,0,12.52,27.45,26.7,30.84,-9.75,1.12,0,10,0
67399,0,0.06,0,0.56,0,1,1.3,999,0,12.49,27.54,26.73,30.77,-9.75,1.15,0,10,0
68399,0,0.06,0,0.54,0,1,1.3,999,0,12.49,27.49,26.79,30.69,-9.75,1.14,0,10,0
69399,0,0.06,0,0.54,0,1,1.3,999,0,12.47,27.38,26.72,30.66,-9.74,1.14,0,10,0
