OnTime (ms), Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
1000.00, 1970-01-01 00:00:01, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.56, 0.00, 0.00, 12.76, 25.96, 26.29, 24.58, -9.75, -0.35, 16.00, 10.00, 0.00
2000.00, 1970-01-01 00:00:02, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.56, 0.00, 0.00, 12.68, 26.12, 26.39, 24.58, -9.75, -0.39, 16.00, 10.00, 0.00
3000.00, 1970-01-01 00:00:03, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.56, 0.00, 0.00, 12.49, 26.07, 26.44, 24.66, -9.75, -0.24, 16.00, 10.00, 0.00
4001.00, 1970-01-01 00:00:04, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.56, 0.00, 0.00, 12.66, 26.14, 26.38, 24.70, -9.75, -0.21, 16.00, 10.00, 0.00
5001.00, 1970-01-01 00:00:05, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.56, 0.00, 0.00, 12.34, 26.16, 26.46, 24.64, -9.75, -0.26, 16.00, 10.00, 0.00
5787.00, 1970-01-01 00:00:05, 0.00, 0.00, 0.00, 0.25, 0.00, 0.00, 1.56, 0.00, 0.00, 12.48, 26.16, 26.35, 24.66, -9.75, -0.23, 4.00, 10.00, 0.00
5887.00, 1970-01-01 00:00:05, 0.00, 0.00, 0.00, 0.25, 1.00, 0.00, 1.56, 0.00, 0.00, 10.31, 26.16, 26.35, 24.66, -9.75, -0.20, 6.00, 10.00, 0.00
5987.00, 1970-01-01 00:00:05, 0.00, 0.00, 0.00, 0.25, 1.00, 0.00, 1.56, 0.00, 0.00, 11.77, 26.10, 26.34, 24.66, -9.75, -0.21, 6.00, 10.00, 0.00
6087.00, 1970-01-01 00:00:06, 0.00, 0.00, 19.96, 0.25, 1.00, 0.00, 1.56, 0.00, 0.01, 11.65, 26.10, 26.34, 24.66, -9.75, -0.21, 6.00, 12472.00, -20.00
6187.00, 1970-01-01 00:00:06, 0.00, 0.00, 933.71, 0.25, 1.00, 0.00, 1.56, 0.00, 0.02, 11.46, 26.10, 26.34, 24.66, -9.75, -0.23, 6.00, 12472.00, -36.00
