OnTime (ms), Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.74, 54.21, 41.38, 37.59, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, -0.00, 123940.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 54.48, 41.28, 37.54, 12.66, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 122842.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 54.70, 41.23, 37.54, 12.64, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 121842.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 54.97, 41.14, 37.58, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, -0.00, 120842.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 55.22, 41.13, 37.59, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, -0.00, 119841.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.71, -9.75, 55.49, 41.16, 37.52, 12.65, 3.88, 0.07, 0.92, 1.00, 0.00, 1.47, 0.00, 0.35, 0.64, 118841.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.71, -9.75, 55.74, 40.98, 37.59, 12.63, 3.88, 0.04, 0.92, 1.00, 0.00, 1.47, 0.00, 0.23, 0.00, 117841.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 56.05, 40.98, 37.55, 12.63, 3.88, 0.03, 0.92, 1.00, 0.00, 1.47, 0.00, 0.18, -0.00, 116841.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.75, 56.32, 41.00, 37.63, 12.64, 3.88, 0.02, 0.92, 1.00, 0.00, 1.47, 0.00, 0.12, 0.00, 115840.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.75, 56.72, 40.93, 37.61, 12.64, 3.88, 0.02, 0.92, 1.00, 0.00, 1.47, 0.00, 0.12, 0.00, 114840.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 52.73, 41.80, 37.56, 12.64, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 133052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 52.76, 41.70, 37.54, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 132052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.75, 52.88, 41.64, 37.61, 12.67, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 131052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.75, 53.08, 41.58, 37.60, 12.64, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 130052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 53.23, 41.60, 37.63, 12.64, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 129052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 53.48, 41.47, 37.61, 12.63, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 128052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 53.62, 41.44, 37.63, 12.68, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 127052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.75, 53.80, 41.41, 37.56, 12.67, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 126052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 53.91, 41.41, 37.67, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 125052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 51.32, 42.23, 37.58, 12.68, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 143784.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 51.46, 42.18, 37.63, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 142684.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.74, 51.58, 42.18, 37.60, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 141584.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.75, 51.68, 42.07, 37.65, 12.66, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 140478.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 51.73, 42.11, 37.58, 12.66, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 139378.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 51.91, 42.03, 37.65, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 138278.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 52.05, 41.94, 37.56, 12.66, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 137178.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 52.24, 41.98, 37.61, 12.66, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 136070.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 52.40, 41.82, 37.72, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 135052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 52.49, 41.85, 37.58, 12.68, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 134052.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 50.45, 42.80, 37.56, 12.68, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 153786.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.75, 50.60, 42.66, 37.66, 12.66, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 152786.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.75, 50.65, 42.73, 37.66, 12.67, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 151785.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 50.65, 42.66, 37.63, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 150785.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.75, 50.77, 42.52, 37.61, 12.63, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 149785.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.69, -9.75, 50.90, 42.53, 37.59, 12.65, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 148784.00, ovf
6165.46, 2018-06-28 22:39:02, 16.00, 0.70, -9.75, 50.87, 42.46, 37.56, 12.67, 3.88, 0.08, 0.92, 1.00, 0.00, 1.47, 0.00, 0.41, 0.00, 147784.00, ovf
