
##### LOG START #####
OnTime (ms), Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
6286.00, 2018-06-28 23:19:34, 16.00, 0.23, -9.74, 99.58, 44.62, 63.64, 12.33, 14.25, 181.48, 0.95, 1.00, 0.00, 1.47, 0.00, 3471.72, 0.00, 978977.00, ovf
6286.00, 2018-06-28 23:19:34, 16.00, 0.24, -9.74, 99.69, 44.58, 63.70, 12.32, 14.25, 181.48, 0.95, 1.00, 0.00, 1.47, 0.00, 3471.72, 0.00, 977977.00, ovf
6286.00, 2018-06-28 23:19:34, 16.00, 0.25, -9.74, 99.88, 44.65, 63.72, 12.30, 14.25, 181.48, 0.95, 1.00, 0.00, 1.47, 0.00, 3471.72, 0.00, 976977.00, ovf
6286.00, 2018-06-28 23:19:34, 16.00, 0.24, -9.74, 99.99, 44.65, 63.83, 12.33, 14.25, 181.48, 0.95, 1.00, 0.00, 1.47, 0.00, 3471.72, 0.00, 975871.00, ovf
6286.00, 2018-06-28 23:19:34, 16.00, 0.26, -9.74, 100.24, 44.65, 63.90, 12.33, 14.25, 181.48, 0.95, 1.00, 0.00, 1.47, 0.00, 3471.72, 0.00, 974802.00, ovf
6286.00, 2018-06-28 23:19:34, 16.00, 0.26, -9.74, 100.34, 44.65, 63.86, 12.34, 14.25, 181.48, 0.95, 1.00, 0.00, 1.47, 0.00, 3471.72, 0.00, 973802.00, ovf
6286.00, 2018-06-28 23:19:34, 16.00, 0.26, -9.74, 100.50, 44.60, 63.90, 12.34, 14.25, 181.48, 0.95, 1.00, 0.00, 1.47, 0.00, 3471.72, 0.00, 972802.00, ovf
6286.00, 2018-06-28 23:19:34, 16.00, 0.25, -9.74, 100.67, 44.58, 63.93, 12.31, 14.25, 181.48, 0.95, 1.00, 0.00, 1.47, 0.00, 3471.72, 0.00, 971802.00, ovf
6286.00, 2018-06-28 23:19:34, 16.00, 0.25, -9.74, 100.84, 44.58, 63.99, 12.34, 14.25, 181.48, 0.95, 1.00, 0.00, 1.47, 0.00, 3471.72, 0.00, 970802.00, ovf
6286.00, 2018-06-28 23:19:34, 16.00, 0.25, -9.74, 100.98, 44.59, 63.99, 12.33, 14.25, 181.48, 0.95, 1.00, 0.00, 1.47, 0.00, 3471.72, 0.00, 969801.00, ovf
5029.70, 2018-06-28 23:19:33, 20.00, -0.30, -9.74, 212.05, 44.58, 63.32, 12.19, 14.65, 176.88, 0.95, 1.00, 0.00, 1.41, 2501.20, 3479.44, 11.12, 990625.00, ovf
5029.70, 2018-06-28 23:19:33, 20.00, -0.23, -9.74, 205.96, 44.62, 63.20, 12.26, 14.65, 176.98, 0.95, 1.00, 0.00, 1.46, 2418.33, 3479.09, 10.85, 990525.00, ovf
5029.70, 2018-06-28 23:19:33, 20.00, -0.26, -9.74, 205.96, 44.62, 63.20, 12.23, 14.64, 177.08, 0.95, 1.00, 0.00, 1.28, 2405.97, 3478.74, 10.60, 990425.00, ovf
5029.70, 2018-06-28 23:19:33, 20.00, -0.27, -9.74, 205.96, 44.62, 63.20, 12.20, 14.63, 177.18, 0.95, 1.00, 0.00, 1.22, 2309.11, 3478.51, 10.37, 990325.00, ovf
5076.72, 2018-06-28 23:19:33, 20.00, -0.25, -9.74, 201.16, 44.52, 63.34, 12.23, 14.60, 177.43, 0.95, 1.00, 0.00, 1.19, 2188.06, 3477.81, 9.70, 990106.00, ovf
5068.81, 2018-06-28 23:19:33, 20.00, -0.27, -9.74, 201.16, 44.52, 63.34, 12.19, 14.60, 177.48, 0.95, 1.00, 0.00, 1.20, 2198.49, 3477.57, 9.52, 990006.00, ovf
5109.62, 2018-06-28 23:19:33, 20.00, -0.32, -9.74, 196.27, 44.50, 63.27, 12.30, 14.59, 177.58, 0.95, 1.00, 0.00, 1.18, 2144.73, 3477.34, 9.38, 989906.00, ovf
5127.35, 2018-06-28 23:19:33, 20.00, -0.28, -9.74, 196.27, 44.50, 63.27, 12.18, 14.58, 177.68, 0.95, 1.00, 0.00, 1.21, 2121.38, 3476.99, 9.04, 989806.00, ovf
5190.46, 2018-06-28 23:19:33, 20.00, -0.29, -9.74, 191.44, 44.52, 63.31, 12.23, 14.57, 177.79, 0.95, 1.00, 0.00, 1.11, 2038.25, 3476.75, 8.79, 989706.00, ovf
5198.20, 2018-06-28 23:19:33, 20.00, -0.24, -9.74, 191.44, 44.52, 63.31, 12.18, 14.56, 177.89, 0.95, 1.00, 0.00, 1.07, 2028.05, 3476.52, 8.51, 989606.00, ovf
5243.14, 2018-06-28 23:19:33, 20.00, -0.27, -9.74, 191.44, 44.52, 63.31, 12.29, 14.55, 177.94, 0.95, 1.00, 0.00, 1.02, 1987.54, 3476.28, 8.29, 989506.00, ovf
5357.35, 2018-06-28 23:19:33, 20.00, -0.27, -9.74, 185.57, 44.50, 63.36, 12.31, 14.54, 178.05, 0.95, 1.00, 0.00, 1.03, 1927.37, 3476.05, 8.03, 989406.00, ovf
5454.36, 2018-06-28 23:19:33, 20.00, -0.30, -9.74, 185.57, 44.50, 63.36, 12.16, 14.53, 178.16, 0.95, 1.00, 0.00, 0.95, 1876.26, 3475.82, 7.81, 989306.00, ovf
5476.49, 2018-06-28 23:19:33, 20.00, -0.26, -9.74, 185.57, 44.50, 63.36, 12.29, 14.53, 178.21, 0.95, 1.00, 0.00, 0.92, 1864.60, 3475.58, 7.63, 989206.00, ovf
5622.98, 2018-06-28 23:19:33, 20.00, -0.26, -9.74, 181.32, 44.47, 63.34, 12.27, 14.51, 178.43, 0.95, 1.00, 0.00, 0.89, 1787.42, 3475.00, 6.95, 988981.00, ovf
5633.21, 2018-06-28 23:19:33, 20.00, -0.25, -9.74, 181.32, 44.47, 63.34, 12.22, 14.50, 178.49, 0.95, 1.00, 0.00, 0.96, 1782.03, 3474.88, 6.81, 988881.00, ovf
5648.61, 2018-06-28 23:19:33, 20.00, -0.24, -9.74, 176.65, 44.44, 63.29, 12.29, 14.49, 178.61, 0.95, 1.00, 0.00, 1.00, 1773.91, 3474.65, 6.47, 988781.00, ovf
5638.53, 2018-06-28 23:19:33, 20.00, -0.24, -9.74, 176.65, 44.44, 63.29, 12.22, 14.49, 178.66, 0.95, 1.00, 0.00, 1.11, 1779.23, 3474.41, 6.18, 988681.00, ovf
5684.12, 2018-06-28 23:19:33, 20.00, -0.24, -9.74, 171.30, 44.55, 63.27, 12.21, 14.48, 178.72, 0.95, 1.00, 0.00, 1.05, 1755.21, 3474.30, 6.03, 988581.00, ovf
5633.26, 2018-06-28 23:19:33, 20.00, -0.29, -9.74, 171.30, 44.55, 63.27, 12.26, 14.47, 178.83, 0.95, 1.00, 0.00, 0.99, 1782.00, 3474.06, 5.74, 988481.00, ovf
5636.52, 2018-06-28 23:19:33, 20.00, -0.26, -9.74, 171.30, 44.55, 63.27, 12.29, 14.47, 178.89, 0.95, 1.00, 0.00, 0.89, 1780.28, 3473.94, 5.58, 988381.00, ovf
5665.30, 2018-06-28 23:19:33, 20.00, -0.24, -9.74, 163.58, 44.53, 63.42, 12.15, 14.46, 179.01, 0.95, 1.00, 0.00, 0.90, 1765.12, 3473.71, 5.25, 988281.00, ovf
