##### LOG START #####
OnTime (ms), Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
302246.00, 2018-06-29 18:51:26, 0.00, 3.57, 0.00, 0.92, 0.00, 1.00, 1.30, 11.46, 0.23, 12.49, 30.15, 28.13, 32.95, -9.75, -0.19, 16.00, 9128.00, -48.00
303298.00, 2018-06-29 18:51:27, 0.00, 3.57, 0.00, 0.91, 0.00, 1.00, 1.30, 11.46, 0.23, 12.49, 30.16, 28.12, 32.96, -9.75, -0.19, 16.00, 9128.00, -48.00
304398.00, 2018-06-29 18:51:28, 0.00, 3.57, 0.00, 0.94, 0.00, 1.00, 1.30, 11.46, 0.23, 12.52, 30.15, 28.11, 32.88, -9.75, -0.19, 16.00, 9128.00, -48.00
305504.00, 2018-06-29 18:51:29, 0.00, 3.57, 0.00, 0.94, 0.00, 1.00, 1.30, 11.46, 0.23, 12.52, 30.16, 28.16, 32.84, -9.75, -0.19, 16.00, 9128.00, -48.00
306605.00, 2018-06-29 18:51:30, 0.00, 3.57, 0.00, 0.93, 0.00, 1.00, 1.30, 11.46, 0.23, 12.50, 30.19, 28.13, 32.81, -9.75, -0.19, 16.00, 9128.00, -48.00
307711.00, 2018-06-29 18:51:31, 0.00, 3.57, 0.00, 0.92, 0.00, 1.00, 1.30, 11.46, 0.23, 12.49, 30.15, 28.07, 32.83, -9.75, -0.19, 16.00, 9128.00, -48.00
308817.00, 2018-06-29 18:51:32, 0.00, 3.57, 0.00, 0.92, 0.00, 1.00, 1.30, 11.46, 0.23, 12.49, 30.09, 28.07, 32.80, -9.75, -0.19, 16.00, 9128.00, -48.00
309922.00, 2018-06-29 18:51:33, 0.00, 3.57, 0.00, 0.94, 0.00, 1.00, 1.03, 11.46, 0.23, 12.52, 30.08, 28.16, 32.79, -9.75, -0.18, 16.00, 9128.00, -48.00
311028.00, 2018-06-29 18:51:35, 0.00, 3.57, 0.00, 0.94, 0.00, 1.00, 0.97, 11.46, 0.23, 12.51, 30.14, 28.09, 32.74, -9.75, -0.18, 16.00, 9128.00, -48.00
312135.00, 2018-06-29 18:51:36, 0.00, 3.57, 0.00, 0.92, 0.00, 1.00, 0.97, 11.46, 0.23, 12.49, 30.08, 28.12, 32.77, -9.75, -0.19, 16.00, 9128.00, -48.00
313235.00, 2018-06-29 18:51:37, 0.00, 3.57, 0.00, 0.93, 0.00, 1.00, 0.97, 11.46, 0.23, 12.49, 30.05, 28.07, 32.67, -9.75, -0.19, 16.00, 9128.00, -48.00
