OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
106732,57:14.7,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.9,35.57,42.27,0,1.82,0,6600,-42
107732,57:15.7,0,0.35,0,1.47,0,,1,0.27,1.56,13,34.95,35.63,42.13,0,1.82,0,6600,-42
108732,57:16.7,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.97,35.55,42.02,0,1.82,0,6600,-42
109732,57:17.7,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,34.88,35.57,41.94,0,1.82,0,6600,-42
110732,57:18.7,0,0.35,0,1.47,0,,1,0.27,1.56,12.87,34.85,35.57,41.87,0,1.81,0,6600,-42
111732,57:19.7,0,0.35,0,1.47,0,,1,0.27,1.56,12.86,34.92,35.57,41.76,0,1.81,0,6600,-42
112763,57:20.8,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,34.92,35.69,41.75,0,1.82,0,6600,-42
113869,57:21.9,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.94,35.65,41.63,0,1.82,0,6600,-42
114969,57:23.0,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.92,35.62,41.53,0,1.81,0,6600,-42
116075,57:24.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.85,35.63,41.45,0,1.81,0,6600,-42
117075,57:25.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.9,35.65,41.47,0,1.82,0,6600,-42
118075,57:26.1,0,0.35,0,1.47,0,,1,0.27,1.56,13,34.9,35.64,41.41,0,1.81,0,6600,-42
119075,57:27.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.95,35.66,41.37,0,1.82,0,6600,-42
120075,57:28.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,34.9,35.69,41.34,0,1.81,0,6600,-42
121075,57:29.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.9,35.62,41.3,0,1.82,0,6600,-42
122075,57:30.1,0,0.35,0,1.47,0,,1,0.27,1.56,13,34.98,35.66,41.31,0,1.82,0,6600,-42
123075,57:31.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.88,35.7,41.16,0,1.81,0,6600,-42
124075,57:32.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.96,35.73,41.08,0,1.8,0,6600,-42
125075,57:33.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.97,35.69,41.13,0,1.8,0,6600,-42
126075,57:34.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.85,34.99,35.66,41.02,0,1.8,0,6600,-42
127099,57:35.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.99,35.71,40.98,0,1.81,0,6600,-42
128199,57:36.2,0,0.35,0,1.47,0,,1,0.27,1.56,12.88,34.99,35.77,40.98,0,1.81,0,6600,-42
129299,57:37.3,0,0.35,0,1.47,0,,1,0.27,1.56,13,35.05,35.73,40.96,0,1.8,0,6600,-42
130405,57:38.4,0,0.35,0,1.47,0,,1,0.27,1.56,12.88,35.01,35.8,40.9,0,1.81,0,6600,-42
131505,57:39.5,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.95,35.8,40.91,0,1.81,0,6600,-42
132606,57:40.6,0,0.35,0,1.47,0,,1,0.27,1.56,12.86,34.98,35.8,40.84,0,1.8,0,6600,-42
133712,57:41.7,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,35.02,35.77,40.72,0,1.81,0,6600,-42
134818,57:42.8,0,0.35,0,1.47,0,,1,0.27,1.56,12.85,34.98,35.8,40.8,0,1.8,0,6600,-42
135918,57:43.9,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.95,35.8,40.71,0,1.8,0,6600,-42
137018,57:45.0,0,0.35,0,1.47,0,,1,0.27,1.56,12.87,34.95,35.78,40.67,0,1.8,0,6600,-42
138124,57:46.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.85,35.06,35.76,40.61,0,1.8,0,6600,-42
139124,57:47.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.97,35.84,40.69,0,1.81,0,6600,-42
140124,57:48.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,34.96,35.83,40.56,0,1.8,0,6600,-42
141124,57:49.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.94,35.83,40.59,0,1.8,0,6600,-42
142124,57:50.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.02,35.82,40.48,0,1.8,0,6600,-42
143124,57:51.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.87,34.95,35.87,40.51,0,1.8,0,6600,-42
144124,57:52.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.86,35.1,35.8,40.53,0,1.8,0,6600,-42
145124,57:53.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.86,35.08,35.8,40.5,0,1.79,0,6600,-42
146124,57:54.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.87,34.95,35.86,40.51,0,1.8,0,6600,-42
147124,57:55.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.05,35.89,40.39,0,1.8,0,6600,-42
148124,57:56.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.88,35.04,35.8,40.46,0,1.79,0,6600,-42
149149,57:57.1,0,0.35,0,1.47,0,,1,0.27,1.56,13,34.95,35.78,40.3,0,1.79,0,6600,-42
150249,57:58.2,0,0.35,0,1.47,0,,1,0.27,1.56,12.85,35.03,35.87,40.3,0,1.8,0,6600,-42
151355,57:59.4,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.05,35.89,40.3,0,1.79,0,6600,-42
