OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
1085.00,1970-01-01 00:00:01.085,0.00,0.00,0.00,0.38,0.00,1.00,1.00,0.00,0.00,13.34,22.47,23.69,23.60,0.00,0.51,16.00,10.00,0.00
2172.00,1970-01-01 00:00:02.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.33,22.55,23.80,23.61,0.00,0.51,16.00,10.00,0.00
3172.00,1970-01-01 00:00:03.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.33,22.64,23.91,23.70,0.00,0.51,16.00,10.00,0.00
4172.00,1970-01-01 00:00:04.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.32,22.66,23.88,23.73,0.00,0.51,16.00,10.00,0.00
5172.00,1970-01-01 00:00:05.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.31,22.62,23.82,23.78,0.00,0.51,16.00,10.00,0.00
6172.00,1970-01-01 00:00:06.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.32,22.64,23.94,23.70,0.00,0.52,16.00,10.00,0.00
7172.00,1970-01-01 00:00:07.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.31,22.55,23.94,23.69,0.00,0.52,16.00,10.00,0.00
8172.00,1970-01-01 00:00:08.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.31,22.69,23.83,23.76,0.00,0.52,16.00,10.00,0.00
9172.00,1970-01-01 00:00:09.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.30,22.63,23.87,23.67,0.00,0.52,16.00,10.00,0.00
10172.00,1970-01-01 00:00:10.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.31,22.64,23.89,23.77,0.00,0.52,16.00,10.00,0.00
11172.00,1970-01-01 00:00:11.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.30,22.74,23.88,23.71,0.00,0.52,16.00,10.00,0.00
12172.00,1970-01-01 00:00:12.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.30,22.70,23.91,23.76,0.00,0.52,16.00,10.00,0.00
13172.00,1970-01-01 00:00:13.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.29,22.73,23.91,23.85,0.00,0.52,16.00,10.00,0.00
14172.00,1970-01-01 00:00:14.172,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.29,22.74,23.93,23.78,0.00,0.52,16.00,10.00,0.00
15220.00,1970-01-01 00:00:15.220,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.30,22.73,23.94,23.83,0.00,0.52,16.00,10.00,0.00
16307.00,1970-01-01 00:00:16.307,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.23,22.70,23.93,23.73,0.00,0.52,16.00,10.00,0.00
17393.00,1970-01-01 00:00:17.393,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.22,22.71,24.02,23.80,0.00,0.52,16.00,10.00,0.00
18480.00,1970-01-01 00:00:18.480,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.21,22.75,24.00,23.84,0.00,0.52,16.00,10.00,0.00
19567.00,1970-01-01 00:00:19.567,0.00,0.00,0.00,0.39,0.00,1.00,1.00,0.00,0.00,13.26,22.84,24.09,23.91,0.00,0.52,16.00,10.00,0.00
