OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
1000.00,1970-01-01 00:00:01.000,14.80,3.45,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.46,43.93,0.00,111.46,0.00,-0.12,17.00,10.00,0.00
2000.00,1970-01-01 00:00:02.000,12.53,7.02,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.47,43.82,0.00,110.91,0.00,-0.12,17.00,10.00,0.00
3000.00,1970-01-01 00:00:03.000,11.48,10.30,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.42,43.77,0.00,110.23,0.00,-0.12,17.00,10.00,0.00
4000.00,1970-01-01 00:00:04.000,10.54,13.28,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.42,43.76,0.00,109.94,0.00,-0.13,17.00,10.00,0.00
4100.00,1970-01-01 00:00:04.100,10.29,13.58,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.38,43.66,0.00,109.75,0.00,-0.13,21.00,10.00,0.00
4200.00,1970-01-01 00:00:04.200,10.39,13.87,0.00,0.26,1.00,1.00,1.00,999.00,0.00,10.12,43.66,0.00,109.75,0.00,-0.15,23.00,10.00,0.00
4412.00,1970-01-01 00:00:04.412,10.16,14.45,878.00,0.27,1.00,1.00,1.00,999.00,0.01,11.21,43.69,0.00,109.56,0.00,-0.16,23.00,6997.60,-35.00
4512.00,1970-01-01 00:00:04.512,9.87,14.75,1351.75,0.25,0.00,1.00,1.00,936.91,0.02,11.57,43.69,0.00,109.56,0.00,-0.14,21.00,6761.86,-46.00
4612.00,1970-01-01 00:00:04.612,9.74,14.98,1849.48,0.27,0.00,1.00,1.00,748.32,0.02,12.22,43.69,0.00,109.56,0.00,-0.17,21.00,5480.10,-61.00
4712.00,1970-01-01 00:00:04.712,9.86,15.27,2235.76,0.28,0.00,1.00,1.00,536.05,0.03,12.27,43.69,0.00,109.59,0.00,-0.12,21.00,5402.85,-75.00
4812.00,1970-01-01 00:00:04.812,9.70,15.57,1878.61,0.28,0.00,1.00,1.00,420.53,0.04,12.28,43.69,0.00,109.59,0.00,-0.13,21.00,5474.28,-63.00
4912.00,1970-01-01 00:00:04.912,9.66,15.80,1818.65,0.25,0.00,1.00,1.00,382.58,0.05,12.29,43.69,0.00,109.59,0.00,-0.12,21.00,5486.27,-59.00
5012.00,1970-01-01 00:00:05.012,9.77,16.09,1697.67,0.25,0.00,1.00,1.00,321.52,0.06,12.27,43.52,0.00,119.29,0.00,-0.14,21.00,5761.64,-55.00
5112.00,1970-01-01 00:00:05.112,9.69,16.33,1589.74,0.27,0.00,1.00,1.00,297.55,0.07,12.28,43.52,0.00,119.29,0.00,-0.12,21.00,6301.30,-53.00
