OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
1109.00,2018-07-07 11:58:57.109,24.14,5.79,0.00,0.37,0.00,2.00,1.00,999.00,0.00,12.55,58.01,79.38,200.07,0.00,-0.13,17.00,10.00,0.00
2109.00,2018-07-07 11:58:58.109,24.64,12.64,0.00,0.36,0.00,2.00,1.00,999.00,0.00,12.48,57.93,79.43,197.84,0.00,-0.22,17.00,10.00,0.00
3109.00,2018-07-07 11:58:59.109,24.52,19.49,0.00,0.35,0.00,2.00,1.00,999.00,0.00,12.50,57.93,79.52,194.95,0.00,-0.20,17.00,10.00,0.00
3622.00,2018-07-07 11:58:59.622,24.38,22.94,0.00,0.34,0.00,2.00,1.00,999.00,0.00,12.50,57.84,79.59,193.47,0.00,-0.18,21.00,10.00,0.00
3722.00,2018-07-07 11:58:59.722,24.32,23.64,0.00,0.35,1.00,2.00,1.00,999.00,0.00,10.07,57.84,79.59,193.47,0.00,-0.21,23.00,10.00,0.00
3822.00,2018-07-07 11:58:59.822,24.45,24.28,31.60,0.34,1.00,2.00,1.00,999.00,0.01,12.22,57.84,79.59,193.47,0.00,-0.18,23.00,7100.00,-20.00
3922.00,2018-07-07 11:58:59.922,24.40,24.99,31.60,0.33,1.00,2.00,1.00,999.00,0.01,11.15,57.86,79.68,192.84,0.00,-0.22,23.00,7100.00,-20.00
4022.00,2018-07-07 11:59:00.022,24.20,25.63,741.14,0.32,1.00,2.00,1.00,999.00,0.01,10.81,57.86,79.68,192.84,0.00,-0.24,23.00,7100.00,-33.00
4122.00,2018-07-07 11:59:00.122,24.31,26.33,928.97,0.33,1.00,2.00,1.00,999.00,0.02,11.63,57.82,79.68,191.55,0.00,-0.24,23.00,7100.00,-36.00
4222.00,2018-07-07 11:59:00.222,24.36,26.98,1361.62,0.35,0.00,2.00,1.00,999.00,0.03,12.20,57.82,79.68,191.55,0.00,-0.16,21.00,7100.00,-46.00
4322.00,2018-07-07 11:59:00.322,24.38,27.68,2214.64,0.35,0.00,2.00,1.00,920.12,0.04,12.31,57.82,79.68,191.55,0.00,-0.16,21.00,5249.51,-74.00
4450.00,2018-07-07 11:59:00.450,24.24,28.56,2598.58,0.35,0.00,2.00,1.00,673.44,0.05,12.29,57.80,79.70,189.91,0.00,-0.22,21.00,5189.43,-81.00
4550.00,2018-07-07 11:59:00.550,24.68,29.26,2685.28,0.34,0.00,2.00,1.00,578.44,0.06,12.33,57.80,79.70,189.91,0.00,-0.18,21.00,5224.11,-83.00
4650.00,2018-07-07 11:59:00.650,25.20,29.96,2839.97,0.36,0.00,2.00,1.00,474.89,0.07,12.41,57.80,79.70,189.91,0.00,-0.03,21.00,5285.99,-86.00
4750.00,2018-07-07 11:59:00.750,24.83,30.66,2510.15,0.33,0.00,2.00,1.00,430.39,0.08,12.31,57.76,79.70,201.99,0.00,-0.14,21.00,5154.06,-80.00
4850.00,2018-07-07 11:59:00.850,25.10,31.37,2889.06,0.34,0.00,2.00,1.00,394.25,0.09,12.35,57.76,79.70,201.99,0.00,-0.19,21.00,5305.62,-87.00
4950.00,2018-07-07 11:59:00.950,25.02,32.07,2670.23,0.35,0.00,2.00,1.00,365.40,0.10,12.39,57.76,79.70,201.99,0.00,-0.19,21.00,5218.09,-83.00
5050.00,2018-07-07 11:59:01.050,25.20,32.77,2725.10,0.35,0.00,2.00,1.00,341.24,0.11,12.37,57.76,79.70,213.85,0.00,-0.22,21.00,5240.04,-84.00
5150.00,2018-07-07 11:59:01.150,25.30,33.47,2844.28,0.33,0.00,2.00,1.00,308.72,0.13,12.35,57.76,79.70,213.85,0.00,-0.14,21.00,5287.71,-86.00
5250.00,2018-07-07 11:59:01.250,25.35,34.17,2708.93,0.36,0.00,2.00,1.00,292.96,0.14,12.34,57.73,79.70,224.96,0.00,-0.15,21.00,5233.57,-83.00
5350.00,2018-07-07 11:59:01.350,25.60,34.88,2784.87,0.35,0.00,2.00,1.00,279.16,0.15,12.40,57.73,79.70,224.96,0.00,-0.18,21.00,5263.95,-85.00
5571.00,2018-07-07 11:59:01.571,25.83,36.51,2830.86,0.35,0.00,2.00,1.00,243.81,0.18,12.40,57.63,79.70,235.02,0.00,-0.19,21.00,5282.34,-85.00
5671.00,2018-07-07 11:59:01.671,26.08,37.22,2791.28,0.34,0.00,2.00,1.00,235.46,0.19,12.38,57.63,79.70,235.02,0.00,-0.11,21.00,5266.51,-85.00
