 Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Ignition angle
0,0,0,0.25,0,1,1,0,0,12.31,43.86,41.62,41.5,0,-0.2,16,10,0
0,0,0,0.28,0,1,1,0,0,12.33,44,41.59,41.5,0,-0.19,16,10,0
0,0,0,0.27,0,1,1,0,0,12.31,43.91,41.71,41.52,0,-0.19,16,10,0
0,0,0,0.25,0,1,1,0,0,12.29,43.94,41.65,41.55,0,-0.2,16,10,0
0,0,0,0.25,0,1,1,0,0,12.29,43.88,41.63,41.5,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.3,43.91,41.65,41.41,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.29,43.98,41.69,41.43,0,-0.19,16,10,0
0,0,0,0.27,0,1,1,0,0,12.28,43.93,41.63,41.43,0,-0.19,16,10,0
0,0,0,0.27,0,1,1,0,0,12.3,43.93,41.65,41.41,0,-0.19,16,10,0
0,0,0,0.27,0,1,1,0,0,12.27,43.88,41.58,41.44,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.26,43.91,41.63,41.36,0,-0.2,16,10,0
0,0,0,0.26,0,1,1,0,0,12.27,43.91,41.6,41.38,0,-0.2,16,10,0
0,0,0,0.25,0,1,1,0,0,12.29,43.88,41.62,41.34,0,-0.2,16,10,0
0,0,0,0.25,0,1,1,0,0,12.29,43.8,41.59,41.3,0,-0.2,16,10,0
0,0,0,0.25,0,1,1,0,0,12.29,43.84,41.57,41.27,0,-0.19,16,10,0
0,0,0,0.27,0,1,1,0,0,12.3,43.8,41.62,41.37,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.28,43.84,41.59,41.34,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.28,43.8,41.62,41.21,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.29,43.77,41.66,41.28,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.3,43.8,41.58,41.2,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.28,43.78,41.63,41.26,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.29,43.66,41.63,41.21,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.3,43.77,41.64,41.23,0,-0.2,16,10,0
