 Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us),Ignition angle
0,0,0,0.25,0,1,1.28,0,0,12.94,35.03,34.49,29.65,0,-0.2,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.94,35.19,34.55,29.73,0,-0.19,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.91,35.13,34.6,29.7,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.91,35.16,34.6,29.78,0,-0.19,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.87,35.16,34.67,29.77,0,-0.19,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.89,35.17,34.66,29.86,0,-0.19,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.87,35.16,34.73,29.78,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.85,35.19,34.68,29.83,0,-0.2,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.85,35.22,34.68,29.83,0,-0.2,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.84,35.15,34.65,29.86,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.86,35.2,34.6,29.79,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.84,35.19,34.65,29.9,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.83,35.2,34.63,29.81,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.89,35.21,34.65,29.79,0,-0.19,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.89,35.17,34.63,29.86,0,-0.19,16,10,0
0,0,0,0.26,0,1,1.28,0,0,12.9,35.16,34.6,29.84,0,-0.19,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.88,35.08,34.59,29.88,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.88,35.1,34.52,29.81,0,-0.23,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.87,35.09,34.58,29.8,0,-0.21,16,10,0
