Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us),Ignition angle
0,0,0,0.25,0,1,2.02,0,0,12.29,41.34,35.77,63.86,0,-0.2,16,10,0
0,0,0,0.25,0,1,2.02,0,0,12.29,41.27,35.91,63.63,0,-0.2,16,10,0
0,0,0,0.27,0,1,2.02,0,0,12.29,41.34,35.91,63.61,0,-0.2,16,10,0
0,0,0,0.25,0,1,2.02,0,0,12.25,41.34,35.86,63.47,0,-0.2,16,10,0
0,0,0,0.27,0,1,2.02,0,0,12.24,41.27,35.88,63.41,0,-0.2,16,10,0
0,0,0,0.25,0,1,2.02,0,0,12.25,41.31,35.82,63.27,0,-0.2,16,10,0
0,0,0,0.25,0,1,2.02,0,0,12.24,41.23,35.88,63.27,0,-0.2,16,10,0
0,0,0,0.27,0,1,2.02,0,0,12.24,41.23,35.88,63.05,0,-0.2,16,10,0
0,0,0,0.25,0,1,2.02,0,0,12.23,41.21,35.91,63.02,0,-0.2,16,10,0
0,0,0,0.25,0,1,2.02,0,0,12.22,41.19,35.78,62.88,0,-0.2,16,10,0
0,0,0,0.27,0,1,2.02,0,0,12.24,41.14,35.86,62.76,0,-0.2,16,10,0
0,0,0,0.27,0,1,2.02,0,0,12.24,41.16,35.83,62.59,0,-0.2,16,10,0
0,0,0,0.25,0,1,2.02,0,0,12.26,41.07,35.84,62.51,0,-0.2,16,10,0
0,0,0,0.27,0,1,2.02,0,0,12.26,41.12,35.83,62.41,0,-0.2,16,10,0
0,0,0,0.27,0,1,2.02,0,0,12.26,41.05,35.91,62.36,0,-0.2,16,10,0
0,0,0,0.27,0,1,2.02,0,0,12.24,41.12,35.78,62.24,0,-0.2,16,10,0
0,0,2170.83,0.27,0,1,2.02,0,0.07,12.13,41.12,35.82,87.91,0,-0.19,20,8789.38,0
