OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle,burning
1095.00,1970-01-01 00:00:01.095,0.00,0.00,0.00,0.80,0.00,1.00,1.15,0.00,0.00,12.99,28.05,28.65,-0.01,4.96,4.45,17.00,10.00,0.00,0.00
2188.00,1970-01-01 00:00:02.188,0.00,0.00,0.00,0.80,0.00,1.00,1.15,0.00,0.00,12.97,28.07,28.76,-0.01,4.97,4.45,17.00,10.00,0.00,0.00
3188.00,1970-01-01 00:00:03.188,0.00,0.00,0.00,0.83,0.00,1.00,1.15,0.00,0.00,12.85,28.05,28.72,-0.01,4.97,4.45,17.00,10.00,0.00,0.00
4188.00,1970-01-01 00:00:04.188,0.00,0.00,0.00,0.80,0.00,1.00,1.15,0.00,0.00,12.80,28.05,28.78,-0.01,4.98,4.44,17.00,10.00,0.00,0.00
5188.00,1970-01-01 00:00:05.188,0.00,0.00,0.00,0.80,0.00,1.00,1.15,0.00,0.00,12.85,28.13,28.76,-0.01,4.99,4.44,17.00,10.00,0.00,0.00
6188.00,1970-01-01 00:00:06.188,0.00,0.00,0.00,0.80,0.00,1.00,1.15,0.00,0.00,12.80,28.18,28.73,-0.01,4.97,4.44,17.00,10.00,0.00,0.00
7188.00,1970-01-01 00:00:07.188,0.00,0.00,0.00,0.81,0.00,1.00,1.15,0.00,0.00,12.77,28.16,28.77,-0.01,4.92,4.44,17.00,10.00,0.00,0.00
8188.00,1970-01-01 00:00:08.188,0.00,0.00,0.00,0.82,0.00,1.00,1.15,0.00,0.00,12.77,28.11,28.73,-0.01,4.96,4.44,17.00,10.00,0.00,0.00
9188.00,1970-01-01 00:00:09.188,0.00,0.00,0.00,0.82,0.00,1.00,1.15,0.00,0.00,12.77,28.13,28.70,-0.01,4.96,4.44,17.00,10.00,0.00,0.00
10188.00,1970-01-01 00:00:10.188,0.00,0.00,0.00,0.82,0.00,1.00,1.15,0.00,0.00,12.74,28.08,28.79,-0.01,4.97,4.44,17.00,10.00,0.00,0.00
