OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle,burning
10456.00,1970-01-01 00:00:10.456,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.55,40.98,37.74,-0.01,4.69,4.23,16.00,10.00,0.00,0.00
11456.00,1970-01-01 00:00:11.456,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.55,40.90,37.86,-0.01,4.68,4.23,16.00,10.00,0.00,0.00
12456.00,1970-01-01 00:00:12.456,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.56,40.98,37.80,-0.01,4.65,4.23,16.00,10.00,0.00,0.00
13456.00,1970-01-01 00:00:13.456,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.51,40.96,37.79,-0.01,4.71,4.23,16.00,10.00,0.00,0.00
14456.00,1970-01-01 00:00:14.456,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.53,41.01,37.88,-0.01,4.68,4.23,16.00,10.00,0.00,0.00
15456.00,1970-01-01 00:00:15.456,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.50,41.00,37.81,-0.01,4.68,4.23,16.00,10.00,0.00,0.00
16456.00,1970-01-01 00:00:16.456,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.50,40.87,37.79,-0.01,4.67,4.23,16.00,10.00,0.00,0.00
17465.00,1970-01-01 00:00:17.465,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.51,40.89,37.76,-0.01,4.65,4.22,16.00,10.00,0.00,0.00
18465.00,1970-01-01 00:00:18.465,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.50,40.94,37.81,-0.01,4.67,4.22,16.00,10.00,0.00,0.00
19465.00,1970-01-01 00:00:19.465,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.48,40.91,37.78,-0.01,4.67,4.23,16.00,10.00,0.00,0.00
20465.00,1970-01-01 00:00:20.465,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.59,40.95,37.79,-0.01,4.66,4.23,16.00,10.00,0.00,0.00
21465.00,1970-01-01 00:00:21.465,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.59,40.90,37.80,-0.01,4.66,4.23,16.00,10.00,0.00,0.00
22465.00,1970-01-01 00:00:22.465,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.57,40.82,37.73,-0.01,4.65,4.22,16.00,10.00,0.00,0.00
23465.00,1970-01-01 00:00:23.465,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.58,40.90,37.79,-0.01,4.66,4.23,16.00,10.00,0.00,0.00
24465.00,1970-01-01 00:00:24.465,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.50,40.84,37.74,-0.01,4.65,4.23,16.00,10.00,0.00,0.00
25465.00,1970-01-01 00:00:25.465,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.43,40.80,37.81,-0.01,4.67,4.22,16.00,10.00,0.00,0.00
26465.00,1970-01-01 00:00:26.465,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.54,40.83,37.74,-0.01,4.67,4.21,16.00,10.00,0.00,0.00
27465.00,1970-01-01 00:00:27.465,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.40,40.84,37.76,-0.01,4.66,4.22,16.00,10.00,0.00,0.00
28465.00,1970-01-01 00:00:28.465,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.49,40.80,37.73,-0.01,4.63,4.22,16.00,10.00,0.00,0.00
29466.00,1970-01-01 00:00:29.466,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.50,40.73,37.72,-0.01,4.63,4.21,16.00,10.00,0.00,0.00
30559.00,1970-01-01 00:00:30.559,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.50,40.87,37.74,-0.01,4.65,4.21,16.00,10.00,0.00,0.00
31652.00,1970-01-01 00:00:31.652,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.38,40.76,37.78,-0.01,4.64,4.21,16.00,10.00,0.00,0.00
32745.00,1970-01-01 00:00:32.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.50,40.73,37.83,-0.01,4.61,4.26,16.00,10.00,0.00,0.00
33745.00,1970-01-01 00:00:33.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.49,40.75,37.73,-0.01,4.63,4.24,16.00,10.00,0.00,0.00
34745.00,1970-01-01 00:00:34.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.50,40.75,37.79,-0.01,4.63,4.25,16.00,10.00,0.00,0.00
35745.00,1970-01-01 00:00:35.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.38,40.85,37.79,-0.01,4.67,4.25,16.00,10.00,0.00,0.00
36745.00,1970-01-01 00:00:36.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.50,40.78,37.74,-0.01,4.65,4.24,16.00,10.00,0.00,0.00
37745.00,1970-01-01 00:00:37.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.48,40.70,37.77,-0.01,4.64,4.24,16.00,10.00,0.00,0.00
38745.00,1970-01-01 00:00:38.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.37,40.78,37.68,-0.01,4.60,4.22,16.00,10.00,0.00,0.00
39745.00,1970-01-01 00:00:39.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.50,40.75,37.70,-0.01,4.62,4.23,16.00,10.00,0.00,0.00
40745.00,1970-01-01 00:00:40.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.52,40.72,37.76,-0.01,4.61,4.24,16.00,10.00,0.00,0.00
41745.00,1970-01-01 00:00:41.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.36,40.75,37.76,-0.01,4.66,4.21,16.00,10.00,0.00,0.00
42745.00,1970-01-01 00:00:42.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.51,40.76,37.70,-0.01,4.62,4.20,16.00,10.00,0.00,0.00
43745.00,1970-01-01 00:00:43.745,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.48,40.75,37.74,-0.01,4.60,4.20,16.00,10.00,0.00,0.00
44753.00,1970-01-01 00:00:44.753,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.50,40.65,37.72,-0.01,4.58,4.19,16.00,10.00,0.00,0.00
