OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
1000.00,1970-01-01 00:00:01.000,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.79,0.00,0.00,0.00,-0.61,0.04,17.00,10.00,0.00
2000.00,1970-01-01 00:00:02.000,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.78,31.96,40.87,1372.05,-0.60,0.04,17.00,10.00,0.00
3000.00,1970-01-01 00:00:03.000,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.74,31.95,40.89,1372.05,-0.60,0.03,17.00,10.00,0.00
4000.00,1970-01-01 00:00:04.000,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.74,31.95,40.84,1372.05,-0.55,0.04,17.00,10.00,0.00
5000.00,1970-01-01 00:00:05.000,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.70,31.91,40.88,1372.05,-0.58,0.04,17.00,10.00,0.00
6000.00,1970-01-01 00:00:06.000,0.00,0.12,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.72,31.91,40.89,1372.05,-0.59,0.04,17.00,10.00,0.00
7000.00,1970-01-01 00:00:07.000,0.00,0.12,0.00,0.28,0.00,1.00,1.00,999.00,0.00,12.73,31.94,40.83,1372.05,-0.60,0.04,17.00,10.00,0.00
8000.00,1970-01-01 00:00:08.000,0.00,0.12,0.00,0.28,0.00,1.00,1.00,999.00,0.00,12.71,31.91,40.84,1372.05,-0.63,0.05,17.00,10.00,0.00
9000.00,1970-01-01 00:00:09.000,0.00,0.12,0.00,0.28,0.00,1.00,1.00,999.00,0.00,12.68,31.98,40.88,1372.05,-0.61,0.04,17.00,10.00,0.00
10000.00,1970-01-01 00:00:10.000,0.00,0.12,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.69,32.05,40.82,1372.05,-0.56,0.05,17.00,10.00,0.00
11020.00,1970-01-01 00:00:11.020,0.00,0.12,0.00,0.28,0.00,1.00,1.00,999.00,0.00,12.69,31.98,40.83,1372.05,-0.56,0.04,17.00,10.00,0.00
12126.00,1970-01-01 00:00:12.126,0.00,0.12,0.00,0.28,0.00,1.00,1.00,999.00,0.00,12.69,31.96,40.83,1372.05,-0.60,0.05,17.00,10.00,0.00
13232.00,1970-01-01 00:00:13.232,0.00,0.12,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.68,32.02,40.82,1372.05,-0.56,0.05,17.00,10.00,0.00
14337.00,1970-01-01 00:00:14.337,0.00,0.12,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.71,31.96,40.77,1372.05,-0.61,0.05,17.00,10.00,0.00
15442.00,1970-01-01 00:00:15.442,1.49,0.23,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.71,31.88,40.78,1372.05,-0.57,0.04,17.00,10.00,0.00
16548.00,1970-01-01 00:00:16.548,0.00,0.23,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.70,32.00,40.70,1372.05,-0.59,0.04,17.00,10.00,0.00
17661.00,1970-01-01 00:00:17.661,0.00,0.23,0.00,0.28,0.00,1.00,1.00,999.00,0.00,12.70,32.05,40.70,1372.05,-0.59,0.03,17.00,10.00,0.00
18779.00,1970-01-01 00:00:18.779,0.00,0.23,0.00,0.28,0.00,1.00,1.00,999.00,0.00,12.67,32.00,40.70,1372.05,-0.60,0.04,17.00,10.00,0.00
19884.00,1970-01-01 00:00:19.884,0.00,0.23,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.67,32.03,40.66,1372.05,-0.59,0.03,17.00,10.00,0.00
21003.00,1970-01-01 00:00:21.003,0.00,0.23,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.72,31.94,40.73,1372.05,-0.59,0.04,17.00,10.00,0.00
22107.00,1970-01-01 00:00:22.107,0.00,0.23,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.70,31.94,40.69,1372.05,-0.62,0.04,17.00,10.00,0.00
23213.00,1970-01-01 00:00:23.213,0.00,0.23,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.57,31.98,40.62,1372.05,-0.60,0.04,17.00,10.00,0.00
24313.00,1970-01-01 00:00:24.313,0.00,0.35,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.71,31.94,40.69,1372.05,-0.63,0.04,17.00,10.00,0.00
25313.00,1970-01-01 00:00:25.313,0.00,0.35,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.70,31.94,40.62,1372.05,-0.60,0.05,17.00,10.00,0.00
26313.00,1970-01-01 00:00:26.313,0.00,0.35,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.73,31.98,40.57,1372.05,-0.60,0.05,17.00,10.00,0.00
27313.00,1970-01-01 00:00:27.313,0.00,0.35,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.69,31.96,40.52,1372.05,-0.55,0.04,17.00,10.00,0.00
28313.00,1970-01-01 00:00:28.313,1.41,0.47,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.72,31.91,40.50,1372.05,-0.58,0.04,17.00,10.00,0.00
29313.00,1970-01-01 00:00:29.313,0.00,0.47,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.70,31.91,40.51,1372.05,-0.58,0.04,17.00,10.00,0.00
30313.00,1970-01-01 00:00:30.313,0.00,0.47,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.72,31.95,40.44,1372.05,-0.62,0.04,17.00,10.00,0.00
31313.00,1970-01-01 00:00:31.313,0.00,0.47,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.53,31.98,40.45,1372.05,-0.60,0.04,17.00,10.00,0.00
32313.00,1970-01-01 00:00:32.313,0.00,0.59,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.71,31.98,40.48,1372.05,-0.59,0.04,17.00,10.00,0.00
33313.00,1970-01-01 00:00:33.313,0.00,0.59,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.69,31.94,40.43,1372.05,-0.55,0.04,17.00,10.00,0.00
34324.00,1970-01-01 00:00:34.324,0.00,0.59,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.55,31.94,40.41,1372.05,-0.57,0.05,17.00,10.00,0.00
35429.00,1970-01-01 00:00:35.429,0.00,0.59,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.71,31.93,40.48,1372.05,-0.60,0.05,17.00,10.00,0.00
36548.00,1970-01-01 00:00:36.548,0.00,0.59,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.71,31.96,40.46,1372.05,-0.58,0.05,17.00,10.00,0.00
37666.00,1970-01-01 00:00:37.666,0.00,0.59,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.58,32.03,40.37,1372.05,-0.60,0.03,17.00,10.00,0.00
