OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
749.00,1970-00-00 00:00:00.749,0.00,0.00,0.00,0.25,0.00,0.00,1.00,0.00,0.00,12.30,0.00,0.00,0.00,0.00,-0.60,0.07,17.00,10.00,0.00
855.00,1970-00-00 00:00:00.855,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.28,0.00,0.00,0.00,0.00,-0.59,0.07,17.00,10.00,0.00
955.00,1970-00-00 00:00:00.955,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.22,0.00,0.00,0.00,0.00,-0.61,0.07,17.00,10.00,0.00
1055.00,1970-01-01 00:00:01.055,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.19,52.53,69.29,0.00,0.00,-0.57,0.07,17.00,10.00,0.00
1155.00,1970-01-01 00:00:01.155,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.16,52.53,69.29,0.00,0.00,-0.60,0.07,17.00,10.00,0.00
1255.00,1970-01-01 00:00:01.255,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.23,52.53,69.29,0.00,0.00,-0.61,0.07,17.00,10.00,0.00
1355.00,1970-01-01 00:00:01.355,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.21,52.49,69.31,0.00,0.00,-0.60,0.07,17.00,10.00,0.00
1455.00,1970-01-01 00:00:01.455,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.15,52.49,69.31,0.00,0.00,-0.63,0.08,17.00,10.00,0.00
1555.00,1970-01-01 00:00:01.555,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.21,52.50,69.33,0.00,0.00,-0.58,0.07,17.00,10.00,0.00
1655.00,1970-01-01 00:00:01.655,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.22,52.50,69.33,0.00,0.00,-0.61,0.07,17.00,10.00,0.00
1755.00,1970-01-01 00:00:01.755,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.16,52.50,69.33,0.00,0.00,-0.56,0.07,17.00,10.00,0.00
1855.00,1970-01-01 00:00:01.855,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.22,52.45,69.23,0.00,0.00,-0.60,0.07,17.00,10.00,0.00
1955.00,1970-01-01 00:00:01.955,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.22,52.45,69.23,0.00,0.00,-0.63,0.07,17.00,10.00,0.00
2055.00,1970-01-01 00:00:02.055,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.16,52.50,69.21,0.00,0.00,-0.59,0.07,17.00,10.00,0.00
