OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle, burning
1094.00,1970-01-01 00:00:01.094,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.18,46.55,54.74,1372.05,0.01,0.97,17.00,10.00,0.00,0.00
2187.00,1970-01-01 00:00:02.187,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.34,46.66,54.84,1372.05,0.02,0.98,17.00,10.00,0.00,0.00
3187.00,1970-01-01 00:00:03.187,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.37,46.63,54.84,1372.05,-0.02,0.95,17.00,10.00,0.00,0.00
4187.00,1970-01-01 00:00:04.187,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.36,46.65,54.88,1372.05,0.00,0.96,17.00,10.00,0.00,0.00
5187.00,1970-01-01 00:00:05.187,1.37,0.12,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.36,46.70,54.86,1372.05,0.01,0.95,17.00,10.00,0.00,0.00
6187.00,1970-01-01 00:00:06.187,0.00,0.12,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.21,46.71,54.77,1372.05,0.43,1.57,17.00,10.00,0.00,0.00
7187.00,1970-01-01 00:00:07.187,0.00,0.12,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.37,46.76,54.95,1372.05,-0.18,0.56,17.00,10.00,0.00,0.00
8187.00,1970-01-01 00:00:08.187,1.10,0.23,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.23,46.72,54.80,1372.05,-0.66,-0.01,17.00,10.00,0.00,0.00
9187.00,1970-01-01 00:00:09.187,-0.00,0.23,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.35,46.81,54.79,1372.05,0.29,1.36,17.00,10.00,0.00,0.00
10187.00,1970-01-01 00:00:10.187,-0.00,0.23,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.22,46.74,54.80,1372.05,0.29,1.35,17.00,10.00,0.00,0.00
11187.00,1970-01-01 00:00:11.187,0.00,0.23,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.38,46.76,54.90,1372.05,0.27,1.35,17.00,10.00,0.00,0.00
12195.00,1970-01-01 00:00:12.195,0.00,0.23,0.00,1.47,0.00,1.00,1.00,999.00,0.00,12.23,46.76,54.80,1372.05,0.26,1.34,17.00,10.00,0.00,0.00
