OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
805.00,1970-00-00 00:00:00.805,2.80,0.35,0.00,0.25,0.00,0.00,1.00,999.00,0.00,12.30,0.00,0.00,0.00,0.00,-0.56,0.07,17.00,10.00,0.00
910.00,1970-00-00 00:00:00.910,6.45,0.70,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.31,0.00,0.00,0.00,0.00,-0.56,0.07,17.00,10.00,0.00
1010.00,1970-01-01 00:00:01.010,7.84,0.94,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.25,0.00,0.00,0.00,0.00,-0.56,0.06,17.00,10.00,0.00
1110.00,1970-01-01 00:00:01.110,9.40,1.29,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.29,47.16,50.40,1372.05,0.00,-0.55,0.07,17.00,10.00,0.00
1210.00,1970-01-01 00:00:01.210,9.97,1.52,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.30,47.16,50.40,1372.05,0.00,-0.57,0.06,17.00,10.00,0.00
1310.00,1970-01-01 00:00:01.310,10.16,1.87,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.27,47.16,50.40,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
1410.00,1970-01-01 00:00:01.410,10.69,2.22,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.29,47.16,50.43,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
1510.00,1970-01-01 00:00:01.510,10.72,2.46,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.30,47.16,50.43,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
1610.00,1970-01-01 00:00:01.610,7.41,2.57,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.27,47.23,50.40,1372.05,0.00,-0.55,0.07,17.00,10.00,0.00
1710.00,1970-01-01 00:00:01.710,6.74,2.69,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.29,47.23,50.40,1372.05,0.00,-0.54,0.06,17.00,10.00,0.00
