OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
1000.00,1970-01-01 00:00:01.000,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.38,0.00,0.00,0.00,-0.55,0.06,17.00,10.00,0.00
2000.00,1970-01-01 00:00:02.000,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.40,32.22,31.57,0.00,-0.56,0.07,17.00,10.00,0.00
3000.00,1970-01-01 00:00:03.000,0.00,0.00,0.00,0.30,0.00,0.00,1.00,0.00,0.00,12.24,32.20,31.59,0.00,-0.44,0.07,1.00,10.00,0.00
4000.00,1970-01-01 00:00:04.000,0.00,0.00,0.00,0.26,0.00,0.00,1.00,0.00,0.00,12.31,32.27,31.55,0.00,-0.52,0.07,1.00,10.00,0.00
5000.00,1970-01-01 00:00:05.000,0.00,0.00,0.00,0.25,0.00,0.00,1.00,0.00,0.00,12.25,32.25,31.60,0.00,-0.55,0.07,1.00,10.00,0.00
6000.00,1970-01-01 00:00:06.000,0.00,0.00,0.00,0.25,0.00,0.00,1.00,0.00,0.00,12.28,32.24,31.55,0.00,-0.54,0.07,1.00,10.00,0.00
7000.00,1970-01-01 00:00:07.000,0.00,0.00,0.00,0.28,0.00,0.00,1.00,0.00,0.00,12.17,32.30,31.58,0.00,-0.62,0.07,1.00,10.00,0.00
8000.00,1970-01-01 00:00:08.000,0.00,0.00,0.00,0.28,0.00,0.00,1.00,0.00,0.00,12.18,32.23,31.52,0.00,-0.59,0.07,1.00,10.00,0.00
9000.00,1970-01-01 00:00:09.000,0.00,0.00,0.00,0.25,0.00,0.00,1.00,0.00,0.00,12.19,32.20,31.47,0.00,-0.50,0.07,1.00,10.00,0.00
10000.00,1970-01-01 00:00:10.000,0.00,0.00,0.00,0.26,0.00,0.00,1.00,0.00,0.00,12.21,32.18,31.53,0.00,-0.53,0.07,1.00,10.00,0.00
