time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep,
181601.00,1500.00,0.00,-0.01,-0.24,-0.10,-0.30,0.00,-0.01,-0.24,-0.10,-0.31,7000.00,7000.00,1.00,
181709.00,1750.00,1.34,47.71,21.56,60.78,-171.70,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
181816.00,2000.00,1.17,47.83,21.37,60.78,-199.92,1.51,47.81,21.03,60.53,-199.92,7000.00,7000.00,1.00,
181924.00,2250.00,1.30,47.82,21.31,60.78,-199.92,1.50,47.88,20.89,60.66,-199.92,7000.00,7000.00,1.00,
182030.00,2500.00,1.40,47.85,21.27,60.78,-199.92,1.37,47.93,20.78,60.87,-199.92,7000.00,7000.00,1.00,
182128.00,2750.00,1.47,47.80,21.25,60.78,-199.92,1.36,48.08,20.60,61.27,-199.92,7000.00,7000.00,1.00,
182226.00,3000.00,1.50,47.80,21.20,60.78,-199.92,1.45,48.22,20.33,61.59,-199.92,6900.00,7000.00,1.00,
182324.00,3250.00,1.51,47.77,21.09,60.78,-199.92,1.45,48.40,20.15,61.87,-199.92,6033.91,6000.00,1.00,
182422.00,3500.00,1.51,47.77,21.06,60.78,-199.92,1.39,48.57,20.01,62.18,-199.92,5516.71,5500.00,1.00,
182639.00,3750.00,1.51,47.78,21.02,60.78,-199.92,1.43,48.84,20.07,62.48,-199.92,5330.42,5300.00,1.00,
203428.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7000.00,7000.00,2.00,
203631.00,1750.00,0.04,1.33,0.61,1.83,-5.50,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
203833.00,2000.00,0.00,0.14,0.06,0.18,-0.59,0.01,0.18,0.08,0.23,-0.75,7000.00,7000.00,2.00,
204143.00,2250.00,0.01,0.21,0.10,0.27,-0.89,0.00,0.04,0.02,0.05,-0.18,7000.00,7000.00,2.00,
204279.00,2500.00,0.02,0.57,0.26,0.77,-2.37,0.00,0.05,0.02,0.06,-0.21,7000.00,7000.00,2.00,
204383.00,2750.00,0.20,6.25,2.89,8.64,-26.02,0.00,0.06,0.02,0.07,-0.24,7000.00,7000.00,2.00,
204480.00,3000.00,0.18,5.71,2.63,7.88,-23.75,0.00,0.06,0.03,0.08,-0.26,6800.00,7000.00,2.00,
204578.00,3250.00,0.01,0.33,0.15,0.43,-1.40,0.00,0.06,0.03,0.08,-0.26,5938.08,6000.00,2.00,
204676.00,3500.00,0.01,0.23,0.10,0.30,-0.98,0.00,0.08,0.03,0.10,-0.32,5417.05,5500.00,2.00,
204775.00,3750.00,0.04,1.32,0.60,1.78,-5.50,0.00,0.07,0.03,0.08,-0.27,5231.00,5300.00,2.00,
234576.00,1500.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.03,-0.15,-0.11,-0.08,7000.00,7000.00,3.00,
234898.00,1750.00,0.60,21.98,10.56,31.23,-92.48,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
235100.00,2000.00,0.71,26.81,12.91,38.21,-113.01,0.89,27.37,13.43,39.23,-117.01,7000.00,7000.00,3.00,
235302.00,2250.00,0.60,20.67,9.96,29.51,-88.25,0.66,22.17,10.98,31.78,-94.68,7000.00,7000.00,3.00,
235611.00,2500.00,0.59,19.01,9.17,27.15,-81.19,0.62,22.64,11.39,32.48,-96.47,7000.00,7000.00,3.00,
235815.00,2750.00,0.54,17.72,8.56,25.34,-75.77,0.56,20.99,10.73,30.15,-89.26,7000.00,7000.00,3.00,
236016.00,3000.00,0.66,21.09,10.21,30.18,-90.25,0.56,19.76,10.25,28.44,-83.95,6700.00,7000.00,3.00,
236114.00,3250.00,1.03,31.75,15.38,45.42,-135.82,0.67,23.26,12.24,33.52,-98.63,5898.03,6000.00,3.00,
236212.00,3500.00,0.58,18.00,8.75,25.77,-77.08,0.75,26.88,14.30,38.83,-113.70,5388.23,5500.00,3.00,
236310.00,3750.00,0.81,25.09,12.20,35.85,-107.22,0.60,21.26,11.38,30.73,-89.59,5190.86,5300.00,3.00,
278403.00,1500.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.01,-0.12,-0.07,-0.16,7000.00,7000.00,4.00,
278501.00,1750.00,0.42,17.29,9.44,25.74,-70.97,nan,nan,nan,nan,nan,7000.00,7000.00,4.00,
278643.00,2000.00,0.46,18.02,9.86,26.92,-74.20,0.38,12.22,6.70,18.38,-50.47,7000.00,7000.00,4.00,
278741.00,2250.00,0.53,19.73,10.83,29.57,-81.46,0.45,16.28,8.95,24.53,-67.20,7000.00,7000.00,4.00,
278838.00,2500.00,0.41,13.59,7.44,20.32,-55.95,0.42,16.50,9.10,25.01,-68.30,7000.00,7000.00,4.00,
278935.00,2750.00,0.42,14.81,8.10,22.19,-61.04,0.42,16.58,9.19,25.24,-68.68,7000.00,7000.00,4.00,
279033.00,3000.00,0.32,10.80,5.92,16.20,-44.57,0.52,19.52,10.92,29.86,-80.94,6600.00,7000.00,4.00,
279131.00,3250.00,0.36,11.76,6.44,17.63,-48.51,0.34,12.61,7.10,19.35,-52.24,5840.41,6000.00,4.00,
279229.00,3500.00,0.60,19.39,10.64,29.10,-80.04,0.43,16.16,9.13,24.84,-66.85,5333.82,5500.00,4.00,
279327.00,3750.00,0.51,17.33,9.49,25.99,-71.50,0.39,14.60,8.27,22.42,-60.06,5143.73,5300.00,4.00,
326148.00,1500.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.06,-0.03,-0.10,7000.00,7000.00,5.00,
326245.00,1750.00,0.31,13.10,7.61,20.85,-53.30,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,
326342.00,2000.00,0.24,9.61,5.57,15.32,-39.18,0.29,9.78,5.61,15.64,-39.96,7000.00,7000.00,5.00,
326439.00,2250.00,0.43,15.66,9.05,24.99,-63.90,0.32,12.05,6.91,19.30,-49.25,7000.00,7000.00,5.00,
326589.00,2500.00,0.30,10.35,5.98,16.52,-42.25,0.29,11.82,6.77,19.01,-48.31,7000.00,7000.00,5.00,
326686.00,2750.00,0.34,11.95,6.90,19.09,-48.82,0.29,11.99,6.85,19.32,-48.95,7000.00,7000.00,5.00,
326783.00,3000.00,0.41,13.78,7.95,22.01,-56.28,0.33,12.65,7.24,20.41,-51.60,6500.00,7000.00,5.00,
326881.00,3250.00,0.33,10.80,6.21,17.23,-44.08,0.31,12.04,6.91,19.45,-49.01,5771.07,6000.00,5.00,
326979.00,3500.00,0.30,9.97,5.73,15.93,-40.73,0.28,11.02,6.32,17.80,-44.68,5258.13,5500.00,5.00,
327077.00,3750.00,0.53,18.04,10.38,28.82,-73.58,0.33,12.74,7.25,20.55,-51.42,5087.00,5300.00,5.00,
376914.00,1500.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.02,-0.06,-0.05,-0.01,7000.00,7000.00,6.00,
377012.00,1750.00,0.24,10.81,6.06,17.82,-43.09,nan,nan,nan,nan,nan,7000.00,7000.00,6.00,
377110.00,2000.00,0.23,8.73,4.86,14.42,-34.88,0.60,28.56,16.57,46.97,-113.51,7000.00,7000.00,6.00,
377208.00,2250.00,0.31,10.83,5.97,17.89,-43.29,0.24,10.22,5.74,16.65,-40.14,7000.00,7000.00,6.00,
377306.00,2500.00,0.30,10.38,5.70,17.16,-41.51,0.22,9.41,5.21,15.30,-36.75,7000.00,7000.00,6.00,
377473.00,2750.00,0.19,6.39,3.51,10.58,-25.60,0.21,9.59,5.28,15.60,-37.38,7000.00,7000.00,6.00,
377570.00,3000.00,0.31,10.51,5.75,17.39,-42.07,0.24,10.05,5.53,16.39,-39.15,6400.00,7000.00,6.00,
377667.00,3250.00,0.00,0.01,0.01,0.02,-0.06,0.29,12.25,6.74,19.97,-47.51,5694.99,6000.00,6.00,
377765.00,3500.00,0.00,0.01,0.01,0.02,-0.06,0.22,9.42,5.22,15.36,-36.42,5180.63,5500.00,6.00,
377864.00,3750.00,0.00,0.03,0.02,0.05,-0.13,0.26,11.08,6.17,18.04,-42.62,5017.54,5300.00,6.00,
422371.00,1500.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.06,-0.05,-0.06,7000.00,7000.00,7.00,
422469.00,1750.00,0.19,9.19,5.31,15.57,-35.51,nan,nan,nan,nan,nan,7000.00,7000.00,7.00,
422568.00,2000.00,0.19,7.74,4.45,13.12,-29.93,0.10,3.85,2.19,6.53,-14.89,7000.00,7000.00,7.00,
422666.00,2250.00,0.27,9.78,5.62,16.61,-37.89,0.24,9.86,5.61,16.74,-38.13,7000.00,7000.00,7.00,
422764.00,2500.00,0.23,8.11,4.66,13.77,-31.43,0.20,8.97,5.11,15.20,-34.56,7000.00,7000.00,7.00,
422863.00,2750.00,0.31,11.04,6.33,18.76,-42.79,0.20,9.05,5.14,15.31,-34.71,7000.00,7000.00,7.00,
422980.00,3000.00,0.27,9.47,5.42,16.08,-36.69,0.16,6.83,3.89,11.56,-26.13,6300.00,7000.00,7.00,
423079.00,3250.00,0.23,8.03,4.60,13.64,-31.12,0.21,8.83,5.06,14.93,-33.67,5614.48,6000.00,7.00,
423178.00,3500.00,0.24,8.20,4.68,13.91,-31.75,0.20,8.85,5.07,14.93,-33.59,5100.10,5500.00,7.00,
423277.00,3750.00,0.35,11.85,6.78,20.11,-45.91,0.23,9.95,5.69,16.72,-37.47,4944.18,5300.00,7.00,
700931.00,1500.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.01,-0.03,-0.02,-0.02,7000.00,7000.00,8.00,
701029.00,1750.00,0.23,8.40,4.95,11.84,-27.04,nan,nan,nan,nan,nan,7000.00,7000.00,8.00,
701127.00,2000.00,0.24,8.06,4.70,11.35,-29.55,0.08,2.69,1.52,3.79,-10.52,7000.00,7000.00,8.00,
701226.00,2250.00,0.31,10.38,6.02,14.62,-40.60,0.25,8.82,4.94,12.43,-34.38,7000.00,7000.00,8.00,
701324.00,2500.00,0.27,9.18,5.29,12.92,-35.88,0.19,7.37,4.06,10.40,-28.62,7000.00,7000.00,8.00,
701460.00,2750.00,0.24,8.09,4.65,11.40,-31.65,0.20,7.88,4.28,11.14,-30.52,7000.00,7000.00,8.00,
701557.00,3000.00,0.23,7.71,4.43,10.86,-30.16,0.24,8.73,4.70,12.36,-33.69,6200.00,7000.00,8.00,
701654.00,3250.00,0.27,9.12,5.22,12.86,-35.71,0.21,7.75,4.16,10.99,-29.78,5537.05,6000.00,8.00,
701751.00,3500.00,0.31,10.50,5.99,14.78,-41.06,0.20,7.57,4.07,10.75,-28.98,5023.61,5500.00,8.00,
701849.00,3750.00,0.25,8.50,4.84,11.97,-33.22,0.20,7.76,4.20,11.06,-29.63,4874.90,5300.00,8.00,
756518.00,1500.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.04,-0.02,-0.05,7000.00,7000.00,9.00,
