time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep, datapoints1, datapoints2, 
890723.00,1500.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6417.73,7000.00,1.00,0.00,0.00,
890832.00,1750.00,1.51,45.86,25.53,68.52,-187.25,1.51,45.91,25.19,68.52,-199.92,5384.36,6000.00,1.00,682.00,23.00,
890941.00,2000.00,1.51,45.85,25.43,68.52,-188.44,1.51,45.91,25.07,68.50,-199.92,4944.15,5500.00,1.00,356.00,231.00,
891066.00,2250.00,1.51,45.87,25.34,68.52,-199.92,1.36,45.91,24.86,68.57,-199.92,4746.14,5300.00,1.00,89.00,618.00,
891177.00,2500.00,1.51,45.89,25.26,68.52,-199.92,1.31,45.95,24.64,68.65,-199.92,4745.02,5300.00,1.00,135.00,424.00,
891287.00,2750.00,1.51,45.83,25.34,68.52,-199.92,1.29,45.95,24.36,68.81,-199.92,4604.74,5300.00,1.00,68.00,365.00,
891397.00,3000.00,1.51,45.87,25.35,68.52,-199.92,1.35,46.06,24.10,69.04,-199.92,4990.97,5300.00,1.00,107.00,316.00,
891508.00,3250.00,1.51,45.88,25.32,68.52,-199.92,1.37,46.17,23.86,69.30,-199.92,4801.66,5300.00,1.00,62.00,465.00,
891618.00,3500.00,1.51,45.82,25.27,68.52,-199.92,1.33,46.35,23.52,69.62,-199.92,4695.73,5300.00,1.00,67.00,295.00,
891728.00,3750.00,1.51,45.86,25.19,68.52,-199.92,1.35,46.57,23.22,69.86,-199.92,4819.31,5300.00,1.00,72.00,270.00,
891839.00,4000.00,nan,nan,nan,nan,nan,1.39,46.71,23.14,70.09,-199.92,5350.69,5300.00,1.00,0.00,161.00,
931487.00,1500.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6417.73,7000.00,2.00,0.00,0.00,
931596.00,1750.00,1.48,48.76,24.21,73.34,-199.92,1.51,48.00,23.63,73.34,-199.92,5431.98,6000.00,2.00,655.00,22.00,
931705.00,2000.00,1.50,48.48,24.03,73.34,-199.92,1.50,47.98,23.56,73.55,-199.92,4994.55,5500.00,2.00,358.00,146.00,
931834.00,2250.00,1.51,48.30,23.94,73.34,-199.92,1.33,47.93,23.42,74.07,-199.92,4797.42,5300.00,2.00,80.00,691.00,
931946.00,2500.00,1.51,48.22,23.93,73.34,-199.92,1.23,47.85,23.13,74.30,-199.92,4796.30,5300.00,2.00,131.00,391.00,
932057.00,2750.00,1.51,48.19,23.80,73.34,-199.92,1.21,47.86,23.07,74.35,-199.92,4656.02,5300.00,2.00,88.00,372.00,
932168.00,3000.00,1.51,48.16,23.84,73.34,-199.92,1.28,47.92,23.10,74.93,-199.92,5042.25,5300.00,2.00,59.00,307.00,
932278.00,3250.00,1.51,48.08,23.81,73.34,-199.92,1.30,48.01,23.11,75.28,-199.92,4852.94,5300.00,2.00,93.00,479.00,
932388.00,3500.00,1.51,48.06,23.76,73.34,-199.92,1.26,48.17,23.09,75.61,-199.92,4747.01,5300.00,2.00,55.00,297.00,
932498.00,3750.00,1.51,48.03,23.78,73.34,-199.92,1.35,48.52,23.22,76.00,-199.92,4870.59,5300.00,2.00,71.00,431.00,
932609.00,4000.00,nan,nan,nan,nan,nan,1.36,48.68,23.30,76.17,-199.92,5350.69,5300.00,2.00,0.00,197.00,
977284.00,1500.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6417.73,7000.00,3.00,0.00,0.00,
977393.00,1750.00,1.38,48.91,24.60,79.75,-199.92,1.51,48.72,24.19,79.98,-199.92,5469.75,6000.00,3.00,683.00,23.00,
977541.00,2000.00,1.46,48.82,24.47,79.75,-199.92,1.48,48.76,24.16,80.04,-199.92,5040.30,5500.00,3.00,200.00,126.00,
977652.00,2250.00,1.51,48.83,24.38,79.75,-199.92,1.28,48.84,24.10,80.12,-199.92,4848.70,5300.00,3.00,123.00,527.00,
977762.00,2500.00,1.51,48.75,24.32,79.75,-199.92,1.21,48.92,23.94,80.17,-199.92,4847.58,5300.00,3.00,72.00,586.00,
