OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
3757.00,1970-01-01 00:00:03.757,0.00,0.00,0.00,0.25,0.00,0.00,1.00,0.00,0.00,12.59,0.00,0.00,0.00,-0.66,0.05,0.00,10.00,0.00
4757.00,1970-01-01 00:00:04.757,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.57,0.00,0.00,0.00,-0.66,0.05,0.00,10.00,0.00
5757.00,1970-01-01 00:00:05.757,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.52,0.00,0.00,0.00,-0.63,0.05,0.00,10.00,0.00
6768.00,1970-01-01 00:00:06.768,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.45,0.00,0.00,0.00,-0.60,0.05,0.00,10.00,0.00
7768.00,1970-01-01 00:00:07.768,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.51,0.00,0.00,0.00,-0.64,0.01,0.00,10.00,0.00
8818.00,1970-01-01 00:00:08.818,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.47,0.00,0.00,0.00,-0.59,0.05,0.00,10.00,0.00
9818.00,1970-01-01 00:00:09.818,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.53,0.00,0.00,0.00,-0.63,0.05,0.00,10.00,0.00
10819.00,1970-01-01 00:00:10.819,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.58,0.00,0.00,0.00,-0.66,0.05,0.00,10.00,0.00
11833.00,1970-01-01 00:00:11.833,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.40,0.00,0.00,0.00,-0.69,0.03,0.00,10.00,0.00
12921.00,1970-01-01 00:00:12.921,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.47,0.00,0.00,0.00,-0.61,0.05,0.00,10.00,0.00
13921.00,1970-01-01 00:00:13.921,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.61,0.00,0.00,0.00,-0.64,0.05,0.00,10.00,0.00
14945.00,1970-01-01 00:00:14.945,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.44,0.00,0.00,0.00,-0.63,0.05,0.00,10.00,0.00
15945.00,1970-01-01 00:00:15.945,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.60,0.00,0.00,0.00,-0.68,0.05,0.00,10.00,0.00
16979.00,1970-01-01 00:00:16.979,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.60,0.00,0.00,0.00,-0.67,0.05,0.00,10.00,0.00
17996.00,1970-01-01 00:00:17.996,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.58,0.00,0.00,0.00,-0.67,0.01,0.00,10.00,0.00
18996.00,1970-01-01 00:00:18.996,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.52,0.00,0.00,0.00,-0.65,0.05,0.00,10.00,0.00
20026.00,1970-01-01 00:00:20.026,0.00,0.00,0.00,1.47,0.00,1.00,1.00,0.00,0.00,12.60,0.00,0.00,0.00,-0.64,0.02,0.00,10.00,0.00
21007.00,1970-01-01 00:00:21.007,0.00,0.00,0.00,1.47,1.00,1.00,1.00,0.00,0.00,12.57,0.00,0.00,0.00,-0.65,0.03,0.00,10.00,0.00
21107.00,1970-01-01 00:00:21.107,0.00,0.00,0.00,1.47,1.00,1.00,1.00,0.00,0.00,9.26,0.00,0.00,0.00,-0.61,0.03,0.00,10.00,0.00
21207.00,1970-01-01 00:00:21.207,0.00,0.00,0.00,1.47,1.00,1.00,1.00,0.00,0.00,7.11,0.00,0.00,0.00,-0.65,-0.03,0.00,10.00,0.00
21338.00,1970-01-01 00:00:21.338,0.00,0.00,0.00,1.47,1.00,1.00,1.00,0.00,0.00,7.12,0.00,0.00,0.00,-0.54,-0.03,0.00,10.00,0.00
21508.00,1970-01-01 00:00:21.508,0.00,0.00,5.59,1.47,1.00,1.00,1.00,0.00,0.01,10.48,0.00,0.00,0.00,-0.73,0.04,0.00,7898.21,-20.00
21707.00,1970-01-01 00:00:21.707,0.00,0.00,1821.96,1.47,0.00,1.00,1.00,0.00,0.03,11.26,0.00,0.00,0.00,-0.63,0.04,0.00,5914.77,-59.00
21899.00,1970-01-01 00:00:21.899,1.80,0.12,1787.66,1.47,0.00,1.00,1.00,3.84,0.04,12.34,0.00,0.00,0.00,-0.63,0.05,0.00,6001.77,-58.00
22058.00,1970-01-01 00:00:22.058,1.80,0.12,1752.44,0.92,0.00,1.00,1.00,2.63,0.05,12.41,0.00,0.00,0.00,-0.66,0.05,0.00,6091.08,-56.00
