time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, t_inj_1, t_inj_2, sweep,
45549.00,0.00,0.25,52.30,0.00,68.92,nan,nan,nan,nan,6627.42,7000.00,1.00,
45643.00,250.00,0.26,52.27,0.00,68.87,nan,nan,nan,nan,6629.29,7000.00,1.00,
45737.00,500.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
45832.00,750.00,0.26,52.27,0.00,68.79,nan,nan,nan,nan,6628.95,7000.00,1.00,
45921.00,1000.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
46006.00,1250.00,0.26,52.27,0.00,68.79,nan,nan,nan,nan,6630.98,7000.00,1.00,
46213.00,1500.00,nan,nan,nan,nan,1.47,52.76,0.00,69.15,7000.00,nan,1.00,
46404.00,1750.00,nan,nan,nan,nan,1.47,52.84,0.00,69.13,6000.00,nan,1.00,
46701.00,2000.00,0.26,52.38,0.00,68.79,0.89,52.95,0.00,69.14,5132.14,5500.00,1.00,
46894.00,2250.00,0.27,52.54,0.00,68.82,0.32,53.31,0.00,69.31,4933.05,31070.83,1.00,
47086.00,2500.00,0.27,52.51,0.00,68.85,0.32,53.55,0.00,69.77,4933.16,31056.96,1.00,
47279.00,2750.00,0.27,52.53,0.00,68.87,0.29,55.03,0.00,70.30,4933.57,31066.56,1.00,
47463.00,3000.00,0.27,52.54,0.00,68.93,0.27,58.10,0.00,70.88,4933.81,31069.27,1.00,
47549.00,3250.00,0.26,52.57,0.00,69.00,0.27,60.11,0.00,71.50,4932.10,31083.66,1.00,
47634.00,3500.00,0.26,52.57,0.00,69.06,0.27,60.99,0.00,72.05,4932.00,31087.49,1.00,
47721.00,3750.00,0.27,52.61,0.00,69.11,0.27,62.17,0.00,72.68,4934.36,31103.56,1.00,
47806.00,4000.00,nan,nan,nan,nan,0.27,62.46,0.00,73.19,5300.00,nan,1.00,
47899.00,4250.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,1.00,
47985.00,4500.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,1.00,
48070.00,4750.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,1.00,
48381.00,5000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
48572.00,5250.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
48763.00,5500.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
48954.00,5750.00,nan,nan,nan,nan,nan,nan,nan,nan,4501.00,4501.00,1.00,
49146.00,6000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
