time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, lambda_2,oil_temp2, air_temp2, water_temp2, t_inj_1, t_inj_2, sweep,
37585.00,0.00,0.25,51.07,0.00,68.35,nan,nan,nan,nan,6925.26,7000.00,1.00,
37671.00,250.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
37757.00,500.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
37843.00,750.00,0.25,51.05,0.00,68.27,nan,nan,nan,nan,6925.30,7000.00,1.00,
37928.00,1000.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
38013.00,1250.00,0.26,51.08,0.00,68.27,nan,nan,nan,nan,6925.69,7000.00,1.00,
38134.00,1500.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
38219.00,1750.00,0.26,51.06,0.00,68.27,1.47,51.14,0.00,68.13,5925.89,6046.77,1.00,
38304.00,2000.00,0.26,51.06,0.00,68.27,1.47,51.24,0.00,67.88,5425.85,5546.77,1.00,
38389.00,2250.00,0.26,51.08,0.00,68.27,1.43,51.69,0.00,68.00,5225.86,5342.53,1.00,
38475.00,2500.00,0.26,51.08,0.00,68.27,1.24,52.26,0.00,68.18,5225.83,5324.39,1.00,
38560.00,2750.00,0.26,51.13,0.00,68.27,1.21,52.67,0.00,68.47,5225.74,5321.28,1.00,
38646.00,3000.00,0.26,51.14,0.00,68.27,1.25,52.90,0.00,68.78,5225.67,5325.44,1.00,
38732.00,3250.00,0.26,51.11,0.00,68.27,1.32,53.14,0.00,69.02,5225.57,5332.22,1.00,
38818.00,3500.00,0.26,51.23,0.00,68.27,1.24,53.49,0.00,69.33,5225.71,5323.77,1.00,
38904.00,3750.00,1.45,51.16,0.00,68.27,1.29,54.76,0.00,69.60,5344.65,5328.64,1.00,
38990.00,4000.00,nan,nan,nan,nan,1.41,54.93,0.00,69.82,5300.00,5341.03,1.00,
39076.00,4250.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,1.00,
39161.00,4500.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,1.00,
39269.00,4750.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,1.00,
39353.00,5000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
39438.00,5250.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
39522.00,5500.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
39606.00,5750.00,nan,nan,nan,nan,nan,nan,nan,nan,4501.00,4501.00,1.00,
39692.00,6000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
183889.00,0.00,0.54,51.05,0.00,68.16,nan,nan,nan,nan,6879.46,7000.00,2.00,
183974.00,250.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
184060.00,500.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
184146.00,750.00,0.87,51.07,0.00,67.87,nan,nan,nan,nan,6925.30,7000.00,2.00,
184232.00,1000.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
184318.00,1250.00,0.91,51.08,0.00,67.85,nan,nan,nan,nan,6925.69,7000.00,2.00,
184457.00,1500.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
184541.00,1750.00,0.69,51.03,0.00,67.89,1.47,51.15,0.00,67.86,5895.28,6093.54,2.00,
184626.00,2000.00,0.73,51.04,0.00,67.85,1.47,51.23,0.00,67.60,5399.15,5593.54,2.00,
184710.00,2250.00,0.82,51.08,0.00,67.87,1.39,51.70,0.00,67.76,5225.86,5381.75,2.00,
184796.00,2500.00,0.71,51.07,0.00,67.97,1.22,52.30,0.00,67.92,5197.30,5346.57,2.00,
184882.00,2750.00,0.88,51.08,0.00,67.86,1.18,52.69,0.00,68.21,5225.74,5321.28,2.00,
184968.00,3000.00,0.92,51.10,0.00,67.84,1.25,52.95,0.00,68.51,5225.67,5350.94,2.00,
185054.00,3250.00,0.74,51.12,0.00,67.96,1.31,53.30,0.00,68.73,5199.73,5363.22,2.00,
185140.00,3500.00,0.97,51.14,0.00,67.81,1.22,54.12,0.00,69.03,5225.71,5345.88,2.00,
