 time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, t_inj_1, t_inj_2, sweep,
1184716.00,0.00,1.51,47.17,22.24,68.01,nan,nan,nan,nan,7051.28,7000.00,1.00,
1184810.00,250.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
1184904.00,500.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
1184998.00,750.00,1.51,47.20,22.28,67.95,nan,nan,nan,nan,7051.28,7000.00,1.00,
1185092.00,1000.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
1185246.00,1250.00,1.51,47.20,22.37,67.95,nan,nan,nan,nan,7051.28,7000.00,1.00,
1185332.00,1500.00,nan,nan,nan,nan,1.51,47.20,23.71,67.69,7000.00,7051.28,1.00,
1185418.00,1750.00,1.25,47.17,22.49,67.88,1.51,47.20,23.71,67.75,6025.42,6051.28,1.00,
1185503.00,2000.00,1.23,47.14,22.64,67.78,1.51,47.20,23.77,67.71,5523.29,5551.28,1.00,
1185589.00,2250.00,1.31,47.11,22.86,67.71,1.39,47.24,24.03,67.75,5331.16,5339.30,1.00,
1185675.00,2500.00,1.34,47.13,23.04,67.72,1.29,47.59,24.36,67.95,5334.25,5329.15,1.00,
1185761.00,2750.00,1.34,47.07,23.09,67.68,1.27,47.58,24.54,68.23,5334.41,5326.57,1.00,
1185847.00,3000.00,1.42,47.13,23.13,67.69,1.32,48.21,24.76,68.54,5341.66,5332.31,1.00,
1185933.00,3250.00,1.51,47.07,23.30,67.71,1.34,49.23,24.91,68.79,5350.69,5334.21,1.00,
1186019.00,3500.00,1.49,47.14,23.39,67.67,1.31,49.33,25.19,69.01,5349.46,5331.06,1.00,
1186105.00,3750.00,1.43,47.11,23.46,67.69,1.34,48.82,25.47,69.27,5342.99,5334.42,1.00,
1186191.00,4000.00,nan,nan,nan,nan,1.38,48.61,25.62,69.58,5300.00,5338.43,1.00,
1186276.00,4250.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,1.00,
1186418.00,4500.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,1.00,
1186503.00,4750.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,1.00,
1186588.00,5000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
1186672.00,5250.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
1186758.00,5500.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
1186843.00,5750.00,nan,nan,nan,nan,nan,nan,nan,nan,4501.00,4501.00,1.00,
1186929.00,6000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,1.00,
1227218.00,0.00,1.51,48.13,23.35,70.52,nan,nan,nan,nan,7102.56,7000.00,2.00,
1227304.00,250.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
1227390.00,500.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
1227476.00,750.00,1.51,48.13,23.37,70.46,nan,nan,nan,nan,7102.56,7000.00,2.00,
1227561.00,1000.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
1227647.00,1250.00,1.51,48.13,23.39,70.47,nan,nan,nan,nan,7102.56,7000.00,2.00,
1227815.00,1500.00,nan,nan,nan,nan,1.51,47.20,23.71,67.69,7000.00,7102.56,2.00,
1227899.00,1750.00,1.19,48.12,23.59,70.56,1.51,47.20,23.71,67.75,6044.00,6102.56,2.00,
1227984.00,2000.00,1.20,48.01,23.72,70.45,1.51,48.16,24.68,70.24,5542.83,5602.56,2.00,
1228070.00,2250.00,1.28,47.90,23.85,70.31,1.36,48.65,25.10,70.70,5358.86,5375.10,2.00,
1228156.00,2500.00,1.33,47.95,24.04,70.45,1.26,49.07,25.53,70.89,5366.91,5354.86,2.00,
1228242.00,2750.00,1.32,48.08,24.29,70.87,1.23,49.35,25.82,71.18,5366.05,5349.63,2.00,
1228327.00,3000.00,1.39,47.88,24.03,70.08,1.28,50.44,26.15,71.43,5380.57,5360.80,2.00,
1228413.00,3250.00,1.44,48.13,24.43,70.89,1.30,51.10,26.40,71.67,5395.02,5364.09,2.00,
1228499.00,3500.00,1.42,48.00,24.35,70.31,1.27,51.26,26.61,71.94,5391.14,5358.48,2.00,
1228584.00,3750.00,1.40,47.95,24.37,70.13,1.31,51.17,26.75,72.32,5382.80,5365.33,2.00,
1228670.00,4000.00,nan,nan,nan,nan,1.35,51.15,26.71,72.51,5300.00,5373.43,2.00,
1228755.00,4250.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,2.00,
1228901.00,4500.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,2.00,
1228985.00,4750.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,2.00,
1229070.00,5000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,2.00,
1229154.00,5250.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,2.00,
1229240.00,5500.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,2.00,
1229325.00,5750.00,nan,nan,nan,nan,nan,nan,nan,nan,4501.00,4501.00,2.00,
1229411.00,6000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,2.00,
1266010.00,0.00,1.51,49.15,24.02,72.75,nan,nan,nan,nan,7153.84,7000.00,3.00,
1266096.00,250.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
1266181.00,500.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
1266267.00,750.00,1.51,49.49,24.20,73.42,nan,nan,nan,nan,7153.84,7000.00,3.00,
1266353.00,1000.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
1266492.00,1250.00,1.51,49.43,24.18,73.33,nan,nan,nan,nan,7153.84,7000.00,3.00,
1266581.00,1500.00,nan,nan,nan,nan,1.51,47.20,23.71,67.69,7000.00,7153.84,3.00,
1266668.00,1750.00,1.12,49.41,24.38,73.54,1.51,47.20,23.71,67.75,6056.17,6153.84,3.00,
1266757.00,2000.00,1.16,49.31,24.52,73.50,1.51,49.53,25.41,73.80,5558.77,5653.70,3.00,
1266846.00,2250.00,1.25,49.03,24.56,73.05,1.32,49.96,25.57,73.74,5383.81,5406.87,3.00,
1266936.00,2500.00,1.29,49.23,24.86,73.57,1.23,50.65,25.75,73.88,5396.19,5377.63,3.00,
1267025.00,2750.00,1.28,49.33,25.05,73.95,1.20,50.88,25.84,74.18,5394.00,5369.53,3.00,
1267114.00,3000.00,1.34,49.05,24.78,73.05,1.25,51.70,26.03,74.50,5414.70,5385.99,3.00,
