time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep, datapoints1, datapoints2
29872,1500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6417.73,8025.6,1,0,0
29982,1750,1.24,51.49,28.07,61.25,-140.49,1.25,51.48,26.73,61.25,-199.92,6210.72,7282,1,1565,223
30093,2000,1.02,51.34,27.58,61.25,-199.92,0.92,51.6,26.47,61.25,-199.92,5969.06,7033.59,1,323,1305
30203,2250,1.07,51.31,27.44,61.25,-199.92,0.95,51.59,25.91,61.25,-199.92,5890.56,5694.05,1,206,986
30313,2500,1.03,51.25,27.34,61.25,-199.92,1.06,51.65,25.53,61.24,-199.92,5961.38,5714.76,1,123,861
30424,2750,1.1,51.25,27.27,61.25,-199.92,1.06,51.86,25.24,61.42,-199.92,5735.29,5677.04,1,131,785
30534,3000,1.17,51.25,27.23,61.25,-199.92,1.08,52.04,25.08,61.81,-199.92,6323.38,5816.78,1,89,574
30644,3250,1.13,51.25,27.14,61.25,-199.92,1.06,52.13,24.96,62.17,-199.92,5915.5,5827.79,1,122,647
30755,3500,1.17,51.33,27.09,61.25,-199.92,1.02,52.19,24.82,62.48,-199.92,6009.02,5751.43,1,49,528
30865,3750,1.16,51.36,27.01,61.25,-199.92,1.04,52.13,24.86,62.82,-199.92,6068.57,5802.56,1,83,668
31048,4000,1.12,51.35,26.98,61.25,-199.92,1.05,52.11,24.84,63.06,-199.92,5776.91,5913.87,1,4,276
203597,1500,nan,nan,nan,nan,nan,1.51,51.14,27.95,63.58,-199.92,6417.73,8025.6,2,0,7
203707,1750,1.19,51.04,28.98,63.58,-135.46,1.09,51.15,29.11,63.58,-199.92,6210.72,7282,2,1489,118
203818,2000,1,51.03,28.62,63.58,-199.92,0.86,51.24,28.87,63.58,-199.92,5969.06,7033.59,2,259,1202
203928,2250,1.05,51.08,28.53,63.58,-199.92,0.92,51.57,28.39,63.58,-199.92,5890.56,5694.05,2,244,956
204039,2500,1.06,51.19,28.39,63.58,-199.92,1.06,51.69,28.08,63.58,-199.92,5961.38,5714.76,2,117,777
204149,2750,1.05,51.2,28.37,63.58,-199.92,1.06,51.68,27.86,63.58,-199.92,5735.29,5677.04,2,135,657
204259,3000,1.12,51.16,28.28,63.58,-199.92,1.06,51.68,27.74,64.3,-199.92,6323.38,5816.78,2,127,660
204369,3250,1.09,51.15,28.24,63.58,-199.92,1.05,51.66,27.61,64.75,-199.92,5915.5,5827.79,2,112,504
204523,3500,1.15,51.15,28.22,63.58,-199.92,1.03,51.66,27.5,65.07,-199.92,6009.02,5751.43,2,95,584
204632,3750,1.2,51.15,28.09,63.58,-199.92,1.05,51.67,27.52,65.41,-199.92,6068.57,5802.56,2,41,584
204741,4000,1.13,51.15,28.09,63.58,-199.92,1.1,51.63,27.55,65.64,-199.92,5776.91,5913.87,2,47,272
