OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle, burning
801.00,2019-06-17 18:46:24.801,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.39,0.00,0.00,0.00,0.00,-0.42,0.01,17.00,10.00,0.00,0.00
2129.00,2019-06-17 18:46:26.129,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.39,36.99,39.01,-44.77,27.10,-0.43,0.01,17.00,10.00,0.00,0.00
2324.00,2019-06-17 18:46:26.324,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.35,36.99,39.01,-44.77,27.10,-0.41,-0.09,17.00,10.00,0.00,0.00
2424.00,2019-06-17 18:46:26.424,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.32,36.86,39.09,-43.06,27.10,-0.41,0.01,17.00,10.00,0.00,0.00
2524.00,2019-06-17 18:46:26.524,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.30,36.86,39.09,-43.06,27.10,-0.40,0.00,17.00,10.00,0.00,0.00
2624.00,2019-06-17 18:46:26.624,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.27,36.86,39.09,-43.06,27.20,-0.43,0.00,17.00,10.00,0.00,0.00
2724.00,2019-06-17 18:46:26.724,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.31,36.89,38.98,-42.87,27.20,-0.43,0.01,17.00,10.00,0.00,0.00
2824.00,2019-06-17 18:46:26.824,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.32,36.89,38.98,-42.87,27.20,-0.39,0.02,17.00,10.00,0.00,0.00
2924.00,2019-06-17 18:46:26.924,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.22,36.89,39.05,-42.51,27.20,-0.42,0.01,17.00,10.00,0.00,0.00
3024.00,2019-06-17 18:46:27.024,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.29,36.89,39.05,-42.51,27.14,-0.42,0.01,17.00,10.00,0.00,0.00
3124.00,2019-06-17 18:46:27.124,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.33,36.89,39.05,-42.51,27.14,-0.45,0.01,17.00,10.00,0.00,0.00
3224.00,2019-06-17 18:46:27.224,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.17,36.75,39.16,-42.09,27.14,-0.42,0.01,17.00,10.00,0.00,0.00
3324.00,2019-06-17 18:46:27.324,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.30,36.75,39.16,-42.09,27.14,-0.41,0.02,17.00,10.00,0.00,0.00
3424.00,2019-06-17 18:46:27.424,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.27,36.79,39.16,-41.94,27.16,-0.42,0.01,17.00,10.00,0.00,0.00
3524.00,2019-06-17 18:46:27.524,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.17,36.79,39.16,-41.94,27.16,-0.36,0.00,17.00,10.00,0.00,0.00
3624.00,2019-06-17 18:46:27.624,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.27,36.79,39.16,-41.94,27.16,-0.39,0.01,17.00,10.00,0.00,0.00
3724.00,2019-06-17 18:46:27.724,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.24,36.75,39.12,-41.56,27.16,-0.41,0.01,17.00,10.00,0.00,0.00
3824.00,2019-06-17 18:46:27.824,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.19,36.75,39.12,-41.56,27.23,-0.41,0.00,17.00,10.00,0.00,0.00
3924.00,2019-06-17 18:46:27.924,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.21,36.75,39.16,-41.56,27.23,-0.44,0.00,17.00,10.00,0.00,0.00
4024.00,2019-06-17 18:46:28.024,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.27,36.74,39.16,-41.30,27.23,-0.40,-0.00,17.00,10.00,0.00,0.00
4124.00,2019-06-17 18:46:28.124,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.15,36.74,39.16,-41.30,27.23,-0.41,0.01,17.00,10.00,0.00,0.00
4224.00,2019-06-17 18:46:28.224,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.19,36.79,39.17,-40.97,27.26,-0.42,-0.00,17.00,10.00,0.00,0.00
4324.00,2019-06-17 18:46:28.324,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.29,36.79,39.17,-40.97,27.26,-0.41,0.01,17.00,10.00,0.00,0.00
4424.00,2019-06-17 18:46:28.424,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.11,36.79,39.22,-40.97,27.26,-0.43,0.00,17.00,10.00,0.00,0.00
4524.00,2019-06-17 18:46:28.524,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.23,36.75,39.22,-40.79,27.26,-0.41,0.00,17.00,10.00,0.00,0.00
4624.00,2019-06-17 18:46:28.624,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.24,36.75,39.22,-40.79,27.17,-0.41,0.01,17.00,10.00,0.00,0.00
4724.00,2019-06-17 18:46:28.724,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.11,36.67,39.23,-40.45,27.17,-0.37,0.00,17.00,10.00,0.00,0.00
4824.00,2019-06-17 18:46:28.824,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.23,36.67,39.23,-40.45,27.17,-0.41,0.01,17.00,10.00,0.00,0.00
4924.00,2019-06-17 18:46:28.924,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.21,36.67,39.33,-40.45,27.17,-0.43,-0.00,17.00,10.00,0.00,0.00
5024.00,2019-06-17 18:46:29.024,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.17,36.68,39.33,-40.28,27.23,-0.41,0.00,17.00,10.00,0.00,0.00
5124.00,2019-06-17 18:46:29.124,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.18,36.68,39.33,-40.28,27.23,-0.44,-0.00,17.00,10.00,0.00,0.00
5224.00,2019-06-17 18:46:29.224,0.00,0.00,0.00,0.80,1.00,0.00,1.00,0.00,0.00,8.69,36.68,39.19,-40.28,27.23,-0.40,0.04,7.00,10.00,0.00,1.00
5324.00,2019-06-17 18:46:29.324,0.00,0.00,0.00,0.80,1.00,0.00,1.00,0.00,0.00,9.86,36.67,39.19,-40.00,27.23,-0.44,-0.05,7.00,10.00,0.00,1.00
5424.00,2019-06-17 18:46:29.424,0.00,0.00,22.47,0.83,1.00,0.00,1.00,0.00,0.01,10.08,36.67,39.21,-40.00,27.19,-0.40,-0.04,7.00,8000.00,-20.00,1.00
5524.00,2019-06-17 18:46:29.524,0.00,0.00,1762.53,0.82,0.00,0.00,1.00,0.00,0.02,11.11,36.68,39.21,-39.63,27.19,-0.39,0.00,5.00,8000.00,-56.00,1.00
5624.00,2019-06-17 18:46:29.624,0.00,0.00,2034.76,0.83,0.00,0.00,1.00,0.00,0.03,12.07,36.68,39.21,-39.63,27.19,-0.42,0.01,5.00,8000.00,-71.00,1.00
5724.00,2019-06-17 18:46:29.724,0.00,0.00,1904.79,0.84,0.00,0.00,1.00,0.00,0.04,12.14,36.68,39.28,-39.63,27.19,-0.40,0.00,5.00,8000.00,-65.00,1.00
5824.00,2019-06-17 18:46:29.824,0.00,0.00,1833.60,0.84,0.00,0.00,1.00,0.00,0.05,12.14,36.72,39.28,-45.96,27.23,-0.42,-0.00,5.00,8000.00,-61.00,1.00
5924.00,2019-06-17 18:46:29.924,0.00,0.00,2176.52,0.84,0.00,0.00,1.00,0.00,0.06,12.13,36.72,39.21,-45.96,27.23,-0.38,-0.01,5.00,8000.00,-74.00,1.00
6024.00,2019-06-17 18:46:30.024,0.00,0.00,1988.63,0.83,0.00,0.00,1.00,0.00,0.08,12.18,36.59,39.21,-53.17,27.23,-0.41,0.01,5.00,8000.00,-69.00,1.00
6124.00,2019-06-17 18:46:30.124,0.00,0.00,1888.43,0.84,0.00,0.00,1.00,0.00,0.08,12.14,36.59,39.21,-53.17,27.23,-0.42,-0.01,5.00,8000.00,-63.00,1.00
6224.00,2019-06-17 18:46:30.224,0.00,0.00,1750.09,0.81,0.00,0.00,1.00,0.00,0.10,12.19,36.59,39.28,-53.17,27.13,-0.39,0.01,5.00,8000.00,-56.00,1.00
6324.00,2019-06-17 18:46:30.324,0.00,0.00,2041.34,0.80,0.00,0.00,1.00,0.00,0.11,12.16,36.63,39.28,-56.99,27.13,-0.45,-0.01,5.00,8000.00,-71.00,1.00
6424.00,2019-06-17 18:46:30.424,0.00,0.00,1949.54,0.80,0.00,0.00,1.00,0.00,0.12,12.17,36.63,39.21,-56.99,27.13,-0.40,-0.00,5.00,8000.00,-67.00,1.00
6524.00,2019-06-17 18:46:30.524,0.00,0.00,1838.94,0.80,0.00,0.00,1.00,0.00,0.13,12.17,36.63,39.21,-56.99,27.13,-0.40,0.00,5.00,8000.00,-61.00,1.00
6624.00,2019-06-17 18:46:30.624,0.00,0.00,1957.78,0.80,0.00,0.00,1.00,0.00,0.14,12.15,36.55,39.21,-58.88,27.16,-0.41,0.01,5.00,8000.00,-68.00,1.00
6724.00,2019-06-17 18:46:30.724,0.00,0.00,1982.78,0.82,0.00,0.00,1.00,0.00,0.16,12.21,36.55,39.27,-58.88,27.16,-0.42,-0.01,5.00,8000.00,-69.00,1.00
6824.00,2019-06-17 18:46:30.824,0.00,0.00,1836.58,0.84,0.00,0.00,1.00,0.00,0.16,12.16,36.61,39.27,-61.07,27.16,-0.43,-0.00,5.00,8000.00,-61.00,1.00
6924.00,2019-06-17 18:46:30.924,0.00,0.00,1762.48,0.84,0.00,0.00,1.00,0.00,0.18,12.19,36.61,39.26,-61.07,27.16,-0.39,0.01,5.00,8000.00,-56.00,1.00
7024.00,2019-06-17 18:46:31.024,0.00,0.00,2057.90,0.83,0.00,0.00,1.00,0.00,0.19,12.13,36.61,39.26,-61.07,27.10,-0.42,-0.01,5.00,8000.00,-72.00,1.00
7124.00,2019-06-17 18:46:31.124,0.00,0.00,1954.78,0.83,0.00,0.00,1.00,0.00,0.20,12.16,36.50,39.26,-62.14,27.10,-0.38,0.00,5.00,8000.00,-68.00,1.00
7224.00,2019-06-17 18:46:31.224,0.00,0.00,2039.01,0.83,0.00,0.00,1.00,0.00,0.21,12.21,36.50,39.14,-62.14,27.10,-0.40,0.03,5.00,8000.00,-71.00,1.00
7324.00,2019-06-17 18:46:31.324,0.00,0.00,1875.12,0.83,0.00,0.00,1.00,0.00,0.22,12.17,36.48,39.14,-65.96,27.10,-0.42,-0.00,5.00,8000.00,-63.00,1.00
7424.00,2019-06-17 18:46:31.424,0.00,0.00,1821.58,0.82,0.00,0.00,1.00,0.00,0.23,12.21,36.48,39.33,-65.96,27.20,-0.41,0.00,5.00,8000.00,-59.00,1.00
7524.00,2019-06-17 18:46:31.524,0.00,0.00,1987.61,0.80,0.00,0.00,1.00,0.00,0.25,12.16,36.48,39.33,-65.96,27.20,-0.43,-0.01,5.00,8000.00,-69.00,1.00
7624.00,2019-06-17 18:46:31.624,0.00,0.00,1964.77,0.80,0.00,0.00,1.00,0.00,0.25,12.18,36.52,39.33,-66.64,27.20,-0.39,0.01,5.00,8000.00,-68.00,1.00
7724.00,2019-06-17 18:46:31.724,0.00,0.00,1990.12,0.80,0.00,0.00,1.00,0.00,0.27,12.20,36.52,39.33,-66.64,27.20,-0.41,-0.02,5.00,8000.00,-69.00,1.00
7824.00,2019-06-17 18:46:31.824,0.00,0.00,2143.09,0.80,0.00,0.00,1.00,0.00,0.28,12.17,36.52,39.33,-66.64,27.16,-0.42,0.00,5.00,8000.00,-73.00,1.00
7924.00,2019-06-17 18:46:31.924,0.00,0.00,1983.24,0.81,0.00,0.00,1.00,0.00,0.29,12.22,36.44,39.38,-69.34,27.16,-0.41,-0.00,5.00,8000.00,-69.00,1.00
8024.00,2019-06-17 18:46:32.024,0.00,0.00,1985.54,0.83,0.00,0.00,1.00,0.00,0.30,12.17,36.44,39.38,-69.34,27.16,-0.41,0.00,5.00,8000.00,-69.00,1.00
8124.00,2019-06-17 18:46:32.124,0.00,0.00,2135.92,0.83,0.00,0.00,1.00,0.00,0.32,12.20,36.47,39.38,-70.34,27.16,-0.40,0.02,5.00,8000.00,-73.00,1.00
8224.00,2019-06-17 18:46:32.224,0.00,0.00,1975.37,0.83,0.00,0.00,1.00,0.00,0.32,12.20,36.47,39.35,-70.34,27.15,-0.41,0.00,5.00,8000.00,-69.00,1.00
8324.00,2019-06-17 18:46:32.324,0.00,0.00,1826.23,0.83,0.00,0.00,1.00,0.00,0.34,12.17,36.47,39.35,-70.34,27.15,-0.40,-0.01,5.00,8000.00,-60.00,1.00
8424.00,2019-06-17 18:46:32.424,0.00,0.00,2170.61,0.83,0.00,0.00,1.00,0.00,0.35,12.21,36.43,39.30,-71.59,27.15,-0.41,0.01,5.00,8000.00,-74.00,1.00
8524.00,2019-06-17 18:46:32.524,0.00,0.00,1968.54,0.83,0.00,0.00,1.00,0.00,0.37,12.18,36.43,39.30,-71.59,27.15,-0.42,0.00,5.00,8000.00,-68.00,1.00
8624.00,2019-06-17 18:46:32.624,0.00,0.00,1915.86,0.83,0.00,0.00,1.00,0.00,0.37,12.21,36.44,39.30,-72.05,27.25,-0.40,-0.02,5.00,8000.00,-65.00,1.00
8724.00,2019-06-17 18:46:32.724,0.00,0.00,2133.49,0.83,0.00,0.00,1.00,0.00,0.39,12.19,36.44,39.30,-72.05,27.25,-0.40,0.00,5.00,8000.00,-73.00,1.00
8824.00,2019-06-17 18:46:32.824,0.00,0.00,2027.10,0.81,0.00,0.00,1.00,0.00,0.40,12.15,36.44,39.30,-72.05,27.25,-0.39,-0.00,5.00,8000.00,-71.00,1.00
8924.00,2019-06-17 18:46:32.924,0.00,0.00,1972.03,0.80,0.00,0.00,1.00,0.00,0.41,12.21,36.34,39.27,-73.09,27.25,-0.42,-0.01,5.00,8000.00,-68.00,1.00
9024.00,2019-06-17 18:46:33.024,0.00,0.00,2164.93,0.80,0.00,0.00,1.00,0.00,0.42,12.18,36.34,39.27,-73.09,27.23,-0.42,0.02,5.00,8000.00,-73.00,1.00
9124.00,2019-06-17 18:46:33.124,0.00,0.00,1844.96,0.81,0.00,0.00,1.00,0.00,0.44,12.23,36.34,39.27,-73.09,27.23,-0.41,-0.01,5.00,8000.00,-61.00,1.00
9224.00,2019-06-17 18:46:33.224,0.00,0.00,1746.78,0.82,0.00,0.00,1.00,0.00,0.44,12.19,36.34,39.34,-73.61,27.23,-0.44,-0.00,5.00,8000.00,-56.00,1.00
9324.00,2019-06-17 18:46:33.324,0.00,0.00,1818.84,0.83,0.00,0.00,1.00,0.00,0.46,12.20,36.34,39.34,-73.61,27.23,-0.40,0.00,5.00,8000.00,-59.00,1.00
9424.00,2019-06-17 18:46:33.424,0.00,0.00,2095.37,0.84,0.00,0.00,1.00,0.00,0.47,12.20,36.28,39.30,-72.23,27.19,-0.41,-0.00,5.00,8000.00,-72.00,1.00
9524.00,2019-06-17 18:46:33.524,0.00,0.00,1915.28,0.83,0.00,0.00,1.00,0.00,0.48,12.17,36.28,39.30,-72.23,27.19,-0.44,-0.00,5.00,8000.00,-65.00,1.00
9624.00,2019-06-17 18:46:33.624,0.00,0.00,2089.17,0.83,0.00,0.00,1.00,0.00,0.49,12.22,36.28,39.30,-72.23,27.19,-0.41,0.00,5.00,8000.00,-72.00,1.00
9724.00,2019-06-17 18:46:33.724,0.00,0.00,2106.96,0.83,0.00,0.00,1.00,0.00,0.50,12.18,36.23,39.38,-73.81,27.19,-0.43,-0.01,5.00,8000.00,-72.00,1.00
9824.00,2019-06-17 18:46:33.824,0.00,0.00,1981.15,0.83,0.00,0.00,1.00,0.00,0.51,12.21,36.23,39.38,-73.81,27.23,-0.40,0.00,5.00,8000.00,-69.00,1.00
9924.00,2019-06-17 18:46:33.924,0.00,0.00,2121.90,0.80,0.00,0.00,1.00,0.00,0.53,12.19,36.23,39.40,-74.59,27.23,-0.42,-0.01,5.00,8000.00,-73.00,1.00
10024.00,2019-06-17 18:46:34.024,0.00,0.00,1967.99,0.82,0.00,0.00,1.00,0.00,0.54,12.18,36.23,39.40,-74.59,27.23,-0.39,-0.00,5.00,8000.00,-68.00,1.00
10124.00,2019-06-17 18:46:34.124,0.00,0.00,2128.87,0.80,0.00,0.00,1.00,0.00,0.55,12.21,36.23,39.40,-74.59,27.23,-0.41,-0.00,5.00,8000.00,-73.00,1.00
10224.00,2019-06-17 18:46:34.224,0.00,0.00,1983.37,0.80,0.00,0.00,1.00,0.00,0.56,12.15,36.18,39.40,-75.69,27.23,-0.42,0.00,5.00,8000.00,-69.00,1.00
10324.00,2019-06-17 18:46:34.324,0.00,0.00,1987.08,0.81,0.00,0.00,1.00,0.00,0.57,12.22,36.18,39.40,-75.69,27.23,-0.41,-0.00,5.00,8000.00,-69.00,1.00
10424.00,2019-06-17 18:46:34.424,0.00,0.00,2039.36,0.83,0.00,0.00,1.00,0.00,0.59,12.19,36.18,39.41,-75.69,27.23,-0.45,-0.01,5.00,8000.00,-71.00,1.00
10524.00,2019-06-17 18:46:34.524,0.00,0.00,1848.00,0.83,0.00,0.00,1.00,0.00,0.60,12.14,36.23,39.41,-75.94,27.23,-0.39,-0.02,5.00,8000.00,-61.00,1.00
10624.00,2019-06-17 18:46:34.624,0.00,0.00,1980.46,0.83,0.00,0.00,1.00,0.00,0.61,12.20,36.23,39.41,-75.94,27.27,-0.43,-0.02,5.00,8000.00,-69.00,1.00
10724.00,2019-06-17 18:46:34.724,0.00,0.00,2284.63,0.83,0.00,0.00,1.00,0.00,0.62,12.18,36.23,39.40,-75.94,27.27,-0.39,-0.01,5.00,8000.00,-76.00,1.00
10824.00,2019-06-17 18:46:34.824,0.00,0.00,1980.85,0.82,0.00,0.00,1.00,0.00,0.63,12.22,36.23,39.40,-75.94,27.27,-0.38,0.00,5.00,8000.00,-69.00,1.00
10924.00,2019-06-17 18:46:34.924,0.00,0.00,2171.63,0.83,0.00,0.00,1.00,0.00,0.65,12.19,36.23,39.28,-75.94,27.27,-0.41,-0.00,5.00,8000.00,-74.00,1.00
11024.00,2019-06-17 18:46:35.024,0.00,0.00,2202.24,0.82,0.00,0.00,1.00,0.00,0.66,12.21,36.19,39.28,-77.98,27.21,-0.40,0.00,5.00,8000.00,-74.00,1.00
11124.00,2019-06-17 18:46:35.124,0.00,0.00,1887.77,0.83,0.00,0.00,1.00,0.00,0.67,12.20,36.19,39.28,-77.98,27.21,-0.41,0.01,5.00,8000.00,-63.00,1.00
11224.00,2019-06-17 18:46:35.224,0.00,0.00,1803.45,0.83,0.00,0.00,1.00,0.00,0.68,12.18,36.05,39.40,-77.98,27.21,-0.39,-0.01,5.00,8000.00,-59.00,1.00
11324.00,2019-06-17 18:46:35.324,0.00,0.00,2037.87,0.80,0.00,0.00,1.00,0.00,0.69,12.21,36.05,39.40,-77.98,27.21,-0.41,-0.01,5.00,8000.00,-71.00,1.00
11424.00,2019-06-17 18:46:35.424,0.00,0.00,1930.87,0.81,0.00,0.00,1.00,0.00,0.70,12.17,36.05,39.40,-77.98,27.25,-0.46,0.02,5.00,8000.00,-66.00,1.00
11524.00,2019-06-17 18:46:35.524,0.00,0.00,1934.55,0.80,0.00,0.00,1.00,0.00,0.71,12.22,36.09,39.40,-76.19,27.25,-0.41,-0.01,5.00,8000.00,-66.00,1.00
11624.00,2019-06-17 18:46:35.624,0.00,0.00,2038.32,0.82,0.00,0.00,1.00,0.00,0.73,12.19,36.09,39.40,-76.19,27.25,-0.43,0.00,5.00,8000.00,-71.00,1.00
11724.00,2019-06-17 18:46:35.724,0.00,0.00,1873.95,0.82,0.00,0.00,1.00,0.00,0.74,12.13,36.09,39.40,-76.19,27.25,-0.42,-0.01,5.00,8000.00,-62.00,1.00
11824.00,2019-06-17 18:46:35.824,0.00,0.00,1762.66,0.83,0.00,0.00,1.00,0.00,0.75,12.20,36.08,39.40,-76.05,27.21,-0.41,0.01,5.00,8000.00,-56.00,1.00
11924.00,2019-06-17 18:46:35.924,0.00,0.00,2067.01,0.83,0.00,0.00,1.00,0.00,0.76,12.18,36.08,39.37,-76.05,27.21,-0.40,0.00,5.00,8000.00,-72.00,1.00
12024.00,2019-06-17 18:46:36.024,0.00,0.00,2004.58,0.83,0.00,0.00,1.00,0.00,0.77,12.22,36.09,39.37,-75.60,27.21,-0.44,0.00,5.00,8000.00,-71.00,1.00
12124.00,2019-06-17 18:46:36.124,0.00,0.00,1692.55,0.82,0.00,0.00,1.00,0.00,0.78,12.18,36.09,39.37,-75.60,27.21,-0.43,0.00,5.00,8000.00,-55.00,1.00
12224.00,2019-06-17 18:46:36.224,0.00,0.00,1990.02,0.82,0.00,0.00,1.00,0.00,0.80,12.19,36.09,39.30,-75.60,27.15,-0.41,0.01,5.00,8000.00,-69.00,1.00
12324.00,2019-06-17 18:46:36.324,0.00,0.00,2050.90,0.81,0.00,0.00,1.00,0.00,0.80,12.19,36.00,39.30,-77.38,27.15,-0.41,-0.01,5.00,8000.00,-71.00,1.00
12424.00,2019-06-17 18:46:36.424,0.00,0.00,2124.80,0.82,0.00,0.00,1.00,0.00,0.82,12.18,36.00,39.40,-77.38,27.15,-0.42,0.01,5.00,8000.00,-73.00,1.00
