OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle,burning
1094.00,1970-01-01 00:00:01.094,0.00,0.00,0.00,1.18,0.00,1.00,1.00,0.00,0.00,12.14,49.45,69.66,-62.02,-0.39,-0.00,17.00,10.00,0.00,0.00
2187.00,1970-01-01 00:00:02.187,0.00,0.00,0.00,1.18,0.00,1.00,1.00,0.00,0.00,12.16,49.48,69.63,-61.72,-0.40,0.02,17.00,10.00,0.00,0.00
3281.00,1970-01-01 00:00:03.281,0.00,0.00,0.00,1.18,0.00,1.00,1.00,0.00,0.00,12.14,49.51,69.56,-61.34,-0.42,0.02,17.00,10.00,0.00,0.00
4374.00,1970-01-01 00:00:04.374,0.00,0.00,0.00,1.16,0.00,1.00,1.00,0.00,0.00,12.12,49.46,69.59,-61.05,-0.38,0.01,17.00,10.00,0.00,0.00
5467.00,1970-01-01 00:00:05.467,0.00,0.00,0.00,1.18,0.00,1.00,1.00,0.00,0.00,12.15,49.46,69.45,-60.80,-0.44,0.01,17.00,10.00,0.00,0.00
6560.00,1970-01-01 00:00:06.560,0.00,0.00,0.00,1.18,0.00,1.00,1.00,0.00,0.00,12.17,49.52,69.55,-60.49,-0.41,-0.04,17.00,10.00,0.00,0.00
7654.00,1970-01-01 00:00:07.654,0.00,0.00,0.00,1.16,0.00,1.00,1.00,0.00,0.00,12.09,49.49,69.45,-60.10,-0.42,-0.03,17.00,10.00,0.00,0.00
8747.00,1970-01-01 00:00:08.747,0.00,0.00,0.00,1.16,0.00,1.00,1.00,0.00,0.00,12.12,49.47,69.42,-59.94,-0.40,0.02,17.00,10.00,0.00,0.00
9841.00,1970-01-01 00:00:09.841,0.00,0.00,0.00,1.18,0.00,1.00,1.00,0.00,0.00,12.16,49.54,69.42,-59.63,-0.38,0.02,17.00,10.00,0.00,0.00
10741.00,1970-01-01 00:00:10.741,0.00,0.00,0.00,1.16,0.00,1.00,1.00,0.00,0.00,12.19,49.51,69.36,-59.38,-0.41,0.02,17.00,10.00,0.00,1.00
10934.00,1970-01-01 00:00:10.934,0.00,0.00,0.00,1.16,1.00,1.00,1.00,0.00,0.00,8.98,49.49,69.38,-59.27,-0.43,-0.05,23.00,10.00,0.00,1.00
11034.00,1970-01-01 00:00:11.034,0.00,0.00,10.90,1.21,1.00,1.00,1.00,0.00,0.01,10.57,49.49,69.38,-59.27,-0.45,-0.05,23.00,7000.00,-20.00,1.00
11134.00,1970-01-01 00:00:11.134,0.00,0.00,10.90,1.22,1.00,1.00,1.00,0.00,0.01,10.55,49.49,69.38,-59.27,-0.47,-0.04,23.00,7000.00,-20.00,1.00
11234.00,1970-01-01 00:00:11.234,0.00,0.00,805.48,1.35,1.00,1.00,1.00,0.00,0.01,10.01,49.53,69.42,-59.13,-0.46,-0.04,23.00,7000.00,-34.00,1.00
11334.00,2019-06-17 19:12:11.334,0.00,0.00,1783.83,1.51,0.00,1.00,1.00,0.00,0.02,11.93,49.53,69.42,-59.13,-0.41,0.01,21.00,6265.82,-58.00,1.00
11434.00,2019-06-17 19:12:11.434,0.00,0.00,1884.69,1.42,0.00,1.00,1.00,0.00,0.03,12.00,49.53,69.42,-59.13,-0.42,0.02,21.00,6175.51,-63.00,1.00
11534.00,2019-06-17 19:12:11.534,0.00,0.00,1845.39,1.21,0.00,1.00,1.00,0.00,0.04,11.99,49.57,69.19,-59.45,-0.41,0.00,21.00,6210.70,-61.00,1.00
11634.00,2019-06-17 19:12:11.634,0.00,0.00,1816.59,1.20,0.00,1.00,1.00,0.00,0.05,12.00,49.57,69.19,-59.45,-0.44,0.02,21.00,6236.49,-59.00,1.00
11734.00,2019-06-17 19:12:11.734,1.52,0.12,1802.64,1.22,0.00,1.00,1.00,2.38,0.06,12.05,49.52,69.30,-70.87,-0.40,0.02,21.00,6248.97,-59.00,1.00
