time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep,
49957.00,1500.00,1.14,0.66,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50084.00,1750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50192.00,2000.00,1.14,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50301.00,2250.00,1.12,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50409.00,2500.00,1.12,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50509.00,2750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,
50607.00,3000.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7013.67,7000.00,1.00,
50704.00,3250.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,6012.80,6000.00,1.00,
50802.00,3500.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5513.73,5500.00,1.00,
50900.00,3750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5312.36,5300.00,1.00,
59016.00,1500.00,0.29,0.88,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59114.00,1750.00,0.79,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59212.00,2000.00,0.69,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59347.00,2250.00,0.02,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59444.00,2500.00,0.79,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59541.00,2750.00,0.70,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,
59639.00,3000.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6942.69,7000.00,2.00,
59736.00,3250.00,0.33,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5991.73,6000.00,2.00,
59834.00,3500.00,0.22,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5482.58,5500.00,2.00,
59932.00,3750.00,0.85,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5214.60,5300.00,2.00,
